Time,Itr,train-AverageReturn,train-MinReturn,LossAfter,train-MaxReturn,ItrTime,train-StdReturn,LossBefore,train-AverageDiscountedReturn,n_timesteps,train-PolicyExecTime,Time-Optimization,Time-SampleProc,train-NumTrajs,Time-Sampling,train-EnvExecTime
19.649293184280396,0,76.58147029463336,-47.85144766007576,-0.19791403,188.1145687016113,19.649293184280396,59.29867503415282,1.2207031e-08,54.72562155082618,10000,15.764870166778564,0.35399961471557617,0.12998652458190918,100,19.16530704498291,3.1294028759002686
40.140225648880005,1,196.69736647329475,159.17048282436673,-0.032922488,211.8274471266616,20.473933935165405,9.044808887714177,-7.6293943e-10,116.11381503028673,20000,16.39397668838501,0.2910470962524414,0.025997161865234375,100,20.155887126922607,3.462456226348877
59.45930314064026,2,198.0346708831075,183.5688011247035,-0.11769314,205.12111812038668,19.304077625274658,4.465856118619463,7.629395e-09,117.64268867842362,30000,15.380850315093994,0.35700058937072754,0.03200054168701172,100,18.91307806968689,3.224729061126709
79.71390748023987,3,196.46858415216386,183.2015440272317,-0.04219864,205.7938611468189,20.231603860855103,4.96556467892739,0.011311981,114.86750721032638,40000,16.07930064201355,0.2759668827056885,0.02003002166748047,100,19.935606956481934,3.515415668487549
98.83750295639038,4,196.9631442715076,178.0404494402144,-0.0771886,203.6079454923095,19.11059546470642,4.463030814604792,-0.01549364,115.44161540732341,50000,15.311810970306396,0.26000046730041504,0.018999099731445312,100,18.830595016479492,3.234556198120117
117.38331651687622,5,197.49750444131587,194.99263201094612,-0.04207507,199.4329056198046,18.532814502716064,0.9732806397175604,1.525879e-08,116.79409926970285,60000,14.842907905578613,0.27599573135375977,0.022975921630859375,100,18.233842849731445,3.136810541152954
135.78798079490662,6,200.4722502073053,195.81180160753652,-0.14401992,203.8067740411466,18.3916654586792,1.654995504556127,-0.017055009,118.21646839425517,70000,14.629318714141846,0.2629973888397217,0.02097177505493164,100,18.10669708251953,3.152700901031494
154.53292655944824,7,200.74786523951133,196.19163452101452,-0.029658344,206.17144774286783,18.731945514678955,1.7987290494944503,-4.577637e-09,118.01444615236532,80000,14.9805428981781,0.268998384475708,0.021006345748901367,100,18.441940784454346,3.20121169090271
173.13244915008545,8,202.81329477195078,197.86195646311737,-0.06201341,207.18434785277253,18.5855233669281,1.9071462314073382,-3.0517577e-09,118.79409493005669,90000,14.850844860076904,0.26599884033203125,0.019001007080078125,100,18.299521684646606,3.196042537689209
192.06022715568542,9,206.88799273588586,200.58232552620476,-0.07793869,210.7820829880246,18.91377902030945,1.8674815578294695,-0.003668454,120.77127146614977,100000,15.156514167785645,0.259932279586792,0.022066593170166016,100,18.63178014755249,3.2040035724639893
210.49152088165283,10,204.18772228864955,197.00021883304944,-0.006125836,207.44462876163084,18.418292760849,1.8160202927461933,0.005340796,119.89483814855016,110000,14.69706392288208,0.26600003242492676,0.02399897575378418,100,18.12629246711731,3.137808322906494
229.16140413284302,11,204.6844061097253,198.5147492145059,-0.030051868,210.12307452736945,18.655883312225342,2.0479203309441925,2.670288e-09,120.11284192023399,120000,14.88458800315857,0.2780003547668457,0.024998903274536133,100,18.351884365081787,3.1890411376953125
249.20236802101135,12,204.44917661814594,194.03427438486077,-0.06273854,216.12988426014618,20.026963710784912,4.148593272035523,2.4414062e-08,119.89384171950728,130000,16.03465223312378,0.30699777603149414,0.0269775390625,100,19.690995454788208,3.3595690727233887
268.8242025375366,13,213.27315289889847,201.56081000927833,-0.13068743,230.85341707484292,19.606833457946777,5.049998983800073,1.8310548e-08,123.91489388557419,140000,15.670820236206055,0.28499865531921387,0.030998706817626953,100,19.290836095809937,3.31028151512146
287.7906677722931,14,211.0980078239765,189.74134204429706,-0.020056766,229.42666152353007,18.95246434211731,8.31431658937582,-9.155274e-09,122.87868379959724,150000,15.198018312454224,0.29615235328674316,0.029998779296875,100,18.625313997268677,3.1276776790618896
307.5681402683258,15,223.43381810185633,208.32295532086073,-0.039724123,229.76997595364097,19.760592222213745,4.157368313294717,-0.0028367555,128.00928434279294,160000,15.80953049659729,0.2720005512237549,0.02696704864501953,100,19.46162462234497,3.337125778198242
327.20417404174805,16,205.7217464041846,157.61145347863277,-0.13754013,229.3722197143583,19.622034072875977,12.385604043210513,4.9591065e-09,120.2857301500904,170000,15.832748413085938,0.29600000381469727,0.024985313415527344,100,19.301048755645752,3.1794230937957764
348.10103392601013,17,210.44569234553256,169.0961733787749,-0.07306855,223.75360711436156,20.88285994529724,9.359543554498622,-0.007919927,122.12869466357398,180000,16.785390615463257,0.26999807357788086,0.018967390060424805,100,20.593894481658936,3.4207730293273926
367.11043643951416,18,220.09964202226666,211.36414093345633,-0.000286483,227.32165159255757,18.996402263641357,3.4798068663157506,-1.4305115e-09,125.89940396507474,190000,15.21609354019165,0.26599740982055664,0.01800084114074707,100,18.71140170097351,3.2215917110443115
385.95923495292664,19,226.5192358575618,212.46524973752648,-0.019827584,231.2677443776265,18.834798336029053,2.9420722250062648,-1.2207031e-08,128.44952597434786,200000,15.202534198760986,0.26599812507629395,0.02496933937072754,100,18.54283046722412,3.0739777088165283
405.03170895576477,20,225.26686462122439,207.93942974655704,-0.040629823,233.32811345704243,19.058473110198975,5.874073605230728,-1.7929077e-08,127.7304591011137,210000,15.299008846282959,0.27300047874450684,0.021969079971313477,100,18.762474536895752,3.1873035430908203
424.22846007347107,21,225.68185019659683,212.264576919396,-0.011659059,233.7167899016426,19.18275213241577,4.68914468929371,6.1035155e-09,127.5026183133281,220000,15.447021245956421,0.276996374130249,0.026002168655395508,100,18.87875533103943,3.148832321166992
