Time-Sampling,train-MaxReturn,Time-SampleProc,ItrTime,train-AverageDiscountedReturn,Time,Itr,train-PolicyExecTime,LossBefore,train-MinReturn,LossAfter,train-AverageReturn,Time-Optimization,train-NumTrajs,train-StdReturn,n_timesteps,train-EnvExecTime
16.864169120788574,13.48413988597805,0.08699679374694824,17.29816722869873,-0.13226331130120658,17.29816722869873,0,14.209526300430298,0.19347815,-8.670379536190785,0.06287528,-0.2394003193788624,0.347001314163208,100,4.665222852986676,10000,2.394505739212036
15.711961507797241,15.394732169509588,0.019998788833618164,15.979959726333618,-1.1520627555393883,33.34112358093262,1,13.136101007461548,-3.0517577e-09,-9.763554457390141,0.02404758,-0.9991220972800143,0.24599933624267578,100,4.599013599688785,20000,2.3088700771331787
15.960332870483398,13.597586056047387,0.02399754524230957,16.230329275131226,-1.5803255879935827,49.58545398712158,2,13.320556640625,-9.155274e-09,-11.402340460345984,-0.0012954315,-1.8459369350781072,0.24599885940551758,100,4.332581715392451,30000,2.392429828643799
16.195959329605103,23.798065639116068,0.023997068405151367,16.46895718574524,0.13590211228388255,66.06741118431091,3,13.494040966033936,3.0517577e-09,-12.15948010645258,-0.0045737913,1.0484230043197906,0.24900078773498535,100,6.773371652695567,40000,2.4576425552368164
15.865961790084839,29.548015522239485,0.023997068405151367,16.12795901298523,4.421749495023807,82.20836901664734,4,13.329410791397095,-4.577637e-09,-7.529048617747467,-0.0064758225,7.869153444336134,0.2370004653930664,100,9.47934469690005,50000,2.2979538440704346
16.388957500457764,30.914310159189213,0.015997886657714844,16.641955137252808,8.718115466391959,98.86332559585571,5,13.666224956512451,-9.155274e-09,-5.3105397466015,-0.007656395,15.568179039583317,0.23599910736083984,100,8.93314209827224,60000,2.419748067855835
16.22896933555603,30.029182250793045,0.03499293327331543,16.50995707511902,14.442364977836423,115.38628268241882,6,13.523502826690674,-1.2207031e-08,5.2810672684687505,-0.0017429261,23.286737503309084,0.2449948787689209,100,5.3601808257874,70000,2.448725700378418
16.356958627700806,30.981932254340425,0.032999515533447266,16.631957054138184,16.21488293905936,132.03023958206177,7,13.582775831222534,-0.003983904,-0.3975768900564596,-0.003750834,25.005670556913,0.23999905586242676,100,5.037251972171196,80000,2.5244386196136475
16.006366729736328,31.128313432547596,0.02399897575378418,16.27436637878418,17.283896573887233,148.3166048526764,8,13.32211422920227,-4.577637e-09,8.01190635617034,-0.0040095034,25.7365518437259,0.24199533462524414,100,4.398792062704367,90000,2.428617000579834
16.2975115776062,31.871120721762516,0.017966747283935547,16.55647587776184,18.898524965255632,164.8860809803009,9,13.54691195487976,-8.392334e-09,15.465395038938778,-0.0024987198,27.195323113937253,0.2399756908416748,100,2.697698683235981,100000,2.4907948970794678
