train-AverageDiscountedReturn,train-MinReturn,Itr,LossBefore,n_timesteps,train-EnvExecTime,ItrTime,train-PolicyExecTime,train-NumTrajs,Time-SampleProc,LossAfter,train-StdReturn,train-MaxReturn,Time-Sampling,train-AverageReturn,Time-Optimization,Time
1.4241199923319074,-6.520721376109225,0,-1.4189385e-05,10000,2.4611856937408447,16.868974208831787,13.841431856155396,100,0.023000717163085938,0.01776577,4.208423652077163,12.701362312075805,16.564974784851074,1.8376691651759802,0.28099870681762695,16.868974208831787
0.3607223876928121,-10.824692254098487,1,-1.4243401e-05,20000,2.435884475708008,16.954973697662354,14.000271081924438,100,0.0189669132232666,0.012837924,5.185787197819003,14.675295862203917,16.68800711631775,0.5938590905575718,0.24700021743774414,33.83794856071472
0.18626239305988196,-10.041583431962945,2,-1.4283138e-05,30000,2.465142250061035,16.9679753780365,13.971490859985352,100,0.018999814987182617,-0.0044691483,4.004284658404469,15.052740380052331,16.691976308822632,0.5546269875305714,0.2559986114501953,50.81892395019531
2.5265119282204456,-7.724675793565068,3,-1.4281466e-05,40000,2.3978922367095947,16.66297483444214,13.73926305770874,100,0.02396869659423828,-0.005464783,6.980973400926235,24.022542545811934,16.388006925582886,4.424274546758954,0.25099921226501465,67.49489855766296
6.139432243470171,-8.732486553882174,4,-1.42475055e-05,50000,2.4105443954467773,16.930975675582886,13.984313011169434,100,0.02100086212158203,-0.0079357885,10.507887454695524,28.86399408001001,16.657978296279907,9.659029281250303,0.2519965171813965,84.4398729801178
10.528357314436148,-1.6506272005107798,5,-1.4189835e-05,60000,2.514115333557129,17.030974864959717,13.942603588104248,100,0.02199840545654297,-0.00938756,8.371557822598387,29.818421152617976,16.761974334716797,16.936549598473363,0.24700212478637695,101.48484945297241
15.806171437341844,-0.9413637397305644,6,-1.4100851e-05,70000,2.457709312438965,16.947973489761353,13.933783769607544,100,0.017968416213989258,-0.003858232,5.449483163241833,31.339864370884666,16.683006763458252,23.500065080901106,0.24599957466125488,118.44582104682922
17.635991470764868,12.355899034565658,7,-1.4024159e-05,80000,2.486750841140747,16.66597604751587,13.651745796203613,100,0.021996736526489258,-0.006132503,4.191835889829943,34.33556111084466,16.399977445602417,25.050826825780177,0.24300146102905273,135.12379813194275
18.090340784907383,11.245218280914623,8,-1.39391905e-05,90000,2.549679756164551,16.832974433898926,13.747541666030884,100,0.018979787826538086,-0.0066175787,3.384221975905147,31.0473072388148,16.562998056411743,25.58450468441,0.24996519088745117,151.96977138519287
19.624556378571288,19.886685721001204,9,-1.3840161e-05,100000,2.5253663063049316,17.02197504043579,13.98672366142273,100,0.015996932983398438,-0.00682838,2.4419246978681057,31.518395729795213,16.763007164001465,27.016499379147316,0.24199938774108887,169.0057463645935
20.241634200736847,19.546705337277025,10,-1.3734767e-05,110000,2.427619695663452,16.708975076675415,13.756754636764526,100,0.016998767852783203,-0.006979926,2.2058802584619848,31.703971914832213,16.45397663116455,27.043504135420353,0.23799967765808105,185.727721452713
20.969034376971468,21.156607712378356,11,-1.3609791e-05,120000,2.5206658840179443,16.742973804473877,13.683832168579102,100,0.018997907638549805,-0.005870666,1.8525021780264204,32.1602536603366,16.477976322174072,27.75339153319152,0.24499988555908203,202.48369574546814
21.581285428022426,23.302143907106025,12,-1.3523604e-05,130000,2.5144121646881104,16.59397530555725,13.557184934616089,100,0.017000198364257812,-0.0071507273,1.5082406591956776,31.43998997971839,16.33697748184204,28.09859984264952,0.2389986515045166,219.09067106246948
21.742566020331328,24.067006028444244,13,-1.3411531e-05,140000,2.5308337211608887,16.780975103378296,13.734965324401855,100,0.02396392822265625,-0.0032235854,1.4323918944403722,31.312791050474083,16.51801061630249,28.14846369764289,0.23800015449523926,235.8846459388733
22.07081321031783,23.137479649456807,14,-1.3292297e-05,150000,2.5665884017944336,17.080989599227905,13.989292621612549,100,0.022000789642333984,-0.004317213,1.4988256491592733,32.699985387320666,16.804988622665405,28.306454738236496,0.25300002098083496,252.97863507270813
22.126659013917806,25.60179426764158,15,-1.3179219e-05,160000,2.5501503944396973,16.585975170135498,13.512370824813843,100,0.017982006072998047,-0.0043439902,1.3681602012950986,31.786088355987513,16.314997911453247,28.267022518872192,0.25299525260925293,269.579607963562
22.43120611399417,24.481234173560445,16,-1.307077e-05,170000,2.543659210205078,16.663976669311523,13.564355373382568,100,0.020998477935791016,-0.003906589,1.4211716633269775,31.764425681838432,16.39698052406311,28.561616360716638,0.24499797821044922,286.25658559799194
22.613549245673557,25.202434840798496,17,-1.2970559e-05,180000,2.5717151165008545,17.067975282669067,13.964323043823242,100,0.022998809814453125,-0.0061024628,1.4245462135381874,32.39081180249189,16.80397629737854,28.70860869455976,0.23999810218811035,303.3375608921051
22.730054245962698,25.797146488792446,18,-1.2868054e-05,190000,2.515282392501831,16.74797797203064,13.733660221099854,100,0.02097606658935547,-0.0036586986,1.3219680423899847,32.31707391842885,16.48400044441223,28.83394952789802,0.24300146102905273,320.09853959083557
22.846108494243712,25.212380554810313,19,-1.2766607e-05,200000,2.5077788829803467,16.743977069854736,13.703983545303345,100,0.019963741302490234,-0.0027289202,1.4350682430817974,32.383344753280745,16.485013246536255,28.871224328548088,0.2390000820159912,336.8555154800415
23.067114135954718,25.61937099169323,20,-1.2650479e-05,210000,2.540151596069336,16.648976802825928,13.589956760406494,100,0.015961408615112305,-0.005058476,1.534272996105796,32.76527560995518,16.386016368865967,29.148520484307447,0.24699902534484863,353.5174913406372
