Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
0	66.35501217842102	1000	2000	-191.10524238969992	-191.10524238969992	2	2000
1	133.7411572933197	1000	3000	-191.10524238969992	-258.2490408365019	3	3000
2	200.16014647483826	1000	4000	-191.10524238969992	-493.6014561374581	4	4000
3	268.8411145210266	1000	5000	-191.10524238969992	-328.3551599995445	5	5000
4	338.8078074455261	1000	6000	-191.10524238969992	-438.3263548997866	6	6000
5	405.3347079753876	1000	7000	-178.40672236044801	-178.40672236044801	7	7000
6	477.64299631118774	1000	8000	-178.40672236044801	-384.0025776828219	8	8000
7	545.1539809703827	1000	9000	-178.40672236044801	-380.460220367774	9	9000
8	611.6375908851624	1000	10000	-178.40672236044801	-440.4892651298912	10	10000
9	678.1788249015808	1000	11000	-178.40672236044801	-399.30855352130135	11	11000
10	746.8160650730133	1000	12000	-178.40672236044801	-336.93033609381314	12	12000
11	813.913330078125	1000	13000	-178.40672236044801	-251.66261816660239	13	13000
12	881.8736033439636	1000	14000	-178.40672236044801	-273.86939084841094	14	14000
13	949.8718945980072	1000	15000	-178.40672236044801	-276.2626763420511	15	15000
14	1016.1039950847626	1000	16000	-178.40672236044801	-305.9651096821171	16	16000
15	1082.18332529068	1000	17000	-178.40672236044801	-331.237764575869	17	17000
16	1148.2435278892517	1000	18000	-178.40672236044801	-344.9636807956076	18	18000
17	1214.3151817321777	1000	19000	-178.40672236044801	-432.68197768437426	19	19000
18	1280.311460018158	1000	20000	-178.40672236044801	-349.2269985864137	20	20000
19	1346.2602734565735	1000	21000	-178.40672236044801	-353.016698930035	21	21000
20	1412.3097276687622	1000	22000	-178.40672236044801	-264.4010401218654	22	22000
21	1478.3954663276672	1000	23000	-178.40672236044801	-433.09226591482496	23	23000
22	1544.3912320137024	1000	24000	-178.40672236044801	-297.29259323328813	24	24000
23	1610.4434480667114	1000	25000	-178.40672236044801	-276.61634665526503	25	25000
24	1676.54070186615	1000	26000	-178.40672236044801	-384.3928224783606	26	26000
25	1742.4421417713165	1000	27000	-178.40672236044801	-481.2030591976251	27	27000
26	1808.4783420562744	1000	28000	-178.40672236044801	-319.43186007708806	28	28000
27	1874.6058399677277	1000	29000	-178.40672236044801	-348.0700360905398	29	29000
28	1940.607349395752	1000	30000	-178.40672236044801	-392.4994890057054	30	30000
29	2006.7340524196625	1000	31000	-178.40672236044801	-397.3235246166035	31	31000
30	2072.7721469402313	1000	32000	-178.40672236044801	-297.86571985306983	32	32000
31	2138.7314937114716	1000	33000	-178.40672236044801	-508.14955430102793	33	33000
32	2204.8262214660645	1000	34000	-178.40672236044801	-411.0531812512193	34	34000
33	2270.966786146164	1000	35000	-178.40672236044801	-298.7119712301234	35	35000
