LossAfter,Time,train-NumTrajs,Time-Optimization,train-AverageReturn,train-StdReturn,LossBefore,train-AverageDiscountedReturn,Time-Sampling,train-MaxReturn,train-EnvExecTime,train-MinReturn,ItrTime,train-PolicyExecTime,Itr,Time-SampleProc,n_timesteps
-68.34836,43.130571603775024,100,9.838664770126343,-33.469756491028534,31.426292150288944,-67.97846,-21.351798731947888,33.20085144042969,38.219185924541506,4.011963367462158,-129.8019899526817,43.13057041168213,18.67606782913208,0,0.06965875625610352,10000
-61.96238,85.1641297340393,100,8.692170143127441,-31.289507818361255,32.23880291958981,-61.63247,-20.37427618944991,33.28420543670654,67.87092417530528,4.012804985046387,-92.40107843597292,42.030757904052734,18.793538570404053,1,0.04965090751647949,20000
-82.105194,130.00970268249512,100,11.729152202606201,-39.42539793230616,34.94214264389034,-81.658745,-25.020156777230667,33.08804225921631,32.606493581098455,3.996403217315674,-140.57691081995657,44.842533111572266,18.880594730377197,2,0.02438664436340332,30000
-111.9667,171.40305161476135,100,8.325754880905151,-51.0449146904722,35.38664786448263,-111.32712,-31.489221128124317,33.04247045516968,19.3067958858255,3.9072699546813965,-144.63166226693062,41.39000940322876,18.52355718612671,3,0.02039623260498047,40000
-83.58247,227.39106130599976,100,12.834091901779175,-39.80851639561684,36.252175039629066,-83.111206,-25.312472976707863,43.104716777801514,53.93068497831994,5.071888208389282,-153.1998495073497,55.98595190048218,25.05282950401306,4,0.04566240310668945,50000
-91.525246,287.09691071510315,100,10.630434274673462,-43.44432859697808,35.13176104799828,-91.019684,-27.65839966816895,49.05003023147583,51.84774221860128,5.742316007614136,-168.30554255194605,59.70240664482117,28.877865314483643,5,0.021482229232788086,60000
-87.24391,335.0735127925873,100,8.532379627227783,-39.67332522220332,35.43543873021192,-86.77008,-24.691736804103904,39.372015714645386,26.146132317621284,4.711524724960327,-157.12837071618412,47.95182418823242,23.07096838951111,6,0.045317649841308594,70000
-96.977196,381.2447986602783,100,8.770569801330566,-43.371308436928864,35.47800140394316,-96.450386,-26.8057361631962,37.38169288635254,21.117485693005044,4.474709749221802,-140.92401412290153,46.16407895088196,21.45795774459839,7,0.011069774627685547,80000
-97.560165,426.4508013725281,100,7.750251531600952,-43.12251290935969,33.76275943713241,-97.02704,-26.544391870274804,37.42449426651001,23.136167960851953,4.491577386856079,-137.8722681991291,45.20385193824768,21.686234951019287,8,0.027942895889282227,90000
-78.58151,473.10065150260925,100,8.134621858596802,-36.82334736043532,32.130058807905264,-78.1702,-23.56269792235119,38.49163055419922,23.25537286341024,4.6112987995147705,-119.85326275046135,46.646493911743164,22.263083696365356,9,0.01955699920654297,100000
-84.54346,521.0442123413086,100,7.9680421352386475,-37.72624496928088,34.089180987812,-84.117516,-23.51527578618662,39.96072602272034,33.52878417858777,4.743578672409058,-118.00276773387195,47.94079351425171,23.099875450134277,10,0.0117034912109375,110000
-85.88919,578.4400632381439,100,7.894701719284058,-38.4755179119801,34.981357168465756,-85.46215,-24.11249603156807,49.48214292526245,31.266973792456056,5.791358947753906,-128.35255394150838,57.391709327697754,29.26471757888794,11,0.014572381973266602,120000
-87.42461,632.5039465427399,100,8.381038188934326,-39.08909416568922,33.9640532409479,-86.99221,-24.544259467640526,45.65731191635132,48.890081898767484,5.5652241706848145,-121.31823476640426,54.060118675231934,27.607482433319092,12,0.0213320255279541,130000
-80.05295,688.9985542297363,100,9.31095814704895,-36.22487943347182,33.954149618852306,-79.66582,-22.97617923125175,47.14803957939148,34.9242470350596,5.507123947143555,-110.88884224061269,56.492267370224,27.57478094100952,13,0.031225919723510742,140000
-82.76977,742.9297983646393,100,6.0971410274505615,-37.08807702896823,32.60221790308242,-82.377014,-23.452984332158024,47.82100987434387,29.266746167154384,5.520920991897583,-147.31697194215982,53.92720985412598,27.694082021713257,14,0.008708477020263672,150000
-83.89781,790.3125259876251,100,6.702259540557861,-38.57219531212147,29.465708510205996,-83.50221,-24.829269040665164,40.668160915374756,11.709242310293593,4.868945360183716,-116.78538324731863,47.37955141067505,24.174749612808228,15,0.008863210678100586,160000
-93.02916,860.3917233943939,100,8.291869163513184,-40.80434550552729,29.510367673516114,-92.58151,-25.619763907918863,61.757070541381836,19.69659002494212,7.012305736541748,-117.14835437995016,70.07636713981628,36.98797559738159,16,0.026616573333740234,170000
-83.67031,928.6754517555237,100,6.33582878112793,-37.63268249548018,35.24857350945579,-83.26923,-24.05326683051269,61.91211152076721,50.78061792208582,7.0339601039886475,-109.18158567017761,68.28007817268372,36.6707067489624,17,0.031055450439453125,180000
-100.963936,978.9391534328461,100,6.64022970199585,-45.420022862655884,33.915786526697666,-100.46715,-29.115736509367597,43.59662675857544,54.34284007488151,5.074184417724609,-150.71362975901098,50.26168155670166,25.761975288391113,18,0.024500608444213867,190000
-84.81015,1027.3042242527008,100,6.765300035476685,-36.128957713552296,32.47895104173484,-84.39565,-22.48211447760735,41.58633089065552,34.83181948969279,4.949617624282837,-120.8855785466165,48.36305856704712,24.65024709701538,19,0.011118412017822266,200000
-74.497444,1082.960594177246,100,5.4139649868011475,-32.78380779337904,33.09833472673928,-74.1539,-20.863096215850277,50.2090482711792,40.63710296775404,5.972563982009888,-112.49585817887343,55.65242004394531,29.822538375854492,20,0.0280911922454834,210000
-90.4466,1144.6267595291138,100,6.706542730331421,-39.09604581286081,32.52649517201483,-90.033104,-24.68531026654492,54.94639205932617,35.89527255698658,6.508422613143921,-107.14696892315102,61.66432857513428,33.371275901794434,21,0.011040449142456055,220000
