Average Returns,Iteration
-500.0,0
-500.0,5
-500.0,10
-500.0,15
-500.0,20
-500.0,25
-174.0,30
-161.0,35
-233.0,40
-238.0,45
-152.0,50
-150.0,55
-151.0,60
-153.0,65
-146.0,70
-148.0,75
-147.0,80
-149.0,85
-149.0,90
-153.0,95
-151.0,100
-148.0,105
-154.0,110
-146.0,115
-148.0,120
-157.0,125
-148.0,130
-147.0,135
-153.0,140
-168.0,145
