n_timesteps,train-AverageDiscountedReturn,train-AverageReturn,train-StdReturn,LossAfter,ItrTime,Time-Sampling,train-EnvExecTime,Itr,Time-SampleProc,train-MinReturn,Time,train-MaxReturn,LossBefore,Time-Optimization,train-NumTrajs,train-PolicyExecTime
10000,-99.33806487562879,-192.2944908232175,67.8555354549167,0.03938919,18.008780002593994,17.57089066505432,2.9493703842163086,0,0.09988832473754883,-320.30405967930534,18.008780002593994,-3.967539841013083,-1.4189385e-05,0.338001012802124,100,14.36806344985962
20000,-86.75818935192463,-174.86752434999792,65.10115594595153,0.0073139337,17.817992448806763,17.53399348258972,3.0451674461364746,1,0.02200150489807129,-300.79559625645004,35.84277105331421,39.42872247282104,-1.4353624e-05,0.2619974613189697,100,14.193977355957031
30000,-51.74335860900964,-114.79606827750726,99.59706555557342,-0.0047101364,18.027992486953735,17.738993644714355,3.09403920173645,2,0.018999814987182617,-249.54958996585006,53.883764028549194,181.76144438726752,-1.4442399e-05,0.2669997215270996,100,14.361718654632568
40000,-6.724212784636974,-34.0033253264003,130.55299175394032,-0.0068488126,18.808993101119995,18.502994775772095,3.2225968837738037,3,0.02299976348876953,-250.68227119281627,72.7057580947876,202.94788671859848,-1.4493599e-05,0.28299856185913086,100,14.975874185562134
50000,47.80637203559464,69.28036514475181,127.54387190767744,-0.0065439064,18.15799117088318,17.889994621276855,3.089855194091797,4,0.021997928619384766,-196.4263348605655,90.87674880027771,203.86057952077735,-1.4522924e-05,0.24599862098693848,100,14.542192697525024
60000,80.45764847431123,128.67887226078375,106.57489584473848,-0.0063727605,18.32099151611328,18.032992362976074,3.2149288654327393,5,0.022998332977294922,-257.5004174466109,109.21074223518372,205.31717960882926,-1.4501116e-05,0.26400041580200195,100,14.538931369781494
70000,99.08245630459169,162.77993245209092,68.16803189768177,-0.004931801,17.936729669570923,17.65072774887085,3.1721742153167725,6,0.024000167846679688,-119.440231788603,127.160471200943,202.54867529518478,-1.44649375e-05,0.25999879837036133,100,14.175783395767212
80000,114.06593768499664,188.98029114366454,9.493597679017805,-0.0058076284,18.68099284172058,18.367995262145996,3.1563832759857178,7,0.024997949600219727,150.17329481927175,145.85546398162842,202.49609662726863,-1.4429053e-05,0.2869994640350342,100,14.935834884643555
90000,115.50254903063042,192.27826283677942,10.02439960531145,-0.0026128374,18.239001035690308,17.94800353050232,3.057112216949463,8,0.02299666404724121,150.00628796449598,164.11246705055237,206.0810084315441,-1.4421464e-05,0.26800084114074707,100,14.620058059692383
100000,117.29496417953041,196.96569050756662,7.592291127553435,-0.0033728196,17.767993688583374,17.493993997573853,2.9602017402648926,9,0.018002986907958984,141.67394372448402,181.89345908164978,204.00767406129555,-1.4357027e-05,0.25499677658081055,100,14.262166976928711
110000,117.75989508643184,197.91407699106267,5.398786588118159,-0.002773822,18.18599271774292,17.91401696205139,3.1112756729125977,10,0.02097487449645996,169.8839144377302,200.0934510231018,204.32160172424577,-1.42534545e-05,0.25,100,14.532145500183105
120000,118.4886503638373,199.49007179779375,3.3047144300849474,-0.0030490984,18.800992965698242,18.52099370956421,3.254594087600708,11,0.0280001163482666,182.33258527790167,218.90744423866272,203.41721678283508,-1.41460105e-05,0.2519991397857666,100,14.96450424194336
130000,118.53313889640499,199.51400416348312,2.627114834056147,-0.0044607627,20.322007417678833,20.00101113319397,3.422044038772583,12,0.026998043060302734,192.41583667025756,239.2424509525299,203.1924737228848,-1.4006067e-05,0.2929980754852295,100,16.26743221282959
140000,118.87091517244336,200.3006363500791,3.2744201145190295,-0.0022697784,19.41899275779724,19.121995210647583,3.3105859756469727,13,0.02599644660949707,178.6573440425714,258.6754422187805,204.47994577268977,-1.3841779e-05,0.27100110054016113,100,15.518022775650024
150000,119.10595183886751,200.9814408834731,1.8530678617779022,-0.0016449424,17.894991636276245,17.623017072677612,2.992124319076538,14,0.019974708557128906,196.1306861896527,276.58343482017517,204.74928542019018,-1.3661185e-05,0.25100016593933105,100,14.360228300094604
