Time,n_timesteps,train-PolicyExecTime,train-NumTrajs,ItrTime,Time-Optimization,Time-SampleProc,Time-Sampling,train-MaxReturn,train-AverageDiscountedReturn,LossBefore,train-EnvExecTime,train-MinReturn,LossAfter,train-StdReturn,Itr,train-AverageReturn
16.937989234924316,10000,13.845861673355103,100,16.937989234924316,0.29800915718078613,0.03497934341430664,16.603002309799194,38.182514332140116,-25.616576729070857,-1.4186334e-05,2.5037801265716553,-114.17112582195296,0.044390287,30.196079071415348,0,-41.22616449528936
34.405176877975464,20000,14.187334775924683,100,17.450194835662842,0.2629687786102295,0.02903008460998535,17.15719723701477,61.558223204495754,-22.257592898366653,-1.4323786e-05,2.699738025665283,-129.35278592875758,0.008154252,32.15857084856782,1,-36.11787402227869
51.5901620388031,30000,14.053797245025635,100,17.17198371887207,0.2540004253387451,0.03099799156188965,16.885986328125,43.95237610904842,-20.997897624313058,-1.4388871e-05,2.5700018405914307,-141.2480368384531,-0.013408165,33.66852357334679,2,-33.216455226604154
68.6360228061676,40000,13.916927814483643,100,17.031862020492554,0.25300002098083496,0.029996871948242188,16.745864391326904,40.336186077479,-18.392528181068265,-1.4401493e-05,2.578394889831543,-114.88290585097305,-0.013780816,29.791024246120333,3,-28.850111171534504
85.4720070362091,50000,13.665814876556396,100,16.821985483169556,0.28299689292907715,0.030000686645507812,16.50898790359497,37.36896714602731,-20.871357888499755,-1.4361288e-05,2.5931613445281982,-130.03201007306646,-0.01473213,32.40484440115075,4,-33.620483718399406
102.9181318283081,60000,14.242431879043579,100,17.43212604522705,0.27100062370300293,0.028993844985961914,17.132131576538086,35.64598544487628,-18.539520816861135,-1.4353841e-05,2.576589345932007,-110.18732720143282,-0.012748272,27.172487704117653,5,-29.40306735357982
120.04511570930481,70000,14.057245969772339,100,17.112984657287598,0.25300121307373047,0.027965784072875977,16.83101773262024,51.476356821764554,-17.866169673336902,-1.43515545e-05,2.5109598636627197,-134.8715570111838,-0.015597209,35.483041194534984,6,-28.503627080787755
137.43919277191162,80000,14.175912857055664,100,17.381078004837036,0.24396896362304688,0.025030136108398438,17.11107897758484,36.82150041279701,-17.803754477490486,-1.4381989e-05,2.667187452316284,-158.0333278085056,-0.013195058,31.35101309313027,7,-28.314239980068614
154.4981758594513,90000,13.929605960845947,100,17.044981956481934,0.24899959564208984,0.029970407485961914,16.766011953353882,26.068780822662113,-16.990388954704212,-1.4371022e-05,2.5729174613952637,-114.49038190354041,-0.013473082,29.886770769137883,8,-27.39240322253697
171.6177272796631,100000,13.978206396102905,100,17.104552030563354,0.2519996166229248,0.022998809814453125,16.828553199768066,42.561813934099725,-17.802266801272502,-1.4353173e-05,2.5825111865997314,-123.70214271585259,-0.015308519,31.812661023482466,9,-29.289131946847863
189.0322368144989,110000,14.192784070968628,100,17.400509357452393,0.2610006332397461,0.0219728946685791,17.117535829544067,32.399891224800285,-15.945960365867004,-1.42993385e-05,2.6529300212860107,-105.75895708963391,-0.014335707,27.851960331848694,10,-25.284601439585344
206.31202745437622,120000,14.114389419555664,100,17.266790866851807,0.24999594688415527,0.023970365524291992,16.991825103759766,37.40882138735702,-17.294742471694814,-1.4252314e-05,2.621016025543213,-107.27924932501132,-0.014579531,28.844004929809245,11,-29.047008553482243
224.4885790348053,130000,14.8009352684021,100,18.162551403045654,0.2539980411529541,0.02700018882751465,17.881553173065186,31.483479886586093,-16.32784802082621,-1.41772625e-05,2.8215417861938477,-138.52003333260268,-0.015970476,24.42119148068418,12,-27.11222738420037
241.72763895988464,140000,14.066361665725708,100,17.22605848312378,0.25099658966064453,0.02899932861328125,16.946062564849854,33.22555142461909,-14.745278551230895,-1.4143276e-05,2.6202492713928223,-106.36741849964099,-0.015545662,26.991018890377468,13,-23.116395081920135
259.0666997432709,150000,14.11562705039978,100,17.325062036514282,0.2630007266998291,0.02199864387512207,17.04006266593933,49.384634389079864,-13.620456248586454,-1.4107991e-05,2.623652458190918,-96.8586096637489,-0.014737909,30.25390880515994,14,-22.024381776324677
276.4560134410858,160000,14.207430601119995,100,17.37631368637085,0.2519998550415039,0.02599811553955078,17.0973162651062,64.22640954671458,-13.883861088070077,-1.399255e-05,2.607809543609619,-104.71139134656914,-0.014094854,31.119083899655315,15,-22.175012205702885
293.6404449939728,170000,14.05807638168335,100,17.17143154144287,0.2429962158203125,0.023998260498046875,16.903433322906494,46.606226338552524,-14.994651691617232,-1.3890702e-05,2.5408661365509033,-97.16150319361728,-0.016520774,29.96584273947598,16,-23.926856480505613
310.7145926952362,180000,13.920685768127441,100,17.060148239135742,0.24999713897705078,0.025001049041748047,16.78417468070984,46.77448340659719,-11.665819952376642,-1.3740138e-05,2.598107099533081,-116.62888674455785,-0.015334368,28.91131621787563,17,-19.264873297507528
327.934609413147,190000,14.066493272781372,100,17.207016468048096,0.2520010471343994,0.03099513053894043,16.924020290374756,44.41393491879412,-12.702077084360317,-1.3636873e-05,2.6087911128997803,-94.18052463479673,-0.014667545,28.27780515574715,18,-21.454963563337287
344.9185948371887,200000,13.848347187042236,100,16.97098445892334,0.24496960639953613,0.030028820037841797,16.69498610496521,45.3932414511764,-11.13395527932908,-1.3498437e-05,2.5720901489257812,-92.21635226485373,-0.015399405,28.8437183090043,19,-17.663956917881407
361.95230770111084,210000,13.966653823852539,100,17.020716667175293,0.24599695205688477,0.0299680233001709,16.743749856948853,46.957387368074386,-9.174892365315321,-1.3409478e-05,2.51488995552063,-132.73979962091846,-0.013748841,28.891384199616894,20,-14.7802076450224
