LossAfter,Time-Optimization,train-StdReturn,train-MaxReturn,ItrTime,Time,n_timesteps,train-EnvExecTime,Itr,train-MinReturn,train-AverageDiscountedReturn,Time-SampleProc,LossBefore,Time-Sampling,train-NumTrajs,train-PolicyExecTime,train-AverageReturn
0.13481513,0.332000732421875,66.45121675399375,134.2416333621002,17.147422313690186,17.147422313690186,10000,2.8503644466400146,0,-159.02741987408584,20.244403161847067,0.10897278785705566,-1.4189385e-05,16.705448150634766,100,13.5919349193573,17.79061630336311
0.06138196,0.3020000457763672,78.73891888550702,148.01872875456212,17.06252408027649,34.225947856903076,20000,2.9897220134735107,1,-265.30562757698004,-30.890256997898646,0.023999452590942383,-1.4200999e-05,16.735525369644165,100,13.508281469345093,-73.24998871268876
0.0059717176,0.24806737899780273,77.01374571661364,138.0229091762816,17.403116941452026,51.64306402206421,30000,2.936096429824829,2,-233.82180338835872,-4.6594726594418026,0.018001317977905273,-1.4240186e-05,17.136051416397095,100,13.927032709121704,-20.007502185441968
-0.0059593646,0.2665126323699951,73.51079675669426,132.51066784617123,17.96088147163391,69.61784791946411,40000,3.0443077087402344,3,-192.40397383271082,15.605036338974546,0.018967390060424805,-1.4241267e-05,17.67540144920349,100,14.351070404052734,15.125713809135009
-0.004593922,0.26099729537963867,48.68075265640696,169.70183069668008,18.122008085250854,87.75285720825195,50000,3.0796830654144287,4,-55.79941306919127,38.70364196126019,0.020998477935791016,-1.4227416e-05,17.8390109539032,100,14.471129655838013,58.66842097841732
-0.0054561915,0.2680380344390869,39.113343390335324,194.6255389760721,18.513795137405396,106.27965450286865,60000,3.169203281402588,5,-28.954052916512076,53.47308092474942,0.019994735717773438,-1.4193171e-05,18.225762367248535,100,14.762609720230103,84.42408642370725
-0.0041181413,0.2615468502044678,39.77731331668834,172.29928609973533,18.377054452896118,124.66970825195312,70000,3.056002378463745,6,-52.411160070307155,65.26027243073729,0.024000167846679688,-1.4171973e-05,18.09050750732422,100,14.692599773406982,106.16448370214381
-0.002719424,0.2735104560852051,38.049686331265484,201.1755697042534,18.075307607650757,142.75801420211792,80000,2.981415033340454,7,18.766822786456604,74.11164646265304,0.02599954605102539,-1.4143647e-05,17.774797916412354,100,14.515228509902954,121.83557331528378
-0.007010659,0.27300119400024414,37.47676753073229,184.70726810686025,17.785142421722412,160.59415793418884,90000,2.9810192584991455,8,-32.21246036135569,80.93907190580371,0.025996923446655273,-1.4100833e-05,17.486144304275513,100,14.238637924194336,134.57289605902787
-0.006245665,0.24992895126342773,34.103793232406005,204.39538515822775,18.716204166412354,179.32336163520813,100000,3.121805429458618,9,17.524090605042044,88.34570480774312,0.02507162094116211,-1.4036088e-05,18.44020414352417,100,15.0341477394104,147.27953731103435
-0.004823606,0.2500004768371582,27.64296693726508,230.1547557316561,18.035217761993408,197.37157940864563,110000,3.0135679244995117,10,78.68168312423259,98.53960069923913,0.02299976348876953,-1.401668e-05,17.760221242904663,100,14.485302925109863,164.35175990298455
-0.004397509,0.2510340213775635,23.356864549581445,234.40572077104548,17.98306107521057,215.3686399459839,120000,2.9362263679504395,11,121.08981620641566,105.29988737383806,0.0189974308013916,-1.3945942e-05,17.713029623031616,100,14.496389865875244,176.52154216905936
