train-MinReturn,n_timesteps,train-PolicyExecTime,train-AverageReturn,ItrTime,train-StdReturn,train-EnvExecTime,Time-Optimization,Time,train-NumTrajs,train-MaxReturn,LossAfter,Time-SampleProc,Itr,LossBefore,Time-Sampling,train-AverageDiscountedReturn
-134.69350836743627,10000,14.304747104644775,-36.64354696249516,17.574475288391113,35.15303758313883,2.567737340927124,0.34400081634521484,17.574475288391113,100,33.710546836320084,0.03288056,0.09199953079223633,0,-1.525879e-08,17.136475324630737,-22.707766415334742
-139.86424312171837,20000,13.617735147476196,-41.98305682462609,16.693634033203125,32.158549366776555,2.5268936157226562,0.24499845504760742,34.284109115600586,100,26.456126634683937,0.0021401427,0.028975486755371094,1,1.2207031e-08,16.419660091400146,-26.89035147481994
-127.58474869437762,30000,13.957339525222778,-35.55393159247752,16.98118305206299,33.8123183466006,2.5135128498077393,0.2480008602142334,51.279292583465576,100,33.808967440195836,-0.012076336,0.023996353149414062,2,1.1825562e-08,16.70918583869934,-22.565817998966722
-125.41831075198111,40000,13.679130792617798,-34.121661298028656,16.712990045547485,31.802377876051896,2.5047740936279297,0.24799847602844238,68.00628232955933,100,28.75817120330127,-0.013265381,0.0199582576751709,3,-5.531311e-09,16.444031476974487,-21.173555755200567
-124.60878315555576,50000,13.991570949554443,-31.29485221973682,17.00671935081482,33.73251155857605,2.4722375869750977,0.27300047874450684,85.02700328826904,100,34.77426155315809,-0.013663922,0.02498912811279297,4,-0.0041010925,16.70872974395752,-19.643882261085103
-105.08198073287524,60000,13.499591827392578,-35.8548733611342,16.602988958358765,32.33714611748762,2.529768466949463,0.24596667289733887,101.64399290084839,100,31.08917709816651,-0.014916278,0.022008180618286133,5,-6.1035155e-09,16.33401584625244,-23.427520544253316
-109.79136462549846,70000,13.812125205993652,-30.895665581312645,16.860007762908936,31.74653086655498,2.5113346576690674,0.2579996585845947,118.51700091362,100,40.21187849917503,-0.014069144,0.022973060607910156,6,9.155274e-09,16.57903504371643,-19.611807063071186
-107.25741022865697,80000,13.63367247581482,-29.103858076728237,16.677991151809692,33.04294486349433,2.4963815212249756,0.25100016593933105,135.20899081230164,100,44.613197731726686,-0.0138584385,0.028999805450439453,7,-0.0035619598,16.397991180419922,-18.221447512463786
-112.22557405052918,90000,14.005571603775024,-24.539201058508098,17.037991046905518,31.56615988128271,2.506290912628174,0.24500060081481934,152.30297994613647,100,72.05491931309965,-0.014334668,0.026966333389282227,8,-1.2207031e-08,16.766024112701416,-15.916242124621908
-106.52538861909417,100000,14.008025884628296,-16.566614082781438,17.13923931121826,29.347185158672218,2.5849947929382324,0.2480013370513916,169.45521998405457,100,56.239506376086766,-0.0139073515,0.024962186813354492,9,1.5354157e-08,16.865276098251343,-9.728697581525147
-118.33495125635692,110000,13.591416358947754,-19.25056052467896,16.53199005126953,27.730564790279644,2.4089980125427246,0.24299836158752441,186.0002098083496,100,33.098315994447326,-0.013754739,0.02796769142150879,10,-1.9836426e-08,16.2590229511261,-11.752269626749216
-86.33151326072853,120000,13.834428310394287,-22.092965074868722,16.849990844726562,26.712869317247915,2.476736307144165,0.24400067329406738,202.86319947242737,100,41.011308383289425,-0.015229132,0.030968189239501953,11,-6.1035155e-09,16.575021982192993,-12.850903291859536
-100.98365298926312,130000,13.884775161743164,-19.372495443586594,16.9849910736084,25.748314968306563,2.556854486465454,0.2440013885498047,219.8621904850006,100,38.170423778212125,-0.014684882,0.02899789810180664,12,-0.0039125974,16.711991786956787,-12.213114092154486
-101.69202200014615,140000,14.059389591217041,-19.003067188774462,17.108988046646118,28.070886576162412,2.5202677249908447,0.24700069427490234,236.9851794242859,100,39.39791421671306,-0.016139371,0.026965856552124023,13,6.1035155e-09,16.835021495819092,-12.733152165857321
