train-EnvExecTime,train-AverageDiscountedReturn,train-MinReturn,Time-SampleProc,Time,Time-Sampling,train-PolicyExecTime,ItrTime,train-AverageReturn,LossBefore,LossAfter,Time-Optimization,n_timesteps,train-MaxReturn,Itr,train-StdReturn,train-NumTrajs
2.4635355472564697,-0.04908532702484386,-10.463214451585483,0.0859975814819336,16.82057785987854,16.29654884338379,13.591175317764282,16.82057785987854,-0.12236018988733718,0.008762598,-0.35157678,0.4369997978210449,10000,15.689548732944537,0,4.4458817031495785,100
2.518357038497925,20.50749477053977,17.55316955467548,0.017027616500854492,33.45157074928284,16.363994598388672,13.58249831199646,16.615991830825806,25.86069855220178,-0.0025844544,-0.15228388,0.23400115966796875,20000,31.322152351940964,1,3.0068389900624246,100
2.5733132362365723,21.344957739939087,20.774457787540914,0.01599907875061035,50.437586307525635,16.723017930984497,13.886626482009888,16.973016023635864,27.216767762967184,0.014711908,0.0121511165,0.23099875450134277,30000,31.267094974960713,2,2.124635212642219,100
2.547442674636841,21.006423631454222,21.749527731296865,0.023968219757080078,66.55858159065247,15.762025117874146,12.95336127281189,16.10899567604065,27.009795932152365,-0.00985173,-0.06338994,0.3209996223449707,40000,31.159711605511298,3,2.1937676032561018,100
2.5118701457977295,21.33888544348224,21.759034535763615,0.01597309112548828,82.69458055496216,15.77201509475708,13.029727220535278,16.11499834060669,26.923330973602216,0.007919519,-0.074017495,0.3250095844268799,50000,30.608035608962197,4,1.7714100809679436,100
2.5801584720611572,21.45439481412632,20.80518995286492,0.01699972152709961,99.29356288909912,16.330989599227905,13.46952509880066,16.581989765167236,26.689661594538542,0.0063122255,-0.011222485,0.23400044441223145,60000,31.062879824450807,5,1.8424817326067482,100
2.378154993057251,21.569942442350065,19.47581837899439,0.015998125076293945,115.36555600166321,15.809993982315063,13.190274953842163,16.058993577957153,26.963879566283758,0.011663989,-0.034921926,0.23200154304504395,70000,32.36990502476015,6,2.0876755869876407,100
2.4944212436676025,22.17309562697396,24.064226668085155,0.022974014282226562,131.9705467224121,16.336018323898315,13.584852933883667,16.591992378234863,27.3127082643801,0.015256781,-0.04264757,0.2330000400543213,80000,30.55401636383888,7,1.3149822349390854,100
2.406588315963745,22.3628015244052,24.523576284138557,0.01597285270690918,148.13553929328918,15.894019365310669,13.230871438980103,16.152992963790894,27.31410398513734,-0.0004288452,-0.087343134,0.24200057983398438,90000,29.76486561066429,8,1.003632109287063,100
2.4921646118164062,22.417032571215778,25.678711208639907,0.017996788024902344,164.69407057762146,16.290534734725952,13.537747621536255,16.54653310775757,27.39270179087102,-0.009155027,-0.27036643,0.2370007038116455,100000,29.94591898754505,9,0.8987688495225438,100
2.445277690887451,21.063655273976188,24.895145698092474,0.023972034454345703,180.76506304740906,15.797019720077515,13.103980541229248,16.058992624282837,27.13194827982646,0.00052160036,-0.5843741,0.2370007038116455,110000,29.938687543297466,10,1.0269191339615362,100
2.5706729888916016,18.773544976482686,18.365658998965756,0.01799607276916504,197.68819379806519,16.65613555908203,13.847791194915771,16.910131454467773,26.634431763860512,-0.0073858886,-0.9967676,0.23599982261657715,120000,29.99104725958096,11,1.6508054366300449,100
2.4704642295837402,17.375976040127465,2.7656753667298677,0.025000572204589844,213.93827509880066,15.965080976486206,13.24834394454956,16.238081216812134,26.68589640926051,-0.020002868,-0.7758153,0.24699926376342773,130000,30.119138313992714,12,3.059634493459376,100
2.3824868202209473,16.832352805885414,-2.9101934349817915,0.01698899269104004,230.4252691268921,16.22600555419922,13.611937284469604,16.474993467330933,26.435879120014263,-4.5550536e-05,-0.56406593,0.23099875450134277,140000,32.39573651977008,13,3.744030250825516,100
2.4045639038085938,12.395276678155204,-7.853097790744959,0.01699686050415039,247.0739462375641,16.3876793384552,13.73798131942749,16.63667893409729,21.251021283637552,0.004790313,-0.31081358,0.231001615524292,150000,31.10757365388393,14,10.928810877545247,100
2.483700752258301,9.949032968829684,-9.808366722656778,0.017967939376831055,263.4149372577667,16.071024179458618,13.349285125732422,16.32799243927002,17.215871368352904,0.027968667,-0.34116673,0.2390003204345703,160000,33.08923242364818,15,14.136782553230354,100
2.4174907207489014,8.260541137320697,-10.953184292624902,0.02397012710571289,279.97011065483093,16.285206079483032,13.560348510742188,16.543174743652344,15.327307162666587,0.007326181,-0.7120178,0.23299741744995117,170000,31.792361916767117,16,14.092886755655929,100
2.429299831390381,7.063360584036858,-8.679604596952494,0.024001359939575195,295.97810101509094,15.739992618560791,13.04175353050232,15.994991302490234,13.948212723905037,-0.020329837,-0.86892265,0.23099732398986816,180000,31.567370266877408,17,13.38978922864026,100
2.434453010559082,4.990477822595739,-9.035999497184859,0.020998477935791016,312.6879315376282,16.439831495285034,13.732374429702759,16.69683027267456,10.465700952456292,0.02040092,-0.80635464,0.2349989414215088,190000,31.425205106407645,18,12.369698503899654,100
2.429875612258911,4.405213381534023,-7.753568634536854,0.015964984893798828,329.4505708217621,16.5056734085083,13.821237325668335,16.75063943862915,9.288887802672606,-0.0043926546,-1.1675338,0.22900104522705078,200000,31.811689093092077,19,12.52652280902779,100
2.4080684185028076,2.7572763698247735,-7.994370936086791,0.0209653377532959,345.8795642852783,16.153025150299072,13.497824907302856,16.416993141174316,5.9934258270862335,-0.0034345214,-0.62945664,0.2420024871826172,210000,30.286158908056777,20,10.064714672214516,100
2.3467559814453125,0.1694519092556447,-10.389821974169026,0.03599882125854492,362.1823079586029,16.0087468624115,13.418288469314575,16.290745973587036,0.9132616817487839,-0.014271506,-2.4617083,0.24499988555908203,220000,26.176158129113,21,7.240340755324215,100
