Time,train-StdReturn,n_timesteps,LossBefore,train-AverageReturn,ItrTime,train-PolicyExecTime,train-MinReturn,train-AverageDiscountedReturn,train-NumTrajs,Itr,train-MaxReturn,Time-Optimization,Time-Sampling,train-EnvExecTime,Time-SampleProc,LossAfter
18.385252237319946,64.27216762395777,10000,-1.41924365e-05,17.109685187975675,18.385252237319946,14.790497064590454,-150.4076370519165,19.99856378719365,100,0,130.26465896444438,0.28099870681762695,18.071174144744873,3.0119106769561768,0.03206181526184082,0.15017001
37.219897508621216,53.20588212271432,20000,-1.4213464e-05,-92.84318774664594,18.820645809173584,15.106855630874634,-216.37943950567453,-40.89909418985078,100,1,65.30605129000412,0.25499916076660156,18.539647102355957,3.13362455368042,0.02599954605102539,0.021291273
55.5873441696167,68.73802341568208,30000,-1.425743e-05,-67.75929737361498,18.31056046485901,14.644374132156372,-177.6035832362306,-27.24735901150168,100,2,103.63675950414641,0.24899983406066895,18.038555145263672,3.0954031944274902,0.021001100540161133,-0.0033446033
74.16404581069946,84.60355658885865,40000,-1.428109e-05,-39.029098923220616,18.56370186805725,14.937515497207642,-203.58097477021175,-10.961103149713098,100,3,152.63535639365554,0.2759978771209717,18.2677001953125,3.0505175590515137,0.020003795623779297,-0.007079258
92.0822856426239,76.44508932730959,50000,-1.4281621e-05,18.430886683363,17.905240297317505,14.367444276809692,-168.707311743674,20.949798404060648,100,4,156.57379063170563,0.24900054931640625,17.628238916397095,2.9802048206329346,0.026999950408935547,-0.006478091
110.49028301239014,57.23291569598377,60000,-1.4282961e-05,84.90137321703912,18.393997192382812,14.695826530456543,-126.73246207008033,58.48244474878249,100,5,202.06143330583907,0.26604199409484863,18.095979690551758,3.1234817504882812,0.030976057052612305,-0.0077679968
129.14023447036743,57.853476781304224,70000,-1.4279801e-05,114.75609515664745,18.634860277175903,14.904205322265625,-173.18172874385291,74.71580201668475,100,6,195.15879656209924,0.2460012435913086,18.359952211380005,3.104576587677002,0.027997732162475586,-0.009215535
147.2919294834137,36.16901409132318,80000,-1.4234799e-05,157.90791389384964,18.1376953125,14.538892030715942,14.642053667507074,98.24763865250071,100,7,208.53442888930465,0.266887903213501,17.842695951461792,3.0396766662597656,0.027111053466796875,-0.009304957
165.27698683738708,15.825701548608288,90000,-1.4139895e-05,178.5952560616501,17.971057653427124,14.368144989013672,127.25059292909724,109.1544022534319,100,8,209.49687281980474,0.2565290927886963,17.687517166137695,3.0437517166137695,0.027011394500732422,-0.0044237627
183.36150741577148,12.174254733443448,100000,-1.405171e-05,182.011597809199,18.07053518295288,14.458414793014526,146.6663411593787,111.16247037268464,100,9,209.1943215335397,0.2520010471343994,17.796537399291992,3.069267511367798,0.020998001098632812,-0.00470662
201.24961233139038,11.54551675906493,110000,-1.39592e-05,186.95507268374018,17.875105142593384,14.288797378540039,156.94353640569867,113.63317838027837,100,10,212.62614046541967,0.23999929428100586,17.610105752944946,3.0465188026428223,0.02500009536743164,-0.0037603958
220.71552324295044,9.542194138008789,120000,-1.3862655e-05,191.5850267203901,19.451910734176636,15.58410120010376,160.03039614764538,115.69199798309535,100,11,212.87886750062907,0.24900054931640625,19.18280792236328,3.294780731201172,0.020009756088256836,-0.0061718784
239.24347734451294,9.840808645682134,130000,-1.3776643e-05,195.05935848803568,18.51504611968994,14.810558319091797,164.6389389699635,116.9647384933344,100,12,220.85081204820335,0.24799799919128418,18.24404788017273,3.1485683917999268,0.021001577377319336,-0.0054216757
257.3677191734314,8.021322894987797,140000,-1.3700801e-05,197.9609924560157,18.111241817474365,14.522505044937134,176.76851576445344,118.08586789977763,100,13,218.07978759988222,0.24700188636779785,17.843239545822144,3.04244065284729,0.01999950408935547,-0.005987987
276.0581429004669,5.768858303289092,150000,-1.3608518e-05,201.50947427745666,18.676424503326416,14.931284427642822,182.46221787606595,119.55096696466563,100,14,216.06903418457804,0.26900172233581543,18.38642382621765,3.158745050430298,0.02099895477294922,-0.005178499
295.3264465332031,5.99194384859577,160000,-1.3501383e-05,203.60285656256758,19.2543044090271,15.444542407989502,185.06271932905878,120.26537272855822,100,15,224.0382216630307,0.2414238452911377,18.986790895462036,3.234232187271118,0.02608966827392578,-0.004496967
313.5525527000427,5.570297804026925,170000,-1.33969115e-05,205.3529596283449,18.213107109069824,14.564412117004395,191.85635273422298,120.82621764980885,100,16,220.26257491595535,0.2455155849456787,17.947595596313477,3.0995006561279297,0.0189971923828125,-0.004404138
331.2665410041809,5.445977057569396,180000,-1.33078165e-05,205.60248375835835,17.699989795684814,14.096626996994019,189.93569393874927,120.73357185573161,100,17,219.032400412743,0.24699711799621582,17.422990798950195,3.0022542476654053,0.026996612548828125,-0.004989917
349.73860359191895,4.359517444065012,190000,-1.3192394e-05,206.98751812592994,18.45806360244751,14.738932609558105,196.67021682480495,121.27419654531401,100,18,219.529460029651,0.26751232147216797,18.16155457496643,3.1372525691986084,0.02800154685974121,-0.0065234574
367.9071319103241,4.429170503703353,200000,-1.30691315e-05,207.64378394298026,18.154531002044678,14.490589141845703,186.87981836305056,121.6914876925412,100,19,218.46328670192742,0.25800013542175293,17.872528553009033,3.1078851222991943,0.021999120712280273,-0.006468097
386.5428309440613,5.199620675971487,210000,-1.2944347e-05,209.192308725629,18.621697902679443,14.836425065994263,194.0034298219956,122.36153626438482,100,20,221.0634412758146,0.28900146484375,18.304696321487427,3.1776015758514404,0.026999235153198242,-0.007187516
