n_timesteps,train-StdReturn,ItrTime,train-AverageDiscountedReturn,train-MinReturn,LossBefore,LossAfter,train-NumTrajs,train-MaxReturn,Time-SampleProc,Time-Sampling,Itr,train-AverageReturn,train-PolicyExecTime,Time,Time-Optimization,train-EnvExecTime
10000,36.49784921642524,18.5239200592041,-24.178881012360602,-140.21219300042188,-3.3569336e-08,-7.1619577,100,52.71683995871188,0.05800008773803711,18.128921270370483,0,-37.746589839164315,15.209964275360107,18.5239200592041,0.3359990119934082,2.6425671577453613
20000,38.98688099002771,18.19092059135437,-24.56383829643165,-135.77902888629689,4.577637e-09,-0.013350422,100,41.41608678237023,0.02996969223022461,17.904950857162476,1,-38.578056472377554,14.87764835357666,36.72983932495117,0.25299954414367676,2.7458693981170654
30000,37.77981379046721,17.14933490753174,-18.751648948189228,-164.54092092741982,2.4414062e-08,-0.0047227447,100,46.922364647720336,0.028974056243896484,16.869369506835938,2,-29.400432748821487,14.038096904754639,53.893173933029175,0.24899578094482422,2.5821714401245117
40000,38.92265678372354,16.794926404953003,-19.740089399579894,-169.51454927756834,-1.525879e-08,-0.021845141,100,39.95503203061465,0.021999359130859375,16.525927543640137,3,-31.57100364806639,13.60154938697815,70.7021005153656,0.24599862098693848,2.6771600246429443
50000,32.32634043683518,17.179925441741943,-18.896148076640507,-129.8120262031816,4.577637e-09,-0.016330618,100,29.82815448122221,0.041999101638793945,16.8769268989563,4,-29.424884971012144,14.02321982383728,87.89502429962158,0.2589986324310303,2.5796852111816406
60000,53.062198387414,16.659927368164062,-28.15719803260637,-226.77647736824431,-0.00050891115,-0.009708252,100,26.560864223485233,0.04199576377868652,16.35693049430847,5,-45.27778189802946,13.425255298614502,104.56895136833191,0.2610011100769043,2.629718065261841
70000,34.85610229957591,17.042924642562866,-16.749757729006955,-117.51092588941053,-0.0008926819,-0.0110907955,100,61.92443705141432,0.025000333786010742,16.774927616119385,6,-25.17627161201075,13.954005718231201,121.6258749961853,0.2409965991973877,2.5447866916656494
80000,33.684160102581124,16.75892663002014,-19.179106959774984,-114.11764317485957,-6.1035155e-09,-0.01476958,100,44.39805816254657,0.053997039794921875,16.430935859680176,7,-30.152193300092154,13.59615445137024,138.39780259132385,0.26999998092651367,2.5938448905944824
90000,34.59576023614526,17.47892189025879,-15.679768335618387,-144.4544435756839,-6.1035155e-09,-0.010228231,100,45.79642441204312,0.029998779296875,17.196924924850464,8,-24.29159748904795,14.275181531906128,155.8897247314453,0.25099921226501465,2.6655385494232178
100000,38.495218703527115,17.10986590385437,-13.08434902766312,-132.36931345217536,6.1035155e-09,-0.01041512,100,66.4751805454141,0.028999805450439453,16.83286738395691,9,-20.987960059557537,13.99294137954712,173.0135896205902,0.24799871444702148,2.56721568107605
110000,34.30858056991062,16.72711730003357,-14.895949521205457,-142.07098875496402,-1.5258789e-09,-0.012921893,100,45.4285757443035,0.023001432418823242,16.45611810684204,10,-23.823369021657363,13.661895990371704,189.75370407104492,0.24599766731262207,2.53205943107605
120000,37.72998798107743,16.74092698097229,-15.000167165782191,-122.35983569092011,1.8310548e-08,-0.014837863,100,66.38243313841843,0.021998882293701172,16.469926834106445,11,-23.984255629115715,13.566169500350952,206.50763082504272,0.2480003833770752,2.647784948348999
130000,32.17340326915382,17.35392475128174,-14.107058632038461,-116.57574829743544,1.411438e-08,-0.022041647,100,45.768883196004055,0.028998374938964844,17.065926790237427,12,-22.89487832363198,14.037057161331177,223.87455534934998,0.2579996585845947,2.7568559646606445
140000,41.565043895507884,17.19200873374939,-14.654253758843609,-155.09097542144985,-0.0007670456,-0.015014215,100,112.12721531691786,0.023000001907348633,16.926010131835938,13,-23.802733351765713,14.081382989883423,241.08056545257568,0.24299860000610352,2.5801711082458496
150000,33.137823805225366,16.84692883491516,-14.508686807141721,-100.76835071683482,-5.531311e-09,-0.025576642,100,46.86151202491712,0.05400419235229492,16.474929094314575,14,-23.903292419885364,13.624541521072388,257.94049286842346,0.31699442863464355,2.5914289951324463
160000,41.603779235420035,17.17769455909729,-14.015151673271596,-145.37809566763966,-1.2207031e-08,-0.025634985,100,57.72466612337665,0.02599811553955078,16.891695022583008,15,-22.411046018979356,14.036012411117554,275.13118720054626,0.2590012550354004,2.5930631160736084
170000,42.661807729445464,16.738927602767944,-9.037013373127223,-144.6841964055913,1.2207031e-08,-0.016775904,100,73.10051040081338,0.02099776268005371,16.469930410385132,16,-14.202954591386654,13.589067459106445,291.88311314582825,0.24699807167053223,2.583021879196167
180000,41.38821805921969,16.72392702102661,-12.417281783170049,-166.68804540701436,9.155274e-09,-0.02432447,100,85.37308297446185,0.026996374130249023,16.45293164253235,17,-17.873860172777437,13.589683532714844,308.6210415363312,0.24299860000610352,2.6212236881256104
190000,33.28997529805553,16.878928661346436,-8.284293152945267,-95.45977305864221,1.5258789e-09,-0.015592181,100,65.14887744077775,0.02100086212158203,16.617929697036743,18,-12.202118435319933,13.863925218582153,325.51296973228455,0.23999810218811035,2.503376007080078
200000,39.371047990556285,17.12692642211914,-6.255347088518358,-174.5606512724962,-0.0011151184,-0.016113697,100,76.01347659575258,0.029973268508911133,16.854952573776245,19,-9.93947310227453,13.977179288864136,342.6528949737549,0.24099969863891602,2.6093337535858154
210000,35.47315481365004,17.296095609664917,-5.667196037215889,-100.60213889865355,1.449585e-08,-0.022746596,100,81.65905797068665,0.028998613357543945,17.023096323013306,20,-7.4934005153788075,14.183095693588257,359.9619905948639,0.24299931526184082,2.5735890865325928
220000,35.61027264147834,16.9840886592865,-8.683559243915077,-103.63742289826017,4.577637e-09,-0.021819249,100,100.23038928078574,0.027998685836791992,16.714091539382935,21,-13.914317158819534,13.877382040023804,376.9600784778595,0.24099969863891602,2.592634439468384
230000,35.06437271781566,16.713927507400513,-6.886196031246871,-92.53670518378654,-0.00029653092,-0.014538552,100,76.7082834826315,0.020973920822143555,16.450929164886475,22,-10.762707666111675,13.776847124099731,393.6880054473877,0.23999738693237305,2.4061903953552246
240000,35.47596112237729,16.885928630828857,-9.28873582005818,-155.58783173494672,2.1362304e-08,-0.025304178,100,50.518773220796135,0.025967836380004883,16.616961002349854,23,-13.75414915597413,13.783422946929932,410.5869331359863,0.24299979209899902,2.554187297821045
250000,31.554210896018184,16.90792679786682,-3.1079002109911213,-127.68591822635057,6.1035155e-09,-0.011144383,100,76.62934699825729,0.019968509674072266,16.64295983314514,24,-5.149006752066948,13.86837363243103,427.5088601112366,0.24499845504760742,2.523719310760498
260000,36.44937623055948,16.588929891586304,-3.029287978982244,-141.03660314274515,-1.2207031e-08,-0.013641238,100,81.81620823467858,0.02496504783630371,16.316964149475098,25,-6.381964456086105,13.557821273803711,444.1117913722992,0.24700069427490234,2.485612392425537
270000,34.324832731777306,16.688929319381714,-4.536162724893966,-114.24121402969172,-0.0010042968,-0.012927572,100,86.01908630789585,0.025969982147216797,16.41093158721924,26,-6.1374519936528555,13.688997030258179,460.8147177696228,0.24999690055847168,2.481832981109619
280000,35.65538723442192,17.04092502593994,-9.651220455434256,-144.11352981277193,-0.0011824158,-0.018436614,100,54.04210517404098,0.02296280860900879,16.769962787628174,27,-14.947902371542574,13.93660855293274,477.8696436882019,0.2479994297027588,2.527172803878784
290000,39.644599577222905,17.12592625617981,-10.872539551090558,-124.29542807391496,2.4414062e-08,-0.018150933,100,90.17254508959081,0.020966529846191406,16.862963438034058,28,-17.46408902056928,13.953510999679565,495.00956988334656,0.24199628829956055,2.6568589210510254
300000,37.45531137837513,16.953925848007202,-9.002998686610614,-111.38752941595327,1.9073486e-08,-0.01643701,100,79.41744358026742,0.020998716354370117,16.688929796218872,29,-14.466893808281524,13.934024333953857,511.9774980545044,0.24199914932250977,2.4974191188812256
310000,35.51174189165882,17.10392999649048,-9.542049304105138,-118.39897996480391,-7.629395e-09,-0.017076053,100,60.509771141327086,0.030963897705078125,16.832966566085815,30,-13.717628199212777,14.022703409194946,529.0954275131226,0.23999953269958496,2.5374350547790527
320000,44.87908497612722,16.676931381225586,-11.747023850899641,-165.22716239925933,1.411438e-08,-0.022677135,100,70.89577880292991,0.028974294662475586,16.390958309173584,31,-18.217501779571702,13.599623441696167,545.789359331131,0.25699877738952637,2.5347683429718018
330000,45.38573161295222,17.039929389953613,-15.06185423566925,-144.12372052082986,-9.918213e-09,-0.018450867,100,82.43121324544579,0.020975351333618164,16.77095651626587,32,-21.042243592677615,13.938223361968994,562.8432893753052,0.24699735641479492,2.5633249282836914
340000,41.9571828065571,17.325929164886475,-11.454985551148763,-152.04287726888387,1.525879e-08,-0.018219195,100,62.19399721199244,0.028998374938964844,17.047931909561157,33,-17.09351843914365,14.171606540679932,580.1822180747986,0.24799847602844238,2.607468843460083
350000,42.95063266535229,16.804931640625,-7.767097018441539,-143.88360226396372,-1.5258789e-09,-0.024771187,100,94.28968969442492,0.026996135711669922,16.528935194015503,34,-12.048926550417416,13.728640079498291,597.0001494884491,0.24900031089782715,2.534214735031128
360000,36.87886696309589,16.954930067062378,-10.123230240968212,-142.9720074087962,4.577637e-09,-0.029782265,100,65.25950497323828,0.02300119400024414,16.688932180404663,35,-15.71266608733297,13.909403562545776,613.968079328537,0.24199581146240234,2.5269954204559326
370000,32.798049612930036,16.771931648254395,-7.692459306785157,-122.53315938145157,1.0681152e-08,-0.011857054,100,73.42518934324211,0.02096843719482422,16.49996542930603,36,-11.238742486587446,13.76561713218689,630.7530109882355,0.24999737739562988,2.4857723712921143
380000,36.90752956991176,17.048929452896118,-9.70340156726734,-153.59692619356426,7.629395e-09,-0.021516273,100,81.83199235208517,0.02697467803955078,16.77095675468445,37,-14.714546763851097,13.975421905517578,647.8149409294128,0.2499983310699463,2.53629207611084
390000,40.342785292793444,17.58792805671692,-6.156956851685628,-140.461974064378,-1.525879e-08,-0.026514126,100,85.0118927595169,0.021968603134155273,17.314962148666382,38,-10.497610486277091,14.364533424377441,665.4158687591553,0.25099730491638184,2.651421308517456
400000,36.75913227887159,17.231794595718384,-4.059397083113459,-103.41341237091979,-1.6784668e-08,-0.022690017,100,109.4287265073576,0.02597951889038086,16.962817907333374,39,-6.481906821267973,14.062200546264648,682.6606631278992,0.2429971694946289,2.6372668743133545
410000,33.395241973089995,16.932930946350098,-5.33643359080898,-97.27625144731572,9.918213e-09,-0.021422358,100,76.71580479271995,0.02800130844116211,16.657933473587036,40,-8.93766746004885,13.738806247711182,699.6065938472748,0.24699616432189941,2.6218526363372803
420000,32.59482020799571,16.642931699752808,-2.6065268959191052,-78.93985844904572,-9.155274e-09,-0.014146265,100,81.59887485528391,0.021970510482788086,16.375970363616943,41,-6.464525459387696,13.684457063674927,716.2635252475739,0.2429969310760498,2.4108476638793945
430000,37.387376732172044,17.15292978286743,-3.227245590252052,-148.70383077017806,6.1035155e-09,-0.02804413,100,101.66731303846313,0.02296733856201172,16.887964963912964,42,-7.386905229310327,14.090287446975708,733.4314548969269,0.24099993705749512,2.538785696029663
440000,34.952521554672046,16.660932064056396,-6.909642404609328,-111.32402158575114,-0.0013107422,-0.022823684,100,64.82766328954953,0.03000164031982422,16.38893437385559,43,-12.263304559358325,13.59439468383789,750.1063871383667,0.24199604988098145,2.5385749340057373
