Iteration,Average Returns
0,-1086.2625732421875
5,-807.3701782226562
10,-111.18302154541016
15,-88.4996109008789
20,-87.01570892333984
25,-92.23716735839844
30,-110.07904815673828
35,-103.37715911865234
40,-100.74687957763672
45,-86.16216278076172
50,-87.20124053955078
55,-88.9742660522461
60,-88.45018005371094
65,-91.16503143310547
70,-106.14102935791016
75,-86.83857727050781
80,-85.89104461669922
85,-104.61349487304688
90,-91.47623443603516
95,-105.79857635498047
100,-110.64407348632812
105,-106.56611633300781
110,-88.63333892822266
115,-85.7813720703125
120,-85.45602416992188
125,-89.21048736572266
130,-86.16719055175781
135,-84.8695297241211
140,-85.83760070800781
145,-89.2005844116211
