Iteration,Average Returns
0,-1083.2343305040295
10,-1153.0476124810257
20,-70.98529339758868
30,-65.90171089425874
40,-70.29191083045619
50,-72.24881612668895
60,-72.50451170233384
70,-73.62142763746986
80,-77.37650391612752
90,-77.0930680169164
100,-79.50380653314102
110,-78.82520409349218
120,-78.9524042439121
130,-85.02478405171699
140,-100.72258807960979
150,-121.47610858168225
160,-93.87360310196185
170,-1607.9747853880056
180,-1649.404827226807
190,-1668.4228283563032
200,-1666.1220136322663
210,-1639.4966527331421
220,-1619.130447786621
230,-1673.669368147681
240,-1643.7956131513058
249,-1733.1531871946113
