LossBefore,Time-Sampling,train-AverageDiscountedReturn,train-MinReturn,train-MaxReturn,Time-Optimization,n_timesteps,train-NumTrajs,ItrTime,LossAfter,train-StdReturn,train-PolicyExecTime,train-AverageReturn,train-EnvExecTime,Time-SampleProc,Time,Itr
-1.4183282e-05,17.354267120361328,0.9941387506942493,-9.834946695884653,22.909628299255665,0.34999585151672363,10000,100,17.78226327896118,0.028789565,6.440199782433415,14.495321989059448,2.181688747742115,2.590346574783325,0.07700037956237793,17.78226327896118,0
-1.4231589e-05,16.390952825546265,-0.1623368848697284,-10.32034467602385,12.716782145595529,0.2599983215332031,20000,100,16.667919874191284,-0.0043991185,4.796619084123218,13.704718112945557,0.3715243053779498,2.407043218612671,0.016968727111816406,34.46918296813965,1
-1.4276643e-05,15.724925756454468,1.613348700526774,-9.131938492901783,24.735059534970315,0.24799585342407227,30000,100,15.996922969818115,-0.004333659,6.307975851017275,13.235416889190674,3.0985821580027784,2.245800495147705,0.023001432418823242,50.479106187820435,2
-1.4247051e-05,16.126922369003296,5.429153594469762,-7.445738764400901,26.073505288801098,0.2689986228942871,40000,100,16.419920682907104,-0.005517771,7.556013870098153,13.464822053909302,9.223595141591971,2.400428533554077,0.023999691009521484,66.91202688217163,3
-1.4210841e-05,16.21892285346985,9.203876257048057,-4.544950165285686,30.384071529706173,0.24799799919128418,50000,100,16.49092149734497,-0.006645381,7.476058608073172,13.460563659667969,15.01974186596002,2.496809720993042,0.02400064468383789,83.41594862937927,4
-1.417973e-05,16.263943672180176,12.292721645392238,-1.0970278671341678,30.694574686594862,0.2539975643157959,60000,100,16.54192066192627,-0.0055850423,7.7132931903753175,13.471352100372314,18.65006664658531,2.4689712524414062,0.018979310989379883,99.97786903381348,5
-1.4135618e-05,16.324922800064087,16.142666207593123,8.951218769184047,30.4129542422402,0.26799798011779785,70000,100,16.617920637130737,-0.005526367,4.652536391686196,13.580052852630615,24.085293419013055,2.488420248031616,0.023975849151611328,116.60978960990906,6
-1.4067665e-05,16.13295602798462,17.054390443187383,2.163003717312785,32.24176141750842,0.2839975357055664,80000,100,16.433921337127686,-0.004140043,5.710848700765186,13.423463344573975,24.42710412948617,2.427198648452759,0.0169677734375,133.05671048164368,7
-1.4010868e-05,16.385959148406982,18.906546514863088,19.248229498237812,31.951459343198927,0.28996801376342773,90000,100,16.693920373916626,-0.0031580953,2.5576627739078663,13.5283203125,26.5022938614465,2.6076931953430176,0.017030715942382812,149.764630317688,8
-1.390679e-05,17.096917390823364,20.133151377244147,17.96778431582648,31.706879225265535,0.28299570083618164,100000,100,17.403915643692017,-0.0031630495,2.3867222070538867,14.192862749099731,27.3265364916437,2.642667531967163,0.024002552032470703,167.18154621124268,9
-1.3792467e-05,17.30791974067688,20.457209243132983,23.036037223620774,31.4627800092223,0.2929971218109131,110000,100,17.620915174484253,-0.0021205563,1.8214783670056194,14.334139823913574,27.485863922240597,2.672346591949463,0.01999831199645996,184.81546139717102,10
-1.3689875e-05,17.319947242736816,20.625545786952195,14.938144283889542,31.3475841823192,0.2599673271179199,120000,100,17.604915142059326,-0.0026824467,2.315760673098833,14.26581358909607,27.591817195695224,2.781297206878662,0.024000167846679688,202.43437695503235,11
-1.3589973e-05,16.45095992088318,21.154220485252523,21.82421595203213,31.222411964486945,0.25499582290649414,130000,100,16.72692036628723,-0.0020678253,1.7276736930343006,13.650022983551025,27.883312367314556,2.5309441089630127,0.018999576568603516,219.1742968559265,12
-1.3484182e-05,16.432921409606934,21.075617625273622,22.742877494550395,31.139985672209747,0.25899791717529297,140000,100,16.709920406341553,-0.00234363,1.618903422898228,13.652392625808716,27.766741828702422,2.523975372314453,0.016030550003051758,235.897216796875,13
-1.33678695e-05,16.313920974731445,21.626501466408953,23.985158563612107,31.30312817940146,0.2629971504211426,150000,100,16.59591817855835,-0.001358449,1.436200248442391,13.580041408538818,28.120529300933022,2.462401866912842,0.01900005340576172,252.50613641738892,14
-1.326771e-05,16.127923250198364,21.30926396590722,23.6033846528231,30.2133880273434,0.2619965076446533,160000,100,16.406920671463013,-0.0005554217,1.2386686925863508,13.448523998260498,27.917233081292878,2.411424398422241,0.015999555587768555,268.9260573387146,15
-1.3185012e-05,16.79395627975464,21.987913396080394,24.545721322444514,31.137537069408776,0.259000301361084,170000,100,17.071921586990356,-0.0015598806,1.3130438367571768,13.899664640426636,28.230025654950897,2.5787320137023926,0.017964839935302734,286.0099790096283,16
-1.3099249e-05,16.64925527572632,21.44007040886781,24.577905703717672,32.05623097023899,0.2550008296966553,180000,100,16.92523956298828,-0.001448174,1.3871747793998008,13.799222707748413,28.00595452589014,2.5893120765686035,0.019972801208496094,302.9482173919678,17
-1.3016239e-05,16.739924907684326,21.39136578014154,23.547730201301388,30.697394790348213,0.2579996585845947,190000,100,17.02192211151123,-0.0013644476,1.4321460579857668,13.953011751174927,27.761471954087334,2.540170669555664,0.02399754524230957,319.9831383228302,18
-1.2939983e-05,16.723273754119873,21.769704475113766,23.67907500814468,31.372394394456922,0.25699830055236816,200000,100,16.998241662979126,-0.0010634116,1.4123967735771794,13.849773168563843,28.099890438671206,2.592989921569824,0.016968727111816406,336.99437975883484,19
-1.2847022e-05,16.499660968780518,21.747763656153708,24.731700586808216,30.973515711533782,0.26200032234191895,210000,100,16.777626991271973,-0.0014638642,1.4199757233202734,13.653969526290894,27.994838946207707,2.5796728134155273,0.015965700149536133,353.78500628471375,20
