Time-Sampling,Time-Optimization,n_timesteps,LossAfter,Time,train-MaxReturn,train-StdReturn,LossBefore,Itr,Time-SampleProc,ItrTime,train-AverageDiscountedReturn,train-MinReturn,train-NumTrajs,train-AverageReturn,train-EnvExecTime,train-PolicyExecTime
15.997120380401611,0.34796786308288574,10000,-1.3375183,16.353090524673462,22.379261405721874,5.949268854350371,0.00045944823,0,0.008002281188964844,16.353090524673462,0.7683643441691309,-10.686073077808043,100,1.8196406737378399,2.158702850341797,13.5994291305542
16.542017221450806,0.24296808242797852,20000,-3.857579,33.16107535362244,30.1853989979297,2.9477748108615778,0.0063503664,1,0.006999969482421875,16.79298496246338,17.8208221963915,12.454761966137358,100,25.220614875900186,2.5869956016540527,13.698180437088013
16.824745893478394,0.23600172996520996,30000,-5.140319,50.2438006401062,31.434670209917922,2.255719172717402,0.013993071,2,0.006997585296630859,17.069725275039673,19.237262551331995,18.880805462154534,100,26.30259999677919,2.5871167182922363,13.967874765396118
16.546297788619995,0.23799920082092285,40000,-4.6013503,67.04809713363647,29.40633575265237,1.7385976450717275,-0.018506607,3,0.00700068473815918,16.791297674179077,19.4413707195185,21.522749961982417,100,26.04020674793652,2.5322446823120117,13.77758526802063
16.644020795822144,0.2389659881591797,50000,-2.902676,83.95308375358582,30.794612498292057,1.9996374176824336,0.016342828,4,0.006999969482421875,16.890986442565918,19.572697539269722,19.10608162095065,100,26.034862117799157,2.5908002853393555,13.798535108566284
16.404987335205078,0.23599839210510254,60000,-1.589435,100.61407041549683,30.277579264149736,1.9855959797321814,0.0033310226,5,0.007026195526123047,16.64898681640625,19.491938162956522,21.481539995389355,100,25.95993564226286,2.5816636085510254,13.532614707946777
16.59634566307068,0.23199963569641113,70000,-0.9307447,117.46341490745544,29.163319576080394,1.763997839228786,0.0038376756,6,0.007997989654541016,16.83634328842163,19.059287452666638,18.31351066446015,100,25.662874999411507,2.5397989749908447,13.806913375854492
15.954988718032837,0.23499822616577148,80000,-0.6410176,133.67340207099915,29.245917064376574,2.056544421874002,0.014539322,7,0.007000446319580078,16.19698739051819,18.95112855661689,19.290522952481226,100,25.592192631483623,2.5591917037963867,13.141625165939331
16.66028356552124,0.23399996757507324,90000,-0.503965,150.58768248558044,30.515701384221902,1.97963053935403,-0.0019246223,8,0.006997585296630859,16.901281118392944,18.985376885096137,19.863557213002625,100,25.796974780387586,2.508814811706543,13.895249366760254
16.253266096115112,0.23599648475646973,100000,-0.41824532,167.0969295501709,29.519503090879184,2.5125427837155088,0.0036581696,9,0.006006956100463867,16.496246337890625,18.823248678735734,12.416958145757038,100,25.673174441500787,2.5486092567443848,13.437881708145142
16.077466249465942,0.24799799919128418,110000,-0.34090123,183.4423942565918,29.654101828603345,1.924980582973584,0.01878975,10,0.006999969482421875,16.333465337753296,18.68618294653297,18.241352932470246,100,25.61637735796578,2.4587669372558594,13.368748664855957
16.493922233581543,0.23599863052368164,120000,-0.32034838,200.19131112098694,30.010284974177402,3.843636612636796,0.0023336739,11,0.0059604644775390625,16.736919403076172,18.520361151028567,2.73177281899336,100,25.186777025356413,2.5374865531921387,13.700923919677734
16.40095615386963,0.24099969863891602,130000,-0.31241393,216.85426664352417,30.508918242526676,3.132763561632165,-0.018395357,12,0.008000373840332031,16.649956226348877,18.412153979843406,6.334555539560838,100,25.310656739050923,2.5380775928497314,13.604301929473877
16.23898696899414,0.2370007038116455,140000,-0.27260894,233.35025310516357,30.362574229188226,2.2957756094609945,-0.0034045517,13,0.006998777389526367,16.482986450195312,18.53900675244732,15.906323489646063,100,25.682152220633768,2.5723307132720947,13.415148735046387
16.510756731033325,0.23398327827453613,150000,-0.24357945,250.11497807502747,29.365825609915248,3.3353222242537828,0.009821637,14,0.006984710693359375,16.75272560119629,18.47873741169064,-0.2560857132942659,100,25.221930721648082,2.5272083282470703,13.72861099243164
16.173153162002563,0.23799896240234375,160000,-0.26669443,266.54510402679443,29.41872089065622,2.440137240127321,-0.01448044,15,0.006974458694458008,16.418126583099365,18.727401569715738,16.533456334945157,100,25.666374442973083,2.478234052658081,13.452743530273438
15.94103717803955,0.24299836158752441,170000,-0.24061817,282.7490904331207,30.509515544255397,1.8130991709850006,0.002930744,16,0.006951332092285156,16.19098687171936,18.986580838245054,21.835871891211237,100,25.99412794474253,2.361811399459839,13.301448345184326
15.870012521743774,0.25499892234802246,180000,-0.22370693,298.89507818222046,30.745994245385983,2.0415555979059636,-0.0012206711,17,0.007974863052368164,16.133988618850708,19.199866037797683,16.535614257137972,100,26.23744377951239,2.394118547439575,13.238147974014282
16.53903889656067,0.2389671802520752,190000,-0.21030718,315.6930785179138,29.991366955199,4.239286173688196,0.0020129464,18,0.006994962692260742,16.785001039505005,18.49017002536514,-0.9482839243591307,100,25.26857392494729,2.498358964920044,13.795926570892334
16.356990337371826,0.2259962558746338,200000,-0.2074376,332.29606437683105,30.879821050073588,1.808439838647401,0.0044715675,19,0.0070018768310546875,16.59098505973816,19.370200564739662,22.191051571308048,100,26.37067513393351,2.523324966430664,13.587199687957764
16.6540846824646,0.2259683609008789,210000,-0.2348771,349.1961166858673,30.308524031243657,2.096615126825526,-0.01547647,20,0.0069692134857177734,16.88805079460144,19.31354058135305,16.24273061585443,100,26.264172564701436,2.5477447509765625,13.872167587280273
16.471789121627808,0.23197126388549805,220000,-0.21118635,365.9198784828186,30.289743213266807,2.8584801052575592,0.01028265,21,0.007002353668212891,16.71076273918152,19.35793809837385,5.513670271083231,100,26.267978475134772,2.5411641597747803,13.681341409683228
