train-PolicyExecTime,train-NumTrajs,train-MaxReturn,train-MinReturn,LossBefore,Time-Optimization,ItrTime,Itr,train-AverageReturn,train-EnvExecTime,LossAfter,train-AverageDiscountedReturn,n_timesteps,train-StdReturn,Time-Sampling,Time-SampleProc,Time
13.702180862426758,100,13.287724682899741,-9.714260642853557,-1.418023e-05,0.28099942207336426,16.717921495437622,0,-0.1105233772546916,2.4487757682800293,0.028602425,-0.028600558197448656,10000,4.544632968711833,16.408955574035645,0.02396702766418457,16.717921495437622
13.661768913269043,100,22.241199207408783,-10.290567052168463,-1.4282269e-05,0.24500012397766113,16.50995659828186,1,0.6018029055788937,2.3308074474334717,0.021795494,0.2225809521502854,20000,5.965402853902165,16.244992971420288,0.016964435577392578,33.24187922477722
13.643049955368042,100,23.892065088720702,-10.340494016791018,-1.4357704e-05,0.2409956455230713,16.344955921173096,2,4.838668207371025,2.1905765533447266,-0.005392737,2.336778612583964,30000,8.185861910981886,16.076992750167847,0.025999784469604492,49.59983539581299
13.600225925445557,100,29.63301644438778,-5.6268837752217085,-1.4361731e-05,0.23799753189086914,16.574957132339478,3,17.191503437138003,2.4465622901916504,-0.007640805,10.300528765106721,40000,7.8327699753880395,16.312957763671875,0.0240018367767334,66.1877932548523
13.48446273803711,100,30.991217116303847,-2.121180377344428,-1.4352451e-05,0.2509653568267822,16.437957048416138,4,20.264881046495947,2.444091320037842,-0.004297266,12.979872163401346,50000,7.560237503028076,16.16895866394043,0.01803302764892578,82.63875031471252
13.390572547912598,100,30.6820097917877,5.248602118631554,-1.43034085e-05,0.2429957389831543,16.429956912994385,5,24.71335356061197,2.5022518634796143,-0.0047661685,16.179544201276272,60000,5.114669603929741,16.16399049758911,0.02297067642211914,99.08170676231384
13.624271154403687,100,32.25506070574737,11.445557400929832,-1.4249343e-05,0.24500226974487305,16.58295726776123,6,26.575215057626306,2.444859504699707,-0.002123702,18.923927563780246,70000,3.7123093894927313,16.31595754623413,0.01995372772216797,115.6776659488678
13.401577472686768,100,31.432925978863388,13.278494698330226,-1.4176054e-05,0.2409968376159668,16.47795581817627,7,26.76045723116314,2.5504539012908936,-0.004243339,19.545612446706553,80000,3.356950395481473,16.211989164352417,0.023969411849975586,132.16862082481384
13.434403657913208,100,30.97225967898505,19.566953016391185,-1.4063467e-05,0.2559993267059326,16.507957935333252,8,27.531073812195224,2.503699541091919,-0.0030099303,20.614577094000083,90000,1.9851379571923686,16.22700309753418,0.023955345153808594,148.68957948684692
13.559927701950073,100,31.514796986308312,18.757149453705516,-1.3989207e-05,0.2370002269744873,16.496958255767822,9,27.32704238112857,2.4334027767181396,-0.0022291872,20.74989604151436,100000,2.3957522008489045,16.239959478378296,0.01899862289428711,165.19953680038452
13.559066534042358,100,30.683605956934578,2.2563782846461002,-1.3914503e-05,0.2409982681274414,16.510956048965454,10,27.36347215274595,2.468111753463745,-0.0024252527,20.53012884139704,110000,3.2811035736079828,16.25098967552185,0.016968250274658203,181.72349214553833
13.629804372787476,100,31.515773562015184,8.744929525510821,-1.3844325e-05,0.24100017547607422,16.568958044052124,11,28.146642294502886,2.409590721130371,-0.0044372827,21.61237997644215,120000,2.452675146809984,16.30695939064026,0.018998384475708008,198.30445003509521
13.440128564834595,100,32.81988609988414,18.679837271036014,-1.3770787e-05,0.24400091171264648,16.370959520339966,12,28.08517729499737,2.414147138595581,-0.0023153333,21.737519474238162,130000,2.0730909798708597,16.108991622924805,0.016965627670288086,214.6884081363678
13.65217900276184,100,32.20060567034988,22.862797940749793,-1.3698186e-05,0.24599862098693848,16.654958248138428,13,28.436106448251252,2.457305431365967,-0.0030039793,22.104049135874753,140000,1.4290142960254275,16.390010356903076,0.018949270248413086,231.35636520385742
13.493749380111694,100,31.881284956118606,23.410484888366582,-1.3622893e-05,0.2429978847503662,16.473163604736328,14,28.33810224270026,2.4520788192749023,-0.0022064485,22.084506169266938,150000,1.6132213721610018,16.204209327697754,0.025956392288208008,247.84253001213074
13.531286716461182,100,30.91157924133764,23.92147558646675,-1.3544202e-05,0.2469954490661621,16.57295870780945,15,28.23186957502045,2.51724910736084,-0.0034496079,22.05952690267808,160000,1.5533137778051587,16.299960613250732,0.02500176429748535,264.42848896980286
13.492960691452026,100,31.973241462589645,19.220075344907883,-1.3455124e-05,0.24396848678588867,16.551958560943604,16,28.341245884802237,2.4999802112579346,-0.003538263,22.36874703603543,170000,1.7516644718990635,16.285959005355835,0.022031068801879883,280.9934470653534
13.678594589233398,100,32.45774299984557,20.301917719286156,-1.3380492e-05,0.2539975643157959,16.801413774490356,17,28.632245737456657,2.5720155239105225,-0.0038207402,22.780799605257652,180000,1.8844852372902443,16.514448404312134,0.03296780586242676,297.84786438941956
13.488919019699097,100,31.76617847441313,23.16808105616199,-1.3299599e-05,0.24399805068969727,16.50995707511902,18,28.294418761679562,2.5045762062072754,-0.0035534499,22.376138131969448,190000,1.6793140651407188,16.248959064483643,0.01699995994567871,314.3708231449127
13.55595588684082,100,32.57242236552565,22.22376176023594,-1.3212456e-05,0.24400115013122559,16.622959852218628,19,28.20301924818489,2.5592167377471924,-0.0030291034,22.423582154693733,200000,1.9457536707006113,16.353960275650024,0.02499842643737793,331.00678300857544
13.65713119506836,100,32.74183768952654,21.48569740136696,-1.3112739e-05,0.23999619483947754,16.568957567214966,20,28.237850614274926,2.4115798473358154,-0.0011343104,22.54609767909583,210000,2.1559499023147257,16.308000087738037,0.020961284637451172,347.5887393951416
