Average Returns,Iteration
-500.0,0
-500.0,5
-366.0,10
-223.0,15
-198.0,20
-500.0,25
-264.0,30
-500.0,35
-500.0,40
-202.0,45
-134.0,50
-138.0,55
-144.0,60
-142.0,65
-141.0,70
-148.0,75
-151.0,80
-149.0,85
-146.0,90
-141.0,95
-146.0,100
-149.0,105
-145.0,110
-150.0,115
-148.0,120
-148.0,125
-150.0,130
-145.0,135
-147.0,140
-147.0,145
