Time-Sampling,Time-Optimization,train-AverageReturn,train-NumTrajs,train-PolicyExecTime,LossBefore,train-MaxReturn,train-MinReturn,LossAfter,train-StdReturn,Time-SampleProc,ItrTime,n_timesteps,Time,Itr,train-EnvExecTime,train-AverageDiscountedReturn
18.289679050445557,0.2969975471496582,17.77058675951016,100,14.867048740386963,-6.1035155e-09,128.4079578998,-176.1913477433201,-1.016539,63.30814718851007,0.03200244903564453,18.61967897415161,10000,18.61967897415161,0,3.098440408706665,20.27453178589757
17.774720907211304,0.24500083923339844,60.6393247569103,100,14.425493955612183,1.2207031e-08,202.0919169750163,-172.9607873686682,-0.019524787,61.20870303537203,0.01799917221069336,18.0387225151062,20000,36.71143412590027,1,3.092087984085083,36.27915054866517
17.810864448547363,0.2409670352935791,50.73944335028009,100,14.599457502365112,6.1035155e-09,212.56026022241005,-127.40723706992803,-0.060414,74.61347365761827,0.019001007080078125,18.07083249092102,30000,54.796265602111816,2,2.9596433639526367,30.692121285106154
17.75549030303955,0.2389681339263916,125.55955966945182,100,14.55346941947937,6.1035155e-09,204.07680081570217,68.09693495559571,-0.095648035,34.64490372968088,0.022960901260375977,18.020458221435547,40000,72.82972526550293,3,2.935309410095215,77.9836934645044
17.695679187774658,0.2430129051208496,168.9619471045834,100,14.494616270065308,9.155274e-09,206.48012245437445,133.75688112646725,-0.016593952,13.172390718087353,0.016998291015625,17.955690383911133,50000,90.79841446876526,4,2.960146903991699,102.46159570157093
17.67012929916382,0.23600029945373535,168.33611424858597,100,14.477291345596313,-6.1035155e-09,183.5019552728293,148.06298441097982,-0.040591985,7.714651391343744,0.022995710372924805,17.92912530899048,60000,108.74053883552551,5,2.9242005348205566,102.42629716747227
17.86047911643982,0.24199938774108887,181.6302766666201,100,14.65520429611206,3.0517577e-09,196.40837485916705,159.62937719903127,-0.051432177,6.103136831240451,0.02595353126525879,18.12943196296692,70000,126.8829710483551,6,2.9165117740631104,108.84326260488753
17.81304097175598,0.24752306938171387,190.46857214789554,100,14.543179035186768,-7.247925e-09,203.1055709630351,154.09411042665826,-0.0138513455,9.992148663976943,0.018997669219970703,18.081629753112793,80000,144.97759890556335,7,2.9990577697753906,111.41128764678011
17.685736894607544,0.24706220626831055,196.7394477397798,100,14.3987455368042,-0.009737591,204.32263293964562,174.9259076726209,-0.039684143,4.702923185222005,0.02799844741821289,17.966796875,90000,162.95739579200745,8,3.0156846046447754,114.67400500792618
17.854052543640137,0.2429971694946289,198.12232139636205,100,14.481008052825928,6.1035155e-09,203.30009625354813,189.21081701426246,-0.024844402,2.590818923759122,0.024970054626464844,18.12401843070984,100000,181.09535098075867,9,3.1128501892089844,116.112367550975
17.781506538391113,0.23600029945373535,198.98389674751706,100,14.497185707092285,-1.2207031e-08,206.92118736321618,190.47772212883763,-0.020619141,3.2881598565617827,0.022996187210083008,18.041504621505737,110000,199.14985609054565,10,3.0173134803771973,116.5852902269944
17.872632026672363,0.24500131607055664,201.34995372583754,100,14.606148719787598,6.1035155e-09,210.4869619311947,185.4906646759558,-0.011403677,5.121879496705715,0.018000364303588867,18.13563370704651,120000,217.298490524292,11,3.017641067504883,117.43910291356244
17.74554181098938,0.2375175952911377,205.50473906332095,100,14.387919187545776,-6.1035155e-09,213.9251139321299,195.54143829393863,-0.024230871,4.089035955587354,0.02689647674560547,18.009955883026123,130000,235.32144498825073,12,3.101811408996582,118.89120245030344
17.543891668319702,0.23999691009521484,205.46413446991147,100,14.232275485992432,3.0517577e-09,213.8328152929868,198.13260670798576,-0.03333634,3.417897032503445,0.02297067642211914,17.806859254837036,140000,253.14130401611328,13,3.0296597480773926,118.70694032852069
17.843901872634888,0.23800230026245117,207.9837246082296,100,14.518928289413452,-4.577637e-09,216.28235952280917,198.3331306648686,-0.015151234,3.576391174980454,0.02199721336364746,18.103901386260986,150000,271.2582051753998,14,3.049130916595459,119.59899711230902
17.49598217010498,0.24052071571350098,206.78217668721666,100,14.220696210861206,-0.009517498,216.23372476429998,196.89785183289933,-0.04312409,3.936753695397277,0.01999950408935547,17.756502389907837,160000,289.027706861496,15,3.0276732444763184,119.33749702747656
17.874460458755493,0.2405073642730713,213.3677540073863,100,14.526264429092407,1.5258789e-09,221.78730812682275,202.09896859170144,-0.02553606,3.4988563913958606,0.02696847915649414,18.14193630218506,170000,307.18264150619507,16,3.0683319568634033,122.25040224828126
17.56305718421936,0.25751352310180664,221.43005154692503,100,14.202433586120605,2.2888185e-09,227.98583448214396,210.7713355944132,-0.013924173,2.9825713076244256,0.021999120712280273,17.843568563461304,180000,325.03921008110046,17,3.048065185546875,125.30869190416202
17.743654012680054,0.23999881744384766,225.57690193590392,100,14.42086124420166,6.1035155e-09,233.75953638854602,208.53848733704217,-0.049155537,4.084370613566352,0.01799798011779785,18.003652811050415,190000,343.05586194992065,18,3.0462217330932617,127.26552619307678
17.477806329727173,0.2435145378112793,175.8833641859111,100,14.245021343231201,-3.0517577e-09,236.3921235730032,100.65221960875368,-0.09508755,48.337887254209576,0.024997949600219727,17.748319625854492,200000,360.817182302475,19,2.9601521492004395,103.16994305263214
17.712355375289917,0.29200315475463867,216.03931808044607,100,14.394562005996704,1.0681152e-08,231.90968115140552,183.09041556698236,-0.01722093,11.4125060656885,0.01996779441833496,18.02432632446289,210000,378.8545091152191,20,3.0584781169891357,123.694890591242
