Itr,Time-SampleProc,train-MaxReturn,train-PolicyExecTime,train-MinReturn,train-StdReturn,Time-Sampling,Time-Optimization,ItrTime,train-NumTrajs,LossBefore,n_timesteps,Time,train-EnvExecTime,LossAfter,train-AverageReturn,train-AverageDiscountedReturn
0,0.03799724578857422,199.16138000898292,15.984241962432861,-50.447317522536196,59.95458181800543,19.66375756263733,0.3205137252807617,20.022268533706665,100,3.0517577e-09,10000,20.022268533706665,3.377706289291382,0.07030729,76.99953430606848,54.99184644810151
1,0.025976181030273438,171.77003339188852,15.632781744003296,-163.1867636753508,63.77248530887731,19.276888370513916,0.2860894203186035,19.589962482452393,100,-6.1035155e-09,20000,39.670233488082886,3.341625690460205,0.0045716795,27.708203513340276,25.526866971588394
2,0.02899956703186035,195.33286803868032,16.645829677581787,-176.10134406484266,71.27839584080749,20.62760329246521,0.28800082206726074,20.94460368156433,100,-0.0027736146,30000,60.63183379173279,3.625527858734131,-0.0066124694,50.92458964076376,38.00517653208203
3,0.026003122329711914,191.272303826901,14.984360456466675,-103.43866114691988,55.6764538126414,18.498334407806396,0.268996000289917,18.793333530426025,100,7.05719e-09,40000,79.43921375274658,3.235496759414673,-0.0058638533,98.07537369025462,63.54214882066244
4,0.017998695373535156,234.06618130805452,14.556566953659058,-18.40453251660581,53.20832281417211,17.883110523223877,0.26599884033203125,18.167108058929443,100,-0.0026540405,50000,97.62032318115234,3.056584358215332,-0.0060279784,127.56927389692451,79.84183420040644
5,0.022970914840698242,214.33302663348098,14.286638259887695,40.700561626257304,35.04469984441644,17.572988748550415,0.27499890327453613,17.87095856666565,100,-1.2207031e-08,60000,115.50428199768066,3.0335936546325684,-0.006490588,161.3293491393335,97.98370627943709
6,0.025999784469604492,212.92549636865763,14.781213521957397,108.19277180565815,19.72888272693901,18.196704149246216,0.28999900817871094,18.51270294189453,100,-1.2207031e-08,70000,134.02998542785645,3.0831990242004395,-0.005788449,174.17586476852753,105.46336187756754
7,0.03000044822692871,215.20855305518657,14.672903537750244,160.25515559021756,12.417588814537945,18.07037901878357,0.27691078186035156,18.3784499168396,100,-1.2588501e-08,80000,152.42243576049805,3.103360891342163,-0.005773615,184.6160738975757,111.90627796665393
8,0.020029783248901367,217.4898051467097,14.51163911819458,144.36220175395775,15.00641156166236,17.929720401763916,0.2729649543762207,18.222715139389038,100,-0.0026095887,90000,170.6591513156891,3.140352725982666,-0.0045752716,188.68910535356707,113.84752613272791
9,0.018973112106323242,218.21053632568703,14.519786357879639,161.8372971860381,12.986889171509459,17.893871784210205,0.27499890327453613,18.189843893051147,100,-1.5258789e-09,100000,188.8639953136444,3.0676791667938232,-0.005122683,196.4305537010863,117.36053135446127
