train-AverageReturn,ItrTime,train-EnvExecTime,train-PolicyExecTime,Time,Time-Optimization,Itr,Time-Sampling,train-MinReturn,LossAfter,n_timesteps,train-AverageDiscountedReturn,train-MaxReturn,Time-SampleProc,LossBefore,train-StdReturn,train-NumTrajs
-40.84020623108822,16.53231978416443,2.5373787879943848,13.398098945617676,16.53231978416443,0.30899977684020996,0,16.165334939956665,-172.7327056271314,0.041573495,10000,-25.837296352095432,50.45393491466609,0.055968523025512695,1.0681152e-08,39.34957651599972,100
-30.59370873638445,16.491982460021973,2.3863186836242676,13.583393573760986,33.03930354118347,0.2460012435913086,1,16.225985050201416,-109.06568171294441,-0.0030915039,20000,-18.70883358775668,30.16848401534528,0.019996166229248047,-2.5939942e-08,28.911829624838898,100
-26.902962003043072,16.98698401451111,2.670626640319824,13.784186363220215,50.04028606414795,0.2570016384124756,2,16.70101499557495,-125.20143557641309,-0.012709955,30000,-17.76582898534025,28.53698618298157,0.02896738052368164,6.1035155e-09,28.202556501078476,100
-29.11874988253303,17.030781984329224,2.6810059547424316,13.830896139144897,67.0860710144043,0.2409975528717041,3,16.766782522201538,-91.59612005044261,-0.015288398,40000,-17.861942082904143,33.716131827902856,0.023001909255981445,-0.003773996,29.359251703739186,100
-37.03161431023402,16.90039610862732,2.6238932609558105,13.744158506393433,83.99946713447571,0.24899840354919434,4,16.62139654159546,-126.30238798541941,-0.0134019395,50000,-22.90645648702785,31.774323419037675,0.028000593185424805,4.196167e-09,29.620805898390582,100
-29.54025672371769,17.07198476791382,2.6048967838287354,13.856780290603638,101.08445072174072,0.26400136947631836,5,16.78298592567444,-111.03342669542738,-0.015633447,60000,-18.950847804975833,42.99090268758546,0.02399754524230957,-1.5258789e-09,30.208935280739155,100
-33.770715960697956,17.27886414527893,2.633589267730713,14.091205835342407,118.37631344795227,0.2500016689300537,6,16.997861862182617,-100.13838759163274,-0.015018335,70000,-21.343698947872586,40.86066692481209,0.0299990177154541,1.2207031e-08,26.168552202734155,100
-25.6340775572508,17.251126289367676,2.628115177154541,14.082736492156982,135.64043855667114,0.24899888038635254,7,16.974130153656006,-102.97675483602438,-0.015584607,80000,-16.037958759745578,27.488318195022032,0.027997255325317383,1.2207031e-08,26.322809813384797,100
-27.11141922125242,17.02198362350464,2.574834108352661,13.894692420959473,152.67642259597778,0.2480006217956543,8,16.75200867652893,-109.3694737139578,-0.015989209,90000,-17.155064166034734,30.98868195720847,0.02097320556640625,6.1035155e-09,29.240757109825594,100
-23.520543391339547,17.06207847595215,2.6544249057769775,13.889403104782104,169.75149989128113,0.23999977111816406,9,16.79308032989502,-122.00514410056473,-0.015940974,100000,-14.536245591739496,29.93040435591668,0.028998374938964844,6.1035155e-09,29.127006657198827,100
-25.05921947548265,17.07098388671875,2.67295503616333,13.870154619216919,186.83548307418823,0.24200057983398438,10,16.807016134262085,-76.9768162448156,-0.015616629,110000,-15.704085173171189,57.99117940117472,0.021967172622680664,-3.0517577e-09,27.453645908700814,100
-23.353924463382537,16.722983360290527,2.553333044052124,13.660163640975952,203.5714659690857,0.2519989013671875,11,16.450014114379883,-102.25560347274003,-0.0150571745,120000,-14.785620114653819,23.374179751439474,0.02097034454345703,-0.0017765716,24.610138445525227,100
-22.61104748267378,17.174076557159424,2.658717393875122,13.976381063461304,220.75954389572144,0.2540004253387451,12,16.897103548049927,-101.31499934788762,-0.016025454,130000,-14.190872183468855,51.17426473514564,0.020973920822143555,-2.1362304e-08,30.27399364704422,100
-23.175960152087544,17.11278986930847,2.6345620155334473,13.952720880508423,237.88633513450623,0.24399900436401367,13,16.83882474899292,-103.31816315812314,-0.014472507,140000,-14.263456596078324,38.65157664475909,0.029966115951538086,7.629395e-09,28.413398459166256,100
-23.00727793081663,17.725550413131714,2.704763889312744,14.427301406860352,255.62488722801208,0.2760007381439209,14,17.41955256462097,-85.42429929123715,-0.014556398,150000,-14.039609774070362,27.967562598412968,0.02999711036682129,1.9836426e-08,25.386460465299834,100
-21.55825423708171,17.287062406539917,2.623164653778076,14.110475301742554,272.929949760437,0.26799654960632324,15,16.99308753013611,-94.53304404197341,-0.016327044,160000,-13.364602989643442,49.82176001220304,0.024976015090942383,-1.2207031e-08,27.917760519123338,100
-22.452914780117112,17.2633638381958,2.6550216674804688,14.014963865280151,290.20831418037415,0.2499985694885254,16,16.983367681503296,-131.80292683987983,-0.014454138,170000,-13.244221730997058,35.64875563975453,0.029997587203979492,6.1035155e-09,28.941270140367305,100
-18.994636597902492,17.31967854499817,2.740185260772705,14.021296739578247,307.5409917831421,0.24700093269348145,17,17.049713850021362,-100.21464661280237,-0.01637164,180000,-12.45082929662894,49.10167380923457,0.02196335792541504,-2.002716e-09,25.78467619542393,100
-22.003322552632127,16.94577693939209,2.62978458404541,13.787109851837158,324.5007679462433,0.24900150299072266,18,16.668777465820312,-100.79382737006117,-0.016728077,190000,-13.42557823547497,38.78966997236628,0.02699756622314453,3.0517577e-09,27.697323548251653,100
-15.170230572433884,16.863134145736694,2.599862813949585,13.724662780761719,341.37790179252625,0.24400043487548828,19,16.59816598892212,-103.9121066876867,-0.015194171,200000,-9.77931868054305,59.348326233700206,0.020967721939086914,-1.1444092e-08,29.670344001385445,100
-20.471234091534402,16.899017333984375,2.5974719524383545,13.779499292373657,358.2899181842804,0.24199962615966797,20,16.631019592285156,-97.92047913556657,-0.014806699,210000,-12.784961693593482,40.621805591758175,0.02599811553955078,1.2207031e-08,27.56753257665921,100
