Iteration,Average Returns
0,6.0
10,6.0
20,6.0
30,6.0
40,6.0
50,6.0
60,6.0
70,12.0
80,18.0
90,20.0
100,40.0
110,21.0
120,44.0
130,21.0
140,35.0
150,33.0
160,48.0
170,64.0
180,38.0
190,29.0
200,29.0
210,81.0
220,41.0
230,84.0
240,40.0
249,45.0
