train-MinReturn,Time-Sampling,train-PolicyExecTime,train-AverageDiscountedReturn,train-EnvExecTime,train-AverageReturn,train-NumTrajs,train-StdReturn,n_timesteps,ItrTime,LossAfter,LossBefore,Time-Optimization,Time-SampleProc,Time,Itr,train-MaxReturn
-49.86521938866356,17.053932189941406,14.048563480377197,55.360398982771464,2.7549099922180176,77.77401193332413,100,60.50972648606402,10000,17.397928714752197,-4.963659,-0.003387207,0.31896090507507324,0.025035619735717773,17.397928714752197,0,205.09074712346379
31.61842196469933,18.888123273849487,15.55610728263855,94.47666112578541,3.0534770488739014,153.87809751376344,100,32.17943888644784,20000,19.143092155456543,-0.128427,0.0006683594,0.24596142768859863,0.0070383548736572266,36.55702209472656,1,234.86594322690047
102.75012003568696,17.973238229751587,14.826566934585571,94.83308539151051,2.886976718902588,154.88139025471656,100,24.04170984270038,30000,18.22520160675049,-0.40224758,0.025366237,0.24296832084655762,0.007999658584594727,54.84022665023804,2,226.7990386018007
132.7641128565196,18.016959190368652,14.705629587173462,105.3981401210558,3.0434417724609375,179.53782647007824,100,17.756523297042943,40000,18.27195715904236,-0.3755818,-0.006053223,0.24699807167053223,0.006999969482421875,73.12618374824524,3,208.94903232647684
139.4117122936624,17.284984827041626,14.153157949447632,109.85822458696059,2.8636274337768555,188.78138658911948,100,9.003490864330786,50000,17.53596019744873,-3.0236056,0.012710261,0.2419731616973877,0.008000373840332031,90.67514395713806,4,199.01114061857123
174.4265030916086,18.14932417869568,14.845065593719482,112.65435428934217,3.0367798805236816,193.06483333922122,100,2.4331375268212043,60000,18.405279636383057,-9.870952,-0.0013044388,0.24696588516235352,0.007988691329956055,109.0944230556488,5,196.46490019216455
188.08077960263643,17.46290874481201,14.255082130432129,113.11529506282751,2.932478666305542,192.0037006688102,100,1.4055686570333905,70000,17.723907232284546,-11.114574,0.01177233,0.2509646415710449,0.008033275604248047,126.8313295841217,6,195.2406671192439
189.3969369212826,17.657960414886475,14.367124795913696,113.47916407010308,3.021759510040283,191.90530018853963,100,0.9467860756922234,80000,17.914961099624634,-4.1505384,0.009048422,0.24900174140930176,0.0069963932037353516,144.75929141044617,7,193.5995531247414
180.94533198033682,17.80195927619934,14.449927806854248,112.46650651212684,3.0854742527008057,189.1630608041453,100,3.0402199914412376,90000,18.05495858192444,-2.173815,-0.0074818605,0.24496841430664062,0.0070285797119140625,162.8282470703125,8,193.70441934326067
174.5060977218056,17.67698907852173,14.334365606307983,111.37130556200776,3.0704803466796875,186.5048081674605,100,4.1047535962404424,100000,17.938956022262573,-1.4710544,-0.007872331,0.2519969940185547,0.007010459899902344,180.82420444488525,9,193.1818230328955
166.22749649380114,17.846989154815674,14.555535793304443,111.05942625517302,3.033966064453125,185.91576411827,100,5.7464105612741285,110000,18.10495615005493,-1.1913795,0.030389572,0.24999618530273438,0.006999492645263672,198.9421627521515,10,193.04479202993124
170.57027053830222,17.817537307739258,14.523815393447876,110.54084041993445,3.031450033187866,184.7698138043705,100,4.8694630874351335,120000,18.091533184051514,-1.0883975,0.008525177,0.26399970054626465,0.008996248245239258,217.04669737815857,11,193.01443060368683
173.31990477906766,17.728185653686523,14.35899829864502,110.6817533036192,3.089219570159912,185.12823499759557,100,5.183227499298033,130000,17.997183799743652,-0.9491352,-0.004722258,0.25800061225891113,0.009000778198242188,235.0568814277649,12,192.49275041376185
169.02148726210626,17.814958572387695,14.488834381103516,110.63589364088557,3.057046890258789,185.17498728449493,100,5.376284174370564,140000,18.08095669746399,-0.83691484,0.0054224427,0.2579684257507324,0.007028818130493164,253.15083718299866,13,192.26640021448745
168.02187607331675,17.868959665298462,14.533581018447876,110.10794119207833,3.061967134475708,183.9960418814993,100,5.840823119062738,150000,18.14195942878723,-0.7557453,0.007622792,0.26396632194519043,0.007032632827758789,271.3057978153229,14,192.2073668351892
166.24069085400615,19.029609441757202,15.51446795463562,109.64661193175237,3.238577365875244,182.76288587612842,100,6.145345578191585,160000,19.26960802078247,-0.7065467,-0.014922324,0.23099994659423828,0.007997751235961914,290.58840441703796,15,192.66758175057612
170.25222975639153,18.0419602394104,14.729070663452148,109.74220885574796,3.0390045642852783,183.13265153962283,100,6.0227857337961215,170000,18.28695774078369,-0.5828556,0.009074472,0.23597145080566406,0.007024526596069336,308.88836216926575,16,192.74306268672188
163.89668195302184,17.6919846534729,14.4225435256958,109.43489663118393,2.9631314277648926,182.51581124254778,100,6.478392985221076,180000,17.930957794189453,-0.55325764,-0.001977317,0.23197412490844727,0.006999015808105469,326.8323211669922,17,191.78955383903988
167.11122402167413,18.41995358467102,15.033553838729858,109.82072042852472,3.11039400100708,183.45779994998543,100,6.417216686998766,190000,18.664952993392944,-0.50830036,0.01717376,0.23599672317504883,0.00699925422668457,345.5102741718292,18,192.88207493817262
164.8124278525224,18.45195508003235,15.003354787826538,109.5649684897765,3.188261032104492,182.95304910868632,100,6.718773347018314,200000,18.71395444869995,-0.49864095,0.0076722,0.2540013790130615,0.007997989654541016,364.2372329235077,19,192.33605803106474
165.1912133475833,18.752687215805054,15.276536226272583,109.61706554664643,3.207688331604004,183.0083623396557,100,7.076184760725638,210000,19.00768542289734,-0.45916787,-0.002384137,0.24699735641479492,0.00700068473815918,383.25791788101196,20,192.1396276539728
162.98382723133668,18.28143072128296,14.853571891784668,108.46869247248227,3.1589040756225586,180.18394823507882,100,7.511291783408692,220000,18.54342770576477,-0.41241807,0.020788282,0.253997802734375,0.006999492645263672,401.8143458366394,21,193.15849707025188
