Time-Optimization,train-NumTrajs,LossBefore,Time-Sampling,Time,train-AverageDiscountedReturn,train-MaxReturn,train-PolicyExecTime,train-StdReturn,Time-SampleProc,n_timesteps,Itr,ItrTime,train-AverageReturn,train-EnvExecTime,train-MinReturn,LossAfter
0.35700058937072754,100,0.0015843689,16.45054531097412,16.81657838821411,0.021085931214795916,14.313912050530222,13.766004085540771,4.61940530146782,0.008000850677490234,10000,0,16.81657838821411,-0.05987897274462694,2.453629493713379,-9.028019387526193,-1.0033156
0.2239995002746582,100,0.0020956725,15.880993127822876,32.94757008552551,12.547270766543775,26.30273028305589,13.358112812042236,3.869553559171851,0.006998538970947266,20000,1,16.11199116706848,17.48341518152831,2.282827615737915,9.107735516686033,-1.5690056
0.22196722030639648,100,0.012532461,16.38622236251831,49.57775545120239,11.240228136981303,24.124232385993103,13.614731311798096,3.098853221926936,0.006995677947998047,30000,2,16.617186784744263,15.735698246362332,2.5348763465881348,6.871281785604887,-2.4601178
0.315000057220459,100,-0.0008241516,16.66282606124878,66.58458042144775,14.135231234446922,26.73208348777925,13.937836170196533,3.0040404776524565,0.015000104904174805,40000,3,16.993825912475586,20.608712699912907,2.465728998184204,12.930847013081282,-3.4146357
0.31499671936035156,100,0.00068110164,15.787992238998413,82.71357297897339,18.316394146697014,30.33833174074026,13.177797794342041,2.2707356798573843,0.01300501823425293,50000,4,16.11699390411377,26.032192830832713,2.358776569366455,19.506943773232518,-3.5071669
0.22297286987304688,100,0.0031685135,15.872993469238281,98.82956314086914,19.85762561366763,30.16153507758056,13.179016351699829,1.7673905699636472,0.007025718688964844,60000,5,16.102992057800293,26.962579682226814,2.3954639434814453,19.930433616653676,-2.2199335
0.22296977043151855,100,0.0017341187,15.87299370765686,114.94555401802063,20.322566816318414,29.816274311813874,13.21745228767395,1.2313118560125391,0.0060007572174072266,70000,6,16.102991104125977,26.6740398602236,2.405585527420044,23.779945827633494,-1.3562734
0.22499895095825195,100,-0.002232927,15.970017910003662,131.16154742240906,20.599781653437898,29.62283440103038,13.447102308273315,1.3643174444903174,0.006975412368774414,80000,7,16.2029926776886,26.89056428783369,2.302236557006836,23.658490313848347,-1.0117836
0.21796703338623047,100,0.010728859,15.851993560791016,147.25253891944885,20.541496765899453,30.020778100076527,13.168604612350464,1.4147137696612817,0.00703120231628418,90000,8,16.077991724014282,26.924994136670684,2.427276372909546,23.823806104598212,-0.8696936
0.22096729278564453,100,-0.00996228,16.040775775909424,163.5343120098114,20.518957911740564,29.273380534279482,13.27940559387207,1.3045662598889654,0.007029533386230469,100000,9,16.269773244857788,26.851298094763028,2.5156874656677246,24.233562346424026,-0.6876874
0.22097325325012207,100,0.022622194,15.811751365661621,179.58706378936768,20.63623316253863,30.174046365019787,13.149251699447632,1.264950399517853,0.007025718688964844,110000,10,16.039750337600708,27.068864793911963,2.429351568222046,24.656440152947074,-0.5300308
0.2199695110321045,100,0.0043758997,16.426164150238037,196.2531967163086,20.697102494524426,29.860916440404235,13.5973641872406,1.4689998364227774,0.0070002079010009766,120000,11,16.654133796691895,27.063910901103554,2.582746744155884,23.95626573845911,-0.4545617
0.22096776962280273,100,0.0025164855,16.788084983825684,213.2822766304016,20.34704618138051,29.653523408509148,14.021786451339722,1.4019848523793677,0.007029294967651367,130000,12,17.017082452774048,26.798552454718944,2.5308797359466553,24.15593163693322,-0.36653483
0.22496700286865234,100,0.019458843,15.980993747711182,229.50826811790466,20.64832655877759,29.663922527900976,13.219130992889404,1.2401617714959943,0.006029844284057617,140000,13,16.21399235725403,27.087268221208628,2.515735626220703,24.406001268005408,-0.32740897
0.22096872329711914,100,-0.0071039316,16.275679349899292,246.02594780921936,20.45293168557238,30.089975987853293,13.629337310791016,1.3357222844391923,0.007031440734863281,150000,14,16.505680084228516,26.947700088009604,2.399603843688965,24.24357306029087,-0.29830173
0.22499608993530273,100,-0.0073159845,16.013995885849,262.2859375476837,20.518310989321673,29.70695186295553,13.232718467712402,1.352702561335664,0.007999897003173828,160000,15,16.246991872787476,27.022343284028818,2.542426347732544,23.90116145356051,-0.29741925
0.21996641159057617,100,0.008920755,16.012206554412842,278.53811049461365,20.488947965849803,29.844795764591932,13.338967323303223,1.1771115798235547,0.007006168365478516,170000,16,16.24017310142517,27.0518505899024,2.4005165100097656,24.462066509420573,-0.27458265
0.21896624565124512,100,0.0011473449,16.469993591308594,295.24710154533386,20.44238014589186,29.67368511520963,13.806854009628296,1.3045488744882607,0.007031440734863281,180000,17,16.695991277694702,27.04678138668711,2.424868583679199,23.04571856717171,-0.26921758
0.2220001220703125,100,0.01371523,16.284827947616577,311.773930311203,20.71581625220801,30.071882402735625,13.511472225189209,1.3122524967246638,0.006999969482421875,190000,18,16.51382803916931,27.22238145548886,2.5189220905303955,24.197830960235134,-0.23919295
0.21999883651733398,100,-0.018994689,16.65867018699646,328.672571182251,20.486239292741175,30.179786348861743,13.867032289505005,1.3139742726530108,0.006970882415771484,200000,19,16.885639905929565,26.98444772945905,2.5224361419677734,23.83831880749422,-0.25387642
0.21996760368347168,100,-0.024781967,16.003026008605957,344.914564371109,20.580134843750795,30.204686686107117,13.425354957580566,1.3520145145999387,0.006006956100463867,210000,20,16.22999405860901,26.91921845140033,2.3268558979034424,24.16410661333282,-0.25073516
0.23000025749206543,100,0.007791603,16.76474618911743,361.93030762672424,20.697649939116477,29.557032770661507,14.021873235702515,2.544791168759749,0.006997585296630859,220000,21,17.00274348258972,27.09859858208198,2.4887402057647705,5.032209074162932,-0.19844155
