Iteration,Average Returns
0,-1091.1173342420852
10,-1091.1176999012564
20,-2414.476671854454
30,-2455.6239065211907
40,-2416.786493973434
50,-2499.4670489397167
60,-2425.869979357714
70,-3182.3768607159764
80,-2418.883150552189
90,-3052.8623427934667
100,-2449.178322058124
110,-2493.303241336898
120,-2455.6560581648573
130,-2933.280592550965
140,-1335.617828596483
150,-1184.6656060430528
160,-1289.2425128683944
170,-1271.6605602003197
180,-1284.561608635966
190,-1184.665606043053
200,-1280.4884184824655
210,-1277.9961462504816
220,-1319.60627393607
230,-1430.6880242715542
240,-1283.2854681231702
249,-1186.4213620629414
