LossAfter,train-NumTrajs,train-AverageDiscountedReturn,Time-SampleProc,Itr,Time,train-PolicyExecTime,Time-Sampling,train-AverageReturn,train-MinReturn,n_timesteps,ItrTime,train-StdReturn,train-EnvExecTime,train-MaxReturn,LossBefore,Time-Optimization
0.041430153,100,-21.729162759030668,0.044030189514160156,0,18.809772968292236,15.629734754562378,18.440807580947876,-33.21033411051338,-135.60781893950343,10000,18.809772968292236,36.425166679873044,2.5554115772247314,35.16629702939843,-1.4189385e-05,0.3229668140411377
0.0025622242,100,-26.162879215142656,0.02899909019470215,1,35.758687257766724,13.744612216949463,16.622915983200073,-41.47851569204549,-148.6942993665387,20000,16.896914958953857,33.08349651074794,2.615238666534424,42.74431251185643,-1.42448125e-05,0.24499988555908203
-0.0125088515,100,-24.587654820088584,0.027031421661376953,2,52.52560043334961,13.571228265762329,16.47291660308838,-39.1775142940843,-120.53227680510096,30000,16.751914978027344,34.25534342764449,2.6465845108032227,33.187627207128074,-1.4280013e-05,0.2519669532775879
-0.0117727155,100,-21.461267027346338,0.023998498916625977,3,69.65251421928406,13.85141634941101,16.82491397857666,-33.67630643342531,-119.75058340260318,40000,17.112912893295288,32.85295527953982,2.703465223312378,45.93859033643903,-1.4219082e-05,0.2629973888397217
-0.013553481,100,-17.64644961332891,0.040998220443725586,4,87.13842439651489,14.093758583068848,17.168915510177612,-26.892016128950043,-120.36076504075693,50000,17.471911430358887,33.27500027648672,2.8121790885925293,33.72677073712047,-1.4116158e-05,0.26099658012390137
-0.015648346,100,-19.400265442427933,0.02599787712097168,5,103.92633843421936,13.576296329498291,16.489916801452637,-29.442951048633322,-91.0439903199219,60000,16.773913621902466,27.07731447999414,2.59173321723938,35.227439372106865,-1.4033934e-05,0.25699901580810547
-0.015176094,100,-13.037537148999995,0.020999431610107422,6,121.05925107002258,13.896467685699463,16.84891390800476,-20.57693500080394,-107.84097598014544,70000,17.117910385131836,27.320698865553613,2.6884706020355225,29.80170194598109,-1.3999611e-05,0.24699878692626953
-0.014038075,100,-20.642858956327917,0.02900099754333496,7,138.58916234970093,14.223471641540527,17.22391152381897,-31.72408573139866,-130.19222917695936,80000,17.516910552978516,30.177357191332362,2.726745367050171,37.09148943658431,-1.3957089e-05,0.2629983425140381
-0.014751536,100,-17.02786187213319,0.029999732971191406,8,156.26207208633423,14.327431440353394,17.381911754608154,-26.78964931214498,-105.92549951672797,90000,17.658909559249878,27.566639168422192,2.7626233100891113,27.48160121511965,-1.3864532e-05,0.24699807167053223
-0.014138077,100,-15.883845982117872,0.02499842643737793,9,173.94861674308777,14.429683685302734,17.384546995162964,-25.242224890894228,-101.26333888333696,100000,17.67254376411438,29.543117771126433,2.659313678741455,43.70664001841688,-1.374679e-05,0.2609994411468506
-0.015420182,100,-16.465037910951093,0.026999235153198242,10,190.65853023529053,13.61212968826294,16.42591691017151,-24.890462221012225,-103.21530725406757,110000,16.69591474533081,28.502278329936086,2.5619428157806396,45.27717660314858,-1.3711727e-05,0.24299860000610352
-0.014449999,100,-12.501226486486004,0.03099989891052246,11,207.6469967365265,13.74337887763977,16.681468963623047,-19.646451269050353,-91.84369850988213,120000,16.975467205047607,26.415537502077207,2.6728627681732178,40.419561713791175,-1.3647915e-05,0.2619974613189697
-0.015584428,100,-11.55236785698943,0.026998519897460938,12,224.61391282081604,13.728084325790405,16.66891598701477,-17.501271754506,-66.35884638647906,130000,16.953915119171143,24.900577674576326,2.673524856567383,49.6976763643972,-1.3594338e-05,0.2559990882873535
-0.014380111,100,-13.26970237751763,0.02899932861328125,13,242.52582001686096,14.496962308883667,17.608911275863647,-20.089301092517257,-90.96174441159799,140000,17.897906064987183,27.300085937518727,2.8267343044281006,44.78783155341739,-1.3636032e-05,0.2579989433288574
-0.01354622,100,-11.84160737232238,0.023999691009521484,14,261.60633087158203,15.547987699508667,18.77651309967041,-18.95643625179982,-100.71551908722387,150000,19.06451106071472,27.055869090819623,2.954693078994751,39.5824779727132,-1.3594651e-05,0.26399827003479004
-0.015611157,100,-12.430785768905134,0.025000572204589844,15,280.2834577560425,15.407633543014526,18.38812780380249,-20.006145390942898,-101.04427211725877,160000,18.664126873016357,27.983172855966156,2.7151973247528076,46.957503177428556,-1.3494475e-05,0.25099849700927734
-0.013673256,100,-10.359243435874752,0.02699875831604004,16,297.5513732433319,13.974469423294067,16.970917224884033,-15.769396192744027,-85.74178906701829,170000,17.253915786743164,26.373046900210465,2.6764779090881348,39.44534852221892,-1.3420012e-05,0.25499892234802246
