Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
0	63.85847592353821	1000	2000	-272.2800178809931	-272.2800178809931	2	2000
1	136.70215439796448	1000	3000	-128.0276147892474	-128.0276147892474	3	3000
2	208.98723006248474	1000	4000	-128.0276147892474	-143.85859919258007	4	4000
3	274.454936504364	1000	5000	-128.0276147892474	-135.64386322537106	5	5000
4	347.0860970020294	1000	6000	-97.29836703494887	-97.29836703494887	6	6000
5	413.0999481678009	1000	7000	-97.29836703494887	-148.93076048779162	7	7000
6	478.9017663002014	1000	8000	-97.29836703494887	-97.86342520246946	8	8000
7	547.3209228515625	1000	9000	-97.29836703494887	-109.91759817099062	9	9000
8	616.1673052310944	1000	10000	-97.29836703494887	-296.6172375449919	10	10000
9	687.1538302898407	1000	11000	-97.29836703494887	-132.009724852449	11	11000
10	758.0534844398499	1000	12000	-97.29836703494887	-98.91707174539991	12	12000
11	829.7032098770142	1000	13000	-16.346289674651437	-16.346289674651437	13	13000
12	901.9854452610016	1000	14000	-16.346289674651437	-220.9544724532801	14	14000
13	968.594432592392	1000	15000	-16.346289674651437	-67.9292125031886	15	15000
14	1038.7197546958923	1000	16000	-16.346289674651437	-122.31201613782699	16	16000
15	1108.640879392624	1000	17000	-16.346289674651437	-136.2079631271893	17	17000
16	1182.5986070632935	1000	18000	-16.346289674651437	-173.6935279878802	18	18000
17	1252.0777170658112	1000	19000	-16.346289674651437	-82.7015685319033	19	19000
18	1321.7625243663788	1000	20000	-16.346289674651437	-143.70669269790218	20	20000
19	1392.4330503940582	1000	21000	-16.346289674651437	-293.3002624070003	21	21000
20	1459.7811641693115	1000	22000	-16.346289674651437	-140.0113272175241	22	22000
21	1531.0640199184418	1000	23000	-16.346289674651437	-126.66860457776359	23	23000
22	1597.1586830615997	1000	24000	-16.346289674651437	-180.20062146106494	24	24000
23	1665.5138430595398	1000	25000	-16.346289674651437	-235.80458853472635	25	25000
24	1730.5145952701569	1000	26000	-16.346289674651437	-188.17900886491523	26	26000
25	1794.259600162506	1000	27000	-16.346289674651437	-185.63064782362864	27	27000
26	1859.2333798408508	1000	28000	-16.346289674651437	-111.01145630935453	28	28000
27	1921.0103788375854	1000	29000	-16.346289674651437	-138.86307829948092	29	29000
28	1982.5415477752686	1000	30000	-16.346289674651437	-200.593181862836	30	30000
29	2044.2021627426147	1000	31000	-16.346289674651437	-210.54643167528596	31	31000
30	2105.745780944824	1000	32000	-16.346289674651437	-171.08090340455112	32	32000
31	2167.297653913498	1000	33000	-16.346289674651437	-92.63685855606818	33	33000
32	2228.791083574295	1000	34000	-16.346289674651437	-133.6033955858129	34	34000
33	2290.4004530906677	1000	35000	-16.346289674651437	-108.23311245271802	35	35000
34	2351.9317405223846	1000	36000	-16.346289674651437	-138.7786761726322	36	36000
35	2413.429338693619	1000	37000	-16.346289674651437	-197.43031446883842	37	37000
36	2474.983027458191	1000	38000	-16.346289674651437	-158.24618004282416	38	38000
37	2536.5774433612823	1000	39000	-16.346289674651437	-154.49409590821188	39	39000
38	2598.1075434684753	1000	40000	-16.346289674651437	-209.97547265215886	40	40000
39	2659.7380533218384	1000	41000	-16.346289674651437	-168.32951445842812	41	41000
40	2721.2234210968018	1000	42000	-16.346289674651437	-275.22469574817046	42	42000
41	2782.7477521896362	1000	43000	-16.346289674651437	-221.97023671469464	43	43000
42	2844.373533010483	1000	44000	-16.346289674651437	-330.8431755599713	44	44000
43	2905.7943863868713	1000	45000	-16.346289674651437	-216.93706664149104	45	45000
44	2967.355080604553	1000	46000	-16.346289674651437	-149.27934854243972	46	46000
45	3028.8159534931183	1000	47000	-16.346289674651437	-290.25573542487354	47	47000
46	3090.306530237198	1000	48000	-16.346289674651437	-52.02892392285317	48	48000
47	3151.7424902915955	1000	49000	-16.346289674651437	-251.33016046464903	49	49000
48	3213.2629828453064	1000	50000	-16.346289674651437	-142.7359528906031	50	50000
49	3274.842499256134	1000	51000	-16.346289674651437	-233.781175916356	51	51000
50	3336.2742733955383	1000	52000	-16.346289674651437	-110.12894406646946	52	52000
51	3397.8297460079193	1000	53000	-16.346289674651437	-262.1564800007283	53	53000
52	3459.398582458496	1000	54000	-16.346289674651437	-178.71677105903723	54	54000
53	3520.762361049652	1000	55000	-16.346289674651437	-115.72594248971707	55	55000
54	3582.4074201583862	1000	56000	-16.346289674651437	-176.76730973019693	56	56000
55	3643.9786071777344	1000	57000	-16.346289674651437	-190.19791285157493	57	57000
56	3705.442367076874	1000	58000	-16.346289674651437	-199.37293375523493	58	58000
57	3766.982181072235	1000	59000	-16.346289674651437	-258.0161392026128	59	59000
58	3828.4494001865387	1000	60000	-16.346289674651437	-275.14207099421986	60	60000
59	3889.8677730560303	1000	61000	-16.346289674651437	-167.0814946479091	61	61000
60	3951.3370699882507	1000	62000	-16.346289674651437	-115.27339037484883	62	62000
61	4012.8145413398743	1000	63000	-16.346289674651437	-192.54103111203764	63	63000
62	4074.1804859638214	1000	64000	-16.346289674651437	-157.52076216261617	64	64000
63	4135.728249549866	1000	65000	-16.346289674651437	-303.7027620866342	65	65000
64	4197.1768708229065	1000	66000	-16.346289674651437	-135.63090084234406	66	66000
65	4258.628522396088	1000	67000	-16.346289674651437	-198.21913735009426	67	67000
66	4320.170139312744	1000	68000	-16.346289674651437	-128.14964124636032	68	68000
67	4381.682941913605	1000	69000	-16.346289674651437	-151.70707988386815	69	69000
68	4443.192525625229	1000	70000	-16.346289674651437	-186.3578584562176	70	70000
69	4504.736815929413	1000	71000	-16.346289674651437	-314.48003755090787	71	71000
70	4566.258820056915	1000	72000	-16.346289674651437	-268.4281595855721	72	72000
71	4627.691892147064	1000	73000	-16.346289674651437	-169.3188072422871	73	73000
72	4689.242577552795	1000	74000	-16.346289674651437	-217.28188773120831	74	74000
73	4751.009364366531	1000	75000	-16.346289674651437	-124.81093241496455	75	75000
74	4812.525455951691	1000	76000	-16.346289674651437	-156.9294128902573	76	76000
75	4874.004323959351	1000	77000	-16.346289674651437	-143.73110275260166	77	77000
76	4935.474503040314	1000	78000	-16.346289674651437	-319.1352768736574	78	78000
77	4996.839417457581	1000	79000	-16.346289674651437	-175.36990502972253	79	79000
78	5058.3411819934845	1000	80000	-16.346289674651437	-212.1639719574721	80	80000
79	5119.933404445648	1000	81000	-16.346289674651437	-148.46087704986604	81	81000
80	5181.393407583237	1000	82000	-16.346289674651437	-148.18410814258928	82	82000
81	5242.861964464188	1000	83000	-16.346289674651437	-128.44923027704527	83	83000
82	5304.403285503387	1000	84000	-16.346289674651437	-133.9970101276237	84	84000
83	5365.9314041137695	1000	85000	-16.346289674651437	-182.81798060071878	85	85000
84	5427.419943332672	1000	86000	-16.346289674651437	-63.567273032746215	86	86000
85	5488.863226890564	1000	87000	-16.346289674651437	-223.2185623954256	87	87000
86	5550.331023693085	1000	88000	-16.346289674651437	-173.15548253753647	88	88000
87	5611.749093055725	1000	89000	-16.346289674651437	-218.16461367576946	89	89000
88	5673.221328020096	1000	90000	-16.346289674651437	-365.10368060069317	90	90000
89	5734.743217468262	1000	91000	-16.346289674651437	-149.61814899992584	91	91000
90	5796.129956245422	1000	92000	-16.346289674651437	-120.08555541733246	92	92000
91	5857.6098663806915	1000	93000	-16.346289674651437	-136.2049561988262	93	93000
92	5919.071129798889	1000	94000	-16.346289674651437	-176.66324630987336	94	94000
93	5980.6590123176575	1000	95000	-16.346289674651437	-174.33553664137216	95	95000
94	6042.267333984375	1000	96000	-16.346289674651437	-128.1404603451748	96	96000
95	6103.775085926056	1000	97000	-16.346289674651437	-104.72983237450616	97	97000
96	6165.2898552417755	1000	98000	-16.346289674651437	-148.11729299532044	98	98000
97	6226.780295372009	1000	99000	-16.346289674651437	-238.18028033643915	99	99000
98	6288.306252002716	1000	100000	-16.346289674651437	-169.541204488485	100	100000
99	6349.717911481857	1000	101000	-16.346289674651437	-308.57277207620103	101	101000
100	6411.168934345245	1000	102000	-16.346289674651437	-208.35100448604578	102	102000
101	6472.760022878647	1000	103000	-16.346289674651437	-74.04174492912954	103	103000
102	6534.232948303223	1000	104000	-16.346289674651437	-164.14709679150099	104	104000
103	6595.641714334488	1000	105000	-16.346289674651437	-201.59927867926393	105	105000
104	6657.18115401268	1000	106000	-16.346289674651437	-76.95779454210326	106	106000
105	6718.618905305862	1000	107000	-16.346289674651437	-72.68048928031469	107	107000
106	6780.126014947891	1000	108000	-16.346289674651437	-225.9956927320052	108	108000
107	6841.7063801288605	1000	109000	-16.346289674651437	-138.38608147246205	109	109000
108	6903.181606769562	1000	110000	-16.346289674651437	-105.29840959589012	110	110000
109	6964.673207759857	1000	111000	-14.555425443124365	-14.555425443124365	111	111000
110	7026.140010356903	1000	112000	-14.555425443124365	-244.10626558755266	112	112000
111	7087.588405370712	1000	113000	-14.555425443124365	-192.67896014335275	113	113000
112	7149.137131690979	1000	114000	-14.555425443124365	-164.3740880458554	114	114000
113	7210.7024648189545	1000	115000	-14.555425443124365	-259.0969239426855	115	115000
114	7272.145683050156	1000	116000	-14.555425443124365	-195.06407735380103	116	116000
115	7333.651884317398	1000	117000	-14.555425443124365	-78.17201379847099	117	117000
116	7395.159279823303	1000	118000	-14.555425443124365	-215.13348562076968	118	118000
117	7456.7190754413605	1000	119000	-14.555425443124365	-209.37318224526604	119	119000
118	7518.27942609787	1000	120000	-14.555425443124365	-82.20207042915317	120	120000
119	7579.822694301605	1000	121000	-14.555425443124365	-154.03419012152128	121	121000
120	7641.37390255928	1000	122000	-14.555425443124365	-78.05649792058126	122	122000
121	7702.837558269501	1000	123000	-14.555425443124365	-169.52544163886384	123	123000
122	7764.378615856171	1000	124000	-14.555425443124365	-174.54731026691644	124	124000
123	7825.9683446884155	1000	125000	-14.555425443124365	-176.80237023060488	125	125000
124	7887.473671913147	1000	126000	-14.555425443124365	-125.01044297988739	126	126000
125	7949.0818021297455	1000	127000	-14.555425443124365	-183.04838234429093	127	127000
126	8010.697266340256	1000	128000	-14.555425443124365	-143.73682200198547	128	128000
127	8072.198236703873	1000	129000	-14.555425443124365	-128.03777215569733	129	129000
128	8133.848765611649	1000	130000	-14.555425443124365	-166.91340701568748	130	130000
129	8195.51127743721	1000	131000	-14.555425443124365	-256.1752973967102	131	131000
130	8257.040966033936	1000	132000	-14.555425443124365	-220.225223198767	132	132000
131	8318.509194135666	1000	133000	-14.555425443124365	-220.2143621946017	133	133000
132	8380.33531498909	1000	134000	-14.555425443124365	-160.9489849032137	134	134000
133	8441.867689609528	1000	135000	-14.555425443124365	-179.48853274455894	135	135000
134	8503.418228387833	1000	136000	-14.555425443124365	-169.45558009305364	136	136000
135	8564.987049341202	1000	137000	-14.555425443124365	-189.47794415977128	137	137000
136	8626.520523548126	1000	138000	-14.555425443124365	-85.6889058738821	138	138000
137	8688.01729631424	1000	139000	-14.555425443124365	-151.83006352006976	139	139000
138	8749.580643892288	1000	140000	-14.555425443124365	-219.60616372793032	140	140000
139	8811.059876203537	1000	141000	-14.555425443124365	-218.5314192012322	141	141000
140	8872.611490011215	1000	142000	-14.555425443124365	-58.304129731783306	142	142000
141	8934.29585313797	1000	143000	-14.555425443124365	-223.0817215166803	143	143000
142	8995.78170132637	1000	144000	-14.555425443124365	-101.12278752234658	144	144000
143	9057.312054395676	1000	145000	-14.555425443124365	-91.26898538504206	145	145000
144	9118.856846570969	1000	146000	-14.555425443124365	-153.0140830372965	146	146000
145	9180.350374698639	1000	147000	-14.555425443124365	-134.8716032701299	147	147000
146	9241.945227146149	1000	148000	-14.555425443124365	-263.8258650555371	148	148000
147	9303.516242027283	1000	149000	-14.555425443124365	-258.6804479640737	149	149000
148	9365.141863822937	1000	150000	-14.555425443124365	-268.8522174291326	150	150000
149	9426.638875722885	1000	151000	-14.555425443124365	-229.6514055431581	151	151000
150	9488.165360689163	1000	152000	-14.555425443124365	-241.6406582649308	152	152000
151	9549.635077238083	1000	153000	-14.555425443124365	-89.59285997986952	153	153000
152	9611.162737131119	1000	154000	-14.555425443124365	-123.46306117533108	154	154000
153	9672.732137441635	1000	155000	-14.555425443124365	-94.96441095963628	155	155000
154	9734.311716794968	1000	156000	-14.555425443124365	-152.78432465667095	156	156000
155	9795.715734958649	1000	157000	-14.555425443124365	-233.99594588844818	157	157000
156	9857.262932300568	1000	158000	-14.555425443124365	-196.57774129714662	158	158000
157	9918.952046394348	1000	159000	-14.555425443124365	-195.08216452828202	159	159000
158	9980.407117128372	1000	160000	-14.555425443124365	-192.9714213307598	160	160000
159	10041.999372720718	1000	161000	-14.555425443124365	-202.5495435422248	161	161000
160	10103.538546562195	1000	162000	-14.555425443124365	-107.71773561485855	162	162000
161	10165.01498222351	1000	163000	-14.555425443124365	-126.0153372950134	163	163000
162	10226.562817335129	1000	164000	-14.555425443124365	-179.350903396451	164	164000
163	10288.168069839478	1000	165000	-14.555425443124365	-96.64012284153709	165	165000
164	10349.697099685669	1000	166000	-14.555425443124365	-169.56899493605883	166	166000
165	10411.237552642822	1000	167000	-14.555425443124365	-221.7133508043203	167	167000
166	10472.847661733627	1000	168000	-14.555425443124365	-189.21217336130388	168	168000
167	10534.388567447662	1000	169000	-14.555425443124365	-266.11083248196945	169	169000
168	10595.945188522339	1000	170000	-14.555425443124365	-45.01524114766485	170	170000
169	10657.589544773102	1000	171000	-14.555425443124365	-176.5324218208746	171	171000
170	10719.12613081932	1000	172000	-14.555425443124365	-21.743481054586944	172	172000
171	10780.714520454407	1000	173000	-14.555425443124365	-78.7720563793271	173	173000
172	10842.440660953522	1000	174000	-14.555425443124365	-193.82750631787002	174	174000
173	10903.97023177147	1000	175000	-14.555425443124365	-260.9376239046634	175	175000
174	10965.55533504486	1000	176000	-14.555425443124365	-272.2827674632004	176	176000
175	11027.151951789856	1000	177000	-14.555425443124365	-235.77060548145533	177	177000
176	11088.71189236641	1000	178000	-14.555425443124365	-197.73445840150904	178	178000
177	11150.350728273392	1000	179000	-14.555425443124365	-143.35081554865022	179	179000
178	11212.013904333115	1000	180000	-14.555425443124365	-98.29028735996532	180	180000
179	11273.586484670639	1000	181000	-14.555425443124365	-124.27475220315641	181	181000
180	11335.240456581116	1000	182000	-14.555425443124365	-134.69701954107506	182	182000
181	11396.890422582626	1000	183000	-14.555425443124365	-176.00317769717506	183	183000
182	11458.467714071274	1000	184000	-14.555425443124365	-121.26714631656897	184	184000
183	11520.01752781868	1000	185000	-14.555425443124365	-112.30521420030043	185	185000
184	11581.547004699707	1000	186000	-14.555425443124365	-301.4596912950203	186	186000
185	11643.095598220825	1000	187000	-14.555425443124365	-99.62890886550167	187	187000
186	11704.620216608047	1000	188000	-14.555425443124365	-47.41095542315709	188	188000
187	11766.235324382782	1000	189000	-14.555425443124365	-179.24832960419073	189	189000
188	11827.774956226349	1000	190000	-14.555425443124365	-199.33310845737944	190	190000
189	11889.257528543472	1000	191000	-14.555425443124365	-113.25390213323688	191	191000
190	11951.011197805405	1000	192000	-14.555425443124365	-203.8132704389396	192	192000
191	12012.556341171265	1000	193000	-14.555425443124365	-130.53577434312072	193	193000
192	12074.072675228119	1000	194000	-14.555425443124365	-206.97204508038473	194	194000
193	12135.581778526306	1000	195000	-14.555425443124365	-179.26670145574727	195	195000
194	12197.150205612183	1000	196000	-14.555425443124365	-148.36061671152865	196	196000
195	12258.667988300323	1000	197000	-14.555425443124365	-147.8841041160443	197	197000
196	12320.22946190834	1000	198000	-14.555425443124365	-97.6767265991264	198	198000
197	12381.918516397476	1000	199000	-14.555425443124365	-115.68684040050715	199	199000
198	12443.401870727539	1000	200000	-14.555425443124365	-320.70482577554895	200	200000
199	12504.90892291069	1000	201000	-14.555425443124365	-271.5364635280797	201	201000
200	12566.51340174675	1000	202000	-14.555425443124365	-292.28597068472817	202	202000
201	12628.037236690521	1000	203000	-14.555425443124365	-167.74211779354079	203	203000
202	12689.704371213913	1000	204000	-14.555425443124365	-38.35855967208335	204	204000
203	12751.29482460022	1000	205000	-14.555425443124365	-84.41017677921548	205	205000
204	12812.804883003235	1000	206000	-14.555425443124365	-207.79670072423792	206	206000
205	12874.412547111511	1000	207000	-14.555425443124365	-218.02922116892438	207	207000
206	12936.02125453949	1000	208000	-14.555425443124365	-94.88387602309714	208	208000
207	12997.454412460327	1000	209000	-14.555425443124365	-178.4644409539294	209	209000
208	13059.075289726257	1000	210000	-14.555425443124365	-153.99656733069938	210	210000
209	13120.63139128685	1000	211000	-14.555425443124365	-146.6228548499923	211	211000
210	13182.155663490295	1000	212000	-14.555425443124365	-206.51267462569996	212	212000
211	13243.685213804245	1000	213000	-14.555425443124365	-180.55444197377867	213	213000
212	13305.21205663681	1000	214000	-14.555425443124365	-184.7313275031969	214	214000
213	13366.741998195648	1000	215000	-14.555425443124365	-162.9898866218669	215	215000
214	13428.380363464355	1000	216000	-14.555425443124365	-153.52825404177682	216	216000
215	13490.048979759216	1000	217000	-14.555425443124365	-201.55832393895463	217	217000
216	13551.678390741348	1000	218000	-14.555425443124365	-125.19488501879329	218	218000
217	13613.274780511856	1000	219000	-14.555425443124365	-189.77839978135933	219	219000
218	13674.842820167542	1000	220000	-14.555425443124365	-147.22984903121565	220	220000
219	13736.421679496765	1000	221000	-14.555425443124365	-230.94453319957736	221	221000
220	13797.998289823532	1000	222000	-14.555425443124365	-216.78960788705595	222	222000
221	13859.610269546509	1000	223000	-14.555425443124365	-88.67911114647241	223	223000
222	13921.204641819	1000	224000	-14.555425443124365	-16.732676228117313	224	224000
223	13982.725267887115	1000	225000	-14.555425443124365	-150.2572782646353	225	225000
224	14044.39566373825	1000	226000	-14.555425443124365	-118.34300684308417	226	226000
225	14106.009881973267	1000	227000	-14.555425443124365	-193.28865479686948	227	227000
226	14167.538747549057	1000	228000	-14.555425443124365	-184.88529641694538	228	228000
227	14229.044792413712	1000	229000	-14.555425443124365	-56.76062334940329	229	229000
228	14290.6813788414	1000	230000	-14.555425443124365	-134.04544595758674	230	230000
229	14352.252794981003	1000	231000	-14.555425443124365	-277.76642092496013	231	231000
230	14413.861612319946	1000	232000	-14.555425443124365	-121.56628962213563	232	232000
231	14475.560806751251	1000	233000	-14.555425443124365	-201.07416148545175	233	233000
232	14537.133028745651	1000	234000	-14.555425443124365	-275.9130364696548	234	234000
233	14598.695563077927	1000	235000	-14.555425443124365	-40.32960303453477	235	235000
234	14659.775017499924	1000	236000	-14.555425443124365	-22.352624015172896	236	236000
235	14720.087470293045	1000	237000	-14.555425443124365	-142.83109108262812	237	237000
236	14780.470992088318	1000	238000	-14.555425443124365	-185.02738447627965	238	238000
237	14840.788520812988	1000	239000	-14.555425443124365	-51.959711252356804	239	239000
238	14901.024279117584	1000	240000	-14.555425443124365	-168.57535042517353	240	240000
239	14961.414098978043	1000	241000	-14.555425443124365	-171.22909850509305	241	241000
240	15021.779143095016	1000	242000	-14.555425443124365	-200.67094430377395	242	242000
241	15082.089919090271	1000	243000	-14.555425443124365	-57.575288178215395	243	243000
242	15142.485931634903	1000	244000	-14.555425443124365	-436.570675175925	244	244000
243	15202.921947956085	1000	245000	-14.555425443124365	-187.35108986373496	245	245000
244	15263.352304697037	1000	246000	-14.555425443124365	-240.7707195980291	246	246000
245	15323.79168009758	1000	247000	-14.555425443124365	-250.55428421715973	247	247000
246	15384.183897256851	1000	248000	-14.555425443124365	-274.26117043725446	248	248000
247	15444.474689722061	1000	249000	-14.555425443124365	-225.2160563219831	249	249000
248	15504.845632314682	1000	250000	-14.555425443124365	-192.7234534854478	250	250000
249	15565.308397769928	1000	251000	-14.555425443124365	-71.99905635934293	251	251000
250	15625.634573221207	1000	252000	-14.555425443124365	-211.53361500165215	252	252000
251	15686.010508775711	1000	253000	-14.555425443124365	-124.89162429957776	253	253000
252	15746.365072250366	1000	254000	-14.555425443124365	-105.6499690493345	254	254000
253	15806.765088558197	1000	255000	-14.555425443124365	-209.1211926192903	255	255000
254	15867.171944379807	1000	256000	-14.555425443124365	-147.90338526797743	256	256000
255	15927.613580465317	1000	257000	-14.555425443124365	-162.5776994395772	257	257000
256	15988.032984256744	1000	258000	-14.555425443124365	-141.33740825858456	258	258000
257	16048.292557001114	1000	259000	-14.555425443124365	-201.00297916181927	259	259000
258	16108.613394975662	1000	260000	-14.555425443124365	-162.74244887232658	260	260000
259	16168.969532489777	1000	261000	-14.555425443124365	-191.11129950952977	261	261000
260	16229.190462589264	1000	262000	-14.555425443124365	-181.38071261043916	262	262000
261	16289.51725268364	1000	263000	-14.555425443124365	-146.56337280566206	263	263000
262	16349.878157377243	1000	264000	-14.555425443124365	-225.87964517935035	264	264000
263	16410.126932382584	1000	265000	-14.555425443124365	-257.7721551322138	265	265000
264	16470.59573841095	1000	266000	-14.555425443124365	-126.42020800029823	266	266000
265	16530.933307647705	1000	267000	-14.555425443124365	-87.62092597400778	267	267000
266	16591.16695857048	1000	268000	-14.555425443124365	-160.2555340696432	268	268000
267	16651.475616931915	1000	269000	-14.555425443124365	-227.68398878660466	269	269000
268	16711.837474822998	1000	270000	-14.555425443124365	-165.43794708892653	270	270000
269	16772.12073779106	1000	271000	-14.555425443124365	-264.4838921007325	271	271000
270	16832.46959209442	1000	272000	-14.555425443124365	-214.21741602639406	272	272000
271	16892.849054336548	1000	273000	-14.555425443124365	-133.42377473096627	273	273000
272	16953.136501550674	1000	274000	-14.555425443124365	-246.56091062574703	274	274000
273	17013.424082517624	1000	275000	-14.555425443124365	-281.939641889421	275	275000
274	17073.79790019989	1000	276000	-14.555425443124365	-252.52230818267955	276	276000
275	17134.07991552353	1000	277000	-14.555425443124365	-181.98278038302445	277	277000
276	17194.444296360016	1000	278000	-14.555425443124365	-200.74000341883018	278	278000
277	17254.7780752182	1000	279000	-14.555425443124365	-227.50071331974374	279	279000
278	17315.08045554161	1000	280000	-14.555425443124365	-192.69312262088044	280	280000
279	17375.49480509758	1000	281000	-14.555425443124365	-187.50363357092473	281	281000
280	17435.904894828796	1000	282000	-14.555425443124365	-35.79125820486351	282	282000
281	17496.227323770523	1000	283000	-14.555425443124365	-157.54581065570707	283	283000
282	17556.511097431183	1000	284000	-14.555425443124365	-66.78469697430542	284	284000
283	17616.89972782135	1000	285000	-14.555425443124365	-163.10832764901704	285	285000
284	17677.206579208374	1000	286000	-14.555425443124365	-103.70214567389566	286	286000
285	17737.59565758705	1000	287000	-14.555425443124365	-174.8737211968025	287	287000
286	17797.911462545395	1000	288000	-14.555425443124365	-28.966267904658743	288	288000
287	17858.152650117874	1000	289000	-14.555425443124365	-61.73028779706409	289	289000
288	17918.473993062973	1000	290000	-14.555425443124365	-176.7241640527757	290	290000
289	17978.768940925598	1000	291000	-14.555425443124365	-236.45353297666074	291	291000
290	18039.089687347412	1000	292000	-14.555425443124365	-283.6230075919489	292	292000
291	18099.3516933918	1000	293000	-14.555425443124365	-247.2867178466339	293	293000
292	18159.646456956863	1000	294000	-14.555425443124365	-86.8807508539871	294	294000
293	18219.960138082504	1000	295000	-14.555425443124365	-138.92825477799525	295	295000
294	18280.328950881958	1000	296000	-14.555425443124365	-161.05911991211556	296	296000
295	18340.65146279335	1000	297000	-14.555425443124365	-77.62293115050241	297	297000
296	18401.003071069717	1000	298000	-14.555425443124365	-161.15876627604868	298	298000
297	18461.353224039078	1000	299000	-14.555425443124365	-170.7219118962995	299	299000
298	18521.695338726044	1000	300000	-14.555425443124365	-80.44990919297582	300	300000
299	18582.10347366333	1000	301000	-14.555425443124365	-121.59213090520892	301	301000
300	18642.55643248558	1000	302000	-14.555425443124365	-199.70711926219525	302	302000
301	18702.835700273514	1000	303000	-14.555425443124365	-186.13633852535037	303	303000
302	18763.16137099266	1000	304000	-14.555425443124365	-305.2857946576848	304	304000
303	18823.428712129593	1000	305000	-14.555425443124365	-231.70470642712198	305	305000
304	18883.802829027176	1000	306000	-14.555425443124365	-177.14530413607963	306	306000
305	18944.082683563232	1000	307000	-14.555425443124365	-123.70010275881374	307	307000
306	19004.33215737343	1000	308000	-14.555425443124365	-151.58658958883854	308	308000
307	19064.69462299347	1000	309000	-14.555425443124365	-213.38674908157375	309	309000
308	19125.08927822113	1000	310000	-14.555425443124365	-149.3211654959542	310	310000
309	19185.469602108	1000	311000	-14.555425443124365	-355.770032928231	311	311000
310	19245.72862458229	1000	312000	-14.555425443124365	-261.26993216950416	312	312000
311	19306.148533821106	1000	313000	-14.555425443124365	-134.43279715983144	313	313000
