Iteration,Average Returns
0,-500.0
5,-500.0
10,-500.0
15,-500.0
20,-500.0
25,-500.0
30,-500.0
35,-500.0
40,-238.0
45,-145.0
50,-151.0
55,-159.0
60,-155.0
65,-155.0
70,-159.0
75,-159.0
80,-159.0
85,-157.0
90,-154.0
95,-160.0
100,-158.0
105,-158.0
110,-156.0
115,-156.0
120,-154.0
125,-161.0
130,-156.0
135,-155.0
140,-154.0
145,-155.0
