train-MinReturn,train-EnvExecTime,LossAfter,ItrTime,Time,LossBefore,Time-SampleProc,Itr,train-AverageDiscountedReturn,Time-Sampling,train-MaxReturn,train-AverageReturn,Time-Optimization,train-PolicyExecTime,n_timesteps,train-NumTrajs,train-StdReturn
-50.38192194495118,3.107573986053467,0.08426178,19.66741132736206,19.66741132736206,-1.4177178e-05,0.04895591735839844,0,54.83436255451249,19.32744264602661,194.93718972089098,76.84573027125833,0.28999924659729004,15.95927906036377,10000,100,59.294192901465514
-192.49390980581254,3.002584457397461,0.0037046098,17.946232795715332,37.62771224975586,-1.42259405e-05,0.017967700958251953,1,24.788630369630813,17.683263063430786,156.6101188920537,29.942148898150727,0.24500203132629395,14.392659664154053,20000,100,68.50674440494404
-158.655848820009,2.963270425796509,-0.00655044,17.91073250770569,55.55144453048706,-1.422983e-05,0.018000125885009766,2,37.46163704050011,17.639253854751587,173.0969064791041,51.16126956327784,0.2514784336090088,14.40003252029419,30000,100,64.15515099748201
-205.2225165665569,2.946800470352173,-0.0066685975,17.82278537750244,73.38722705841064,-1.4211789e-05,0.023966073989868164,3,51.701768243859014,17.552816152572632,197.73425624291872,76.4489182425041,0.2460031509399414,14.333777666091919,40000,100,59.81627053319725
-63.69591399534584,2.9042675495147705,-0.0031050988,17.769893407821655,91.17011737823486,-1.4181415e-05,0.02499985694885254,4,62.18625289362366,17.493894577026367,191.5838519263636,97.16929570144728,0.25099897384643555,14.320459604263306,50000,100,51.40916237614404
34.65214718774511,2.8958277702331543,-0.005336553,17.781543970108032,108.96466088294983,-1.4119937e-05,0.026001453399658203,5,81.23213260748722,17.497516632080078,209.8558235457496,134.62088980098034,0.2580258846282959,14.314957618713379,60000,100,45.561921447993406
19.257677500713704,2.932399034500122,-0.0049935686,18.026668787002563,127.00432896614075,-1.4097739e-05,0.024999141693115234,6,83.59674780259432,17.75466775894165,224.12376248290366,139.6975920587915,0.24500012397766113,14.472776412963867,70000,100,45.04421968697787
36.449500198761775,2.976222038269043,-0.005551829,17.857781648635864,144.87511205673218,-1.40534485e-05,0.01997208595275879,7,97.47834642875118,17.582767486572266,231.00786442248202,162.5327432125251,0.25504207611083984,14.36244010925293,80000,100,37.651536013583936
-171.70446977221954,3.0375733375549316,-0.005892411,17.681670665740967,162.56978344917297,-1.3993884e-05,0.01797175407409668,8,99.2998141680966,17.414162635803223,223.90503843240916,166.20424663469797,0.24850964546203613,14.1207857131958,90000,100,46.988331510259236
15.794777612718002,3.068641424179077,-0.005859958,17.90665912628174,180.48944187164307,-1.3938224e-05,0.02396702766418457,9,105.89182358377316,17.631659507751465,218.2636660477164,176.05109390081859,0.24900102615356445,14.301815509796143,100000,100,30.01483811276062
