Iteration,Average Returns
0,-1086.2625732421875
5,-1086.2625732421875
10,-1105.8670654296875
15,-1045.646240234375
20,-934.73681640625
25,-328.2395935058594
30,-123.27689361572266
35,-112.38660430908203
40,-106.76881408691406
45,-104.17338562011719
50,-110.1746597290039
55,-107.78919219970703
60,-113.21743774414062
65,-121.41631317138672
70,-104.17338562011719
75,-103.64669799804688
80,-102.05155181884766
85,-107.28028869628906
90,-113.21743774414062
95,-102.05155181884766
100,-112.2537841796875
105,-114.17066192626953
110,-105.21915435791016
115,-107.28028869628906
120,-108.79935455322266
125,-103.64669799804688
130,-106.76881408691406
135,-104.17338562011719
140,-102.05155181884766
145,-108.2955551147461
