train-MaxReturn,train-PolicyExecTime,LossAfter,Time-Sampling,train-AverageReturn,Time,ItrTime,train-AverageDiscountedReturn,train-MinReturn,Itr,train-EnvExecTime,LossBefore,Time-Optimization,train-StdReturn,Time-SampleProc,train-NumTrajs,n_timesteps
40.98686958655477,14.265529155731201,-0.6461488,17.07405114173889,-32.38606695288135,17.425019025802612,17.425019025802612,-20.756060180955643,-111.91941981131528,0,2.5418872833251953,-0.004290527,0.2999999523162842,33.636550428687116,0.04999828338623047,100,10000
61.18317900233096,13.995908498764038,-0.21958926,16.72998332977295,-26.887210629764063,34.47401213645935,16.986958742141724,-17.524861241680263,-116.2117738677014,1,2.478053331375122,0.010531347,0.2350015640258789,34.55862108873016,0.020999908447265625,100,20000
70.05359188747373,13.68025016784668,-0.2603859,16.346994876861572,-35.66820948892273,51.10100221633911,16.61399006843567,-23.774226239934645,-165.22227876094124,2,2.424823522567749,-0.003436084,0.2389998435974121,43.63037591890711,0.026996374130249023,100,30000
32.90276953337489,13.825939416885376,-0.25049472,16.565030813217163,-44.47135297790292,67.93999481201172,16.824992418289185,-28.6515634240442,-161.7328518988729,3,2.472472667694092,0.00057353516,0.23700165748596191,39.91818813355956,0.02295994758605957,100,40000
20.305151065344713,13.789528369903564,-0.07535696,16.51299548149109,-51.238790233447205,84.72798728942871,16.77399182319641,-33.15729665343807,-161.4652094946017,4,2.4651854038238525,0.021250589,0.23400187492370605,37.91940396239274,0.024996042251586914,100,50000
32.53556331592697,13.761011600494385,-0.16583134,16.55199408531189,-40.70279926943775,101.55997800827026,16.818992853164673,-26.673899557671245,-172.36127661381326,5,2.491302490234375,0.007497949,0.23800134658813477,37.79321146936858,0.027997493743896484,100,60000
40.18011244461976,14.01334547996521,-0.16919833,16.901991844177246,-48.91402828269758,118.75196886062622,17.17799186706543,-31.82851629670871,-169.84182676363554,6,2.626749038696289,-0.027602442,0.24299883842468262,38.32859662447262,0.030979394912719727,100,70000
90.41021681049948,13.73198938369751,-0.23793443,16.565993309020996,-46.07740890281198,135.6199598312378,16.853991508483887,-29.96802282021857,-146.38989516521653,7,2.5728542804718018,-0.0033574218,0.2630002498626709,40.88966630661802,0.024997949600219727,100,80000
71.09311886306729,14.1329665184021,-0.1655565,17.004023551940918,-45.57238452696449,152.8979516029358,17.263990879058838,-29.5417925862469,-173.28634704632145,8,2.5835416316986084,0.01143038,0.2370002269744873,41.55898418731297,0.02096843719482422,100,90000
48.303261194471865,14.1249840259552,-0.22587349,16.910993576049805,-40.89213979740156,170.08494448661804,17.173993825912476,-27.542007909676144,-176.89259831090408,9,2.5319783687591553,0.028556885,0.23900103569030762,37.23530669407555,0.022998809814453125,100,100000
51.48269654918335,13.781777620315552,-0.19167696,16.61101984977722,-41.80208258054432,186.97193503379822,16.873992204666138,-26.804667134718724,-174.0648190033309,10,2.550466537475586,0.0025818849,0.23799777030944824,40.937230076666836,0.023974180221557617,100,110000
29.269360136205155,13.71049451828003,-0.24791019,16.47199821472168,-41.93561770249038,203.7139265537262,16.728992223739624,-27.390585020188077,-149.27274868440705,11,2.4800925254821777,-0.007953369,0.23100042343139648,32.81366238685962,0.02599358558654785,100,120000
25.53873334169198,13.771275281906128,-0.48316973,16.473010301589966,-49.038372991696626,220.4599175453186,16.73199152946472,-31.907492134804862,-181.82344941824852,12,2.4430289268493652,0.0068140137,0.23600101470947266,36.75501073027191,0.022980213165283203,100,130000
87.93970441752124,14.021064519882202,-0.5594789,16.847997188568115,-35.41955626591297,237.58988118171692,17.11596369743347,-22.783498665876373,-140.69977436229837,13,2.5712671279907227,0.035498023,0.23800015449523926,34.53709946797516,0.028967857360839844,100,140000
22.588376193660814,13.982450008392334,-0.5178002,16.786008834838867,-49.46130243569067,254.65888857841492,17.051007986068726,-30.87434905898424,-134.246382523454,14,2.5503642559051514,0.0156979,0.2369990348815918,34.74156548620759,0.0280001163482666,100,150000
34.42483850130802,13.947459936141968,-0.6596414,16.705991744995117,-57.33407661660593,271.6388795375824,16.96699023246765,-36.12964180216429,-161.65823218400715,15,2.5025973320007324,0.01973994,0.2389979362487793,36.992469594034354,0.020999670028686523,100,160000
11.875740780238447,13.578951835632324,-0.45618984,16.38002371788025,-62.84702514630219,288.30587100982666,16.653991222381592,-39.87411946195343,-136.18942799334226,16,2.5110700130462646,0.0028142638,0.24300003051757812,30.072572561979445,0.02896571159362793,100,170000
31.45759741673069,13.990843057632446,-0.06267637,16.73999261856079,-43.01011954947752,305.3258624076843,17.005990982055664,-27.54500018521101,-114.10111827635319,17,2.4884562492370605,0.013918066,0.24599933624267578,32.020116390615755,0.019999027252197266,100,180000
48.363139692936116,14.03498363494873,-0.12605289,16.80802297592163,-31.050362975568603,322.4118547439575,17.072991847991943,-18.600336884361017,-104.77212605089643,18,2.496777296066284,-0.0046050292,0.24200105667114258,30.15695336501532,0.020997285842895508,100,190000
41.22979496429375,13.480079174041748,-0.10891865,16.181993007659912,-35.67190540097036,338.86784768104553,16.442992448806763,-21.906403936225924,-110.89208750671406,19,2.446474075317383,-5.9985352e-05,0.23399758338928223,32.26704698673641,0.02700185775756836,100,200000
57.558504109964275,13.591426849365234,-0.3379353,16.34102201461792,-37.79127404422284,355.4828383922577,16.60099148750305,-22.701316919050058,-116.49129960128495,20,2.4783992767333984,-0.027260773,0.23397302627563477,33.70991615225322,0.024995088577270508,100,210000
