ItrTime,Itr,LossBefore,train-StdReturn,Time-Sampling,train-EnvExecTime,train-PolicyExecTime,train-AverageDiscountedReturn,train-MinReturn,train-AverageReturn,train-NumTrajs,LossAfter,Time,Time-SampleProc,Time-Optimization,train-MaxReturn,n_timesteps
16.230060815811157,0,-1.4190148e-05,4.115812431663015,15.76309323310852,2.2996714115142822,13.222931623458862,1.3192356858576997,-7.129675463833728,1.512783653035825,100,0.020267777,16.230060815811157,0.08999824523925781,0.3749997615814209,11.225715692918532,10000
15.65297532081604,1,-1.4225003e-05,6.026256153109817,15.382001876831055,2.3593554496765137,12.782541275024414,0.39795438894047414,-13.248532990541749,0.7763204841185447,100,0.018613454,31.900036811828613,0.02297377586364746,0.2479996681213379,16.86899124811979,20000
15.681976556777954,2,-1.4288523e-05,5.122550717607933,15.40500283241272,2.4225144386291504,12.732455968856812,0.8999736990987999,-7.875414758131391,1.4415354337527888,100,-0.0025553333,47.59501338005066,0.02197432518005371,0.2539999485015869,19.461079075471122,30000
16.654974460601807,3,-1.4307072e-05,8.539486052120859,16.364975929260254,2.4899985790252686,13.619302034378052,5.896383843913227,-12.049523542509974,9.99316194906233,100,-0.007985447,64.26298880577087,0.023000478744506836,0.26599931716918945,26.55340104712822,40000
16.918975353240967,4,-1.4272869e-05,8.400962850125634,16.652976512908936,2.51059627532959,13.86665153503418,10.464501623237926,-2.816930746097653,16.41155355399624,100,-0.012118371,81.19496464729309,0.02199697494506836,0.2440018653869629,29.67020992476519,50000
16.34997797012329,5,-1.4208466e-05,5.962630485203782,16.083977222442627,2.4686191082000732,13.31550908088684,13.646361409057961,2.9275522714132247,21.417801954566762,100,-0.010431009,97.557941198349,0.02200031280517578,0.24400043487548828,29.744215998223655,60000
16.55997586250305,6,-1.4134605e-05,3.225965536591667,16.284977197647095,2.3784868717193604,13.621419191360474,17.27172930723213,12.069054021188474,24.992616605606898,100,-0.012524543,114.13091444969177,0.023998260498046875,0.25100040435791016,30.83370938511236,70000
16.628972053527832,7,-1.4051795e-05,2.2230310593091374,16.364012479782104,2.466473340988159,13.638688564300537,19.754767122992373,19.92565925398488,26.981250200940107,100,-0.008645206,130.77388906478882,0.022961854934692383,0.24199771881103516,30.801757320461462,80000
16.616976261138916,8,-1.39527365e-05,2.249010136446325,16.355979204177856,2.544405937194824,13.555158853530884,20.33114630150718,19.4596092887926,27.18450055979856,100,-0.005909656,147.4038655757904,0.017995357513427734,0.2420024871826172,31.548215184772797,90000
16.48097848892212,9,-1.3845357e-05,1.8911724653467914,16.1999773979187,2.4347190856933594,13.511571645736694,20.86770357055245,22.827550540810762,27.833382277140995,100,-0.0077114203,163.8978419303894,0.022998809814453125,0.25800228118896484,31.913442960270675,100000
16.494975090026855,10,-1.3732036e-05,1.9134585939810322,16.22797656059265,2.423877000808716,13.530594825744629,21.758184611933746,21.399356517099946,28.183063973246462,100,-0.0061091944,180.40581440925598,0.017002582550048828,0.24999594688415527,32.653092734527256,110000
16.55797576904297,11,-1.3616249e-05,1.940047375329009,16.287978172302246,2.4662020206451416,13.570322513580322,21.759862207764655,23.447502416167847,28.142319210214318,100,-0.005492195,196.9767894744873,0.019997119903564453,0.2500004768371582,33.0274110111553,120000
16.669975757598877,12,-1.3511456e-05,1.4701971038938757,16.40500259399414,2.483745813369751,13.68369197845459,22.26580456667313,24.18014284531886,28.57933730560757,100,-0.0065024863,213.65876507759094,0.02100062370300293,0.24199867248535156,32.36375800268826,130000
16.507976770401,13,-1.3408289e-05,1.7565020660643604,16.234008312225342,2.4384653568267822,13.529314756393433,22.40320883924591,24.342087295355295,28.596016421218305,100,-0.006713009,230.17874121665955,0.025967121124267578,0.24700212478637695,31.738192190912056,140000
16.502973079681396,14,-1.3299055e-05,1.8790382084475723,16.240005254745483,2.4752912521362305,13.49052095413208,22.406178369010735,20.875559893070914,28.577477697346254,100,-0.005295035,246.73271465301514,0.01696610450744629,0.24399995803833008,33.78908967232034,150000
16.66497492790222,15,-1.3190141e-05,1.8341118632758002,16.404976844787598,2.5302693843841553,13.619580507278442,22.91945387398338,24.83760520201754,29.039423776172175,100,-0.0036043166,263.4106900691986,0.018998384475708008,0.2389991283416748,33.07611837352435,160000
16.844976902008057,16,-1.3072133e-05,1.6679754097563024,16.581977605819702,2.5706818103790283,13.72385048866272,23.039417084396952,24.66236163061871,29.28738836163992,100,-0.0033176516,280.268666267395,0.023999691009521484,0.238999605178833,32.746954105541235,170000
16.61597514152527,17,-1.2959584e-05,1.6835941223341948,16.336977005004883,2.477539539337158,13.604055166244507,23.14323214917559,24.863820714873313,29.47347802917504,100,-0.003654331,296.8976397514343,0.023000478744506836,0.25499677658081055,34.05584631001324,180000
16.68297529220581,18,-1.2845332e-05,1.6552403919599445,16.417977809906006,2.490506649017334,13.656184673309326,23.527426791082334,24.930884183054097,29.980869737749217,100,-0.0030496924,313.59361481666565,0.016997575759887695,0.24699974060058594,33.694013761991194,190000
16.588987112045288,19,-1.2729693e-05,1.3719571478344696,16.329021453857422,2.511255979537964,13.558958530426025,24.01999327266906,27.04303059781206,30.498876208365992,100,-0.0031800603,330.19560170173645,0.019969940185546875,0.23999571800231934,33.725050741671936,200000
16.647975206375122,20,-1.2589136e-05,1.885212746297466,16.37400984764099,2.4837300777435303,13.623287200927734,23.687283676904272,24.98545711732859,30.23199425409432,100,-0.005082789,346.85657787323,0.02496480941772461,0.24699902534484863,35.515200065626765,210000
