train-PolicyExecTime,train-MaxReturn,train-StdReturn,train-AverageReturn,n_timesteps,Time-Sampling,ItrTime,Time-Optimization,Time,LossBefore,Itr,train-NumTrajs,train-MinReturn,LossAfter,Time-SampleProc,train-EnvExecTime,train-AverageDiscountedReturn
14.064879417419434,70.95123021560772,31.44489008490793,-42.76155069868342,10000,16.795275926589966,17.167242765426636,0.3120005130767822,17.167242765426636,-0.10446199,0,100,-112.18721725315595,-5.1409082,0.05899786949157715,2.4693844318389893,-27.378448017452452
13.997038841247559,61.19074290181191,35.842089763120065,-27.221691136101622,20000,16.73496389389038,16.99996042251587,0.23599886894226074,34.18120336532593,9.155274e-09,1,100,-117.63144806726724,-0.032525647,0.02899765968322754,2.471480131149292,-18.35640335846667
13.977136373519897,104.48099925506172,43.161291993800155,-18.602646268525447,30000,16.753716945648193,17.017683029174805,0.2429971694946289,51.21288585662842,-3.0517577e-09,2,100,-121.54318543246704,-0.0033407258,0.020968914031982422,2.492820978164673,-13.07580512942965
13.884077072143555,95.8151609712652,40.052754200441726,-25.280780940991413,40000,16.614988565444946,16.876961708068848,0.2409658432006836,68.10284733772278,-1.5258789e-09,3,100,-123.18705477075963,-0.015163199,0.021007299423217773,2.4922564029693604,-17.15481864779571
14.004059791564941,40.64975854897807,37.440174196259605,-38.460607719250575,50000,16.75171732902527,17.019690990447998,0.23799872398376465,85.13553810119629,-1.6784668e-08,4,100,-144.671899421256,-0.015429944,0.028974533081054688,2.4699110984802246,-24.918352935678122
13.861982107162476,42.721960230761276,35.67052011884626,-33.351161872380345,60000,16.681397676467896,16.953397750854492,0.2409992218017578,102.10193467140198,-9.918213e-09,5,100,-112.84965928222762,-0.011602012,0.03000020980834961,2.5358974933624268,-21.702840684455587
14.010557174682617,87.18741384652914,36.006541094260285,-41.47803375977303,70000,16.75896120071411,17.028961181640625,0.23999929428100586,119.1438958644867,-1.7166137e-09,6,100,-136.4112326185269,-0.013906701,0.028999805450439453,2.4837188720703125,-27.062395412880665
14.020111322402954,27.835368550643334,30.865220915355795,-40.7137612839931,80000,16.78221106529236,17.053179502487183,0.24899840354919434,136.21007466316223,-1.525879e-08,7,100,-150.762319884417,-0.005391681,0.021970033645629883,2.4910430908203125,-27.04247969380542
13.85769248008728,40.10367739546523,35.51556152588018,-39.19594323159955,90000,16.58900260925293,16.856961727142334,0.2390000820159912,153.0810353755951,1.2207031e-08,8,100,-126.07499092783902,-0.012844626,0.028959035873413086,2.470639228820801,-25.650428170277692
13.923561334609985,62.30094682995211,41.48064196137427,-37.102127052037964,100000,16.635966062545776,16.90196204185486,0.24300003051757812,169.9959967136383,6.1035155e-09,9,100,-143.653776831375,-0.0077928314,0.020996570587158203,2.4493632316589355,-25.5721841449395
13.84609341621399,71.49897019842068,41.08107313904396,-27.658718869557543,110000,16.59996223449707,16.86496090888977,0.23799967765808105,186.87495756149292,1.2207031e-08,10,100,-129.79116977577556,-0.0142661985,0.02699899673461914,2.5025696754455566,-18.863812981374203
13.68290114402771,72.80779370960995,40.48491503084882,-28.444726507357032,120000,16.49496364593506,16.762961864471436,0.24599671363830566,203.65091919898987,1.2207031e-08,11,100,-149.91541721975165,-0.012531589,0.021001338958740234,2.5279273986816406,-18.545981553216496
14.009854793548584,48.31711670920197,32.6148038013106,-28.1574230180452,130000,16.766085147857666,17.046082019805908,0.24899840354919434,220.7110013961792,3.0517577e-09,12,100,-95.61685795252922,-0.019993817,0.03099846839904785,2.4903600215911865,-19.68714897415271
13.88365650177002,82.58771732200843,45.742078802485786,-29.567333809428483,140000,16.66093349456787,16.924931287765503,0.24099946022033691,237.792964220047,6.1035155e-09,13,100,-161.23593372229914,-0.021226907,0.021969079971313477,2.5159614086151123,-20.14045469170173
13.984978437423706,75.27301196353928,36.12655809940122,-26.290214761727498,150000,16.73796319961548,17.001960039138794,0.24100065231323242,254.8079228401184,-2.2888185e-09,14,100,-118.27686535589773,-0.019370649,0.021996736526489258,2.4864954948425293,-18.761978003082074
13.95115876197815,99.55155081572387,39.97295070712869,-18.851833736392713,160000,16.72837233543396,16.994341135025024,0.24300003051757812,271.8162636756897,-3.8146974e-09,15,100,-134.66050866195192,-0.015965227,0.021967172622680664,2.515437602996826,-13.058959277301566
14.036293983459473,83.08062205357923,39.00620931503246,-17.943753554828326,170000,16.888962745666504,17.155961275100708,0.24499893188476562,288.98622488975525,-9.918213e-09,16,100,-98.36066783240742,-0.014234781,0.021999597549438477,2.5420916080474854,-13.262776809824594
13.928377866744995,110.43701062234508,40.18875118511817,-19.843707236860425,180000,16.772963285446167,17.03696298599243,0.23900079727172852,306.03618717193604,-0.0009806335,17,100,-111.41371210628562,-0.014994662,0.022998809814453125,2.5738158226013184,-13.802527294395466
14.023832082748413,117.69429689862262,38.07102653140913,-13.11432372896627,190000,16.837960720062256,17.10196089744568,0.23800086975097656,323.1531472206116,3.0517577e-09,18,100,-109.3483352237311,-0.020783758,0.02599930763244629,2.5641238689422607,-8.45482395636765
13.595263481140137,77.09250745783429,35.04230686931357,-12.65123147668077,200000,16.479961156845093,16.748960733413696,0.2429978847503662,339.91610836982727,7.629395e-09,19,100,-106.35992315976465,-0.029269595,0.02500152587890625,2.633713483810425,-8.916221316441785
13.95801067352295,209.77079547359585,47.31090886978206,-8.667728668128008,210000,16.831961154937744,17.097961902618408,0.244002103805542,357.0280706882477,-1.525879e-08,20,100,-127.14985358783362,-0.022997119,0.02199864387512207,2.6429331302642822,-6.409261116658193
13.988182067871094,91.37877817798027,35.03027492345902,-12.023841171061287,220000,16.843961238861084,17.115960597991943,0.24100160598754883,374.1570301055908,-8.773804e-09,21,100,-104.06810286572619,-0.025987789,0.030997753143310547,2.6047770977020264,-7.452146195796993
13.941606044769287,108.34888900336288,36.087922206367054,-9.292526543752823,230000,16.805564641952515,17.074530363082886,0.23999619483947754,391.2445602416992,6.1035155e-09,22,100,-97.86277778955302,-0.018257447,0.026969194412231445,2.6102020740509033,-6.8762278088610636
13.90787148475647,70.39817551523909,35.605130718042204,-13.260339814767201,240000,16.702961444854736,16.966960906982422,0.23499798774719238,408.22452092170715,-6.1035155e-09,23,100,-101.15187074577497,-0.01415571,0.029001474380493164,2.5399351119995117,-9.6196873247127
14.035074949264526,91.7341048785622,29.883187664904074,-15.263679809110169,250000,16.82399320602417,17.088961362838745,0.24399828910827637,425.32648229599,-1.525879e-08,24,100,-94.35069311278222,-0.017889945,0.020969867706298828,2.5196778774261475,-10.370500272001147
13.931599617004395,107.74850967702899,38.05799497699595,-13.243882922376752,260000,16.708075761795044,16.976033687591553,0.23999881744384766,442.3155150413513,3.0517577e-09,25,100,-130.74312569900422,-0.013873929,0.025971174240112305,2.534559965133667,-9.338065764176132
13.969851732254028,136.83898064713296,38.8923871810709,-11.127323732907097,270000,16.76396346092224,17.02696204185486,0.23800015449523926,459.3554768562317,3.0517577e-09,26,100,-103.71636707039441,-0.02434891,0.022998809814453125,2.530651330947876,-8.553569756344386
13.914337158203125,140.2919540215654,39.157558478028974,-16.877401014872657,280000,16.777204990386963,17.041172981262207,0.24200034141540527,476.40964913368225,-1.525879e-08,27,100,-145.7012582453679,-0.041231122,0.020999431610107422,2.5450189113616943,-12.186590696979325
13.850681781768799,66.3796482752949,34.84560616400274,-16.718405832188356,290000,16.63671636581421,16.902692556381226,0.2390000820159912,493.3253402709961,-0.003048297,28,100,-136.7914411191511,-0.0299451,0.025974512100219727,2.5311543941497803,-10.76079886524041
13.972262859344482,68.1316619775715,36.05603179326969,-14.205410742362801,300000,16.784290313720703,17.043256521224976,0.23800039291381836,510.38259625434875,-0.0013804977,29,100,-98.58625928008074,-0.040707115,0.0209658145904541,2.5473709106445312,-9.246049429279493
14.013266801834106,78.6953818999799,41.296735656209684,-19.496844426961253,310000,16.812999725341797,17.07796359062195,0.2389688491821289,527.4735596179962,2.4414062e-08,30,100,-164.95206145789234,-0.025205908,0.025030136108398438,2.537841558456421,-12.33361264982039
14.094167232513428,76.93665592123972,34.29498599676509,-18.0919423429202,320000,16.833995819091797,17.104962825775146,0.2409968376159668,544.5925211906433,-0.0011647919,31,100,-122.5096922120008,-0.020830058,0.028969287872314453,2.493666410446167,-12.214335684535067
