LossBefore,Time,ItrTime,n_timesteps,train-EnvExecTime,train-PolicyExecTime,train-MaxReturn,LossAfter,Itr,train-StdReturn,Time-Sampling,Time-Optimization,train-MinReturn,train-AverageDiscountedReturn,train-NumTrajs,train-AverageReturn,Time-SampleProc
6.1035155e-09,17.602560997009277,17.602560997009277,10000,2.9853596687316895,14.034369945526123,-12.846257898351151,-2.6926107,0,67.2123062987538,17.276042222976685,0.2915191650390625,-319.1554960603637,-99.34552860541973,100,-191.72091015516696,0.034000396728515625
-6.1035155e-09,36.821619272232056,19.205057621002197,20000,3.3246171474456787,15.267232418060303,196.82753753762054,-0.037715748,1,83.1751898251794,18.92105746269226,0.25600218772888184,-170.734077980599,38.12351781795,100,58.12126795627841,0.026998281478881836
9.536744e-10,54.78420424461365,17.94658660888672,30000,3.0610463619232178,14.313095331192017,-44.58806323811227,-0.011453518,2,37.62977460817809,17.678688049316406,0.24589848518371582,-270.3109932695944,-80.0014271580654,100,-168.4425546543601,0.02200007438659668
-9.155274e-09,72.96285128593445,18.165646076202393,40000,3.02508282661438,14.57273006439209,42.17178399518057,-0.017557861,3,47.08956908029977,17.889679670333862,0.2500011920928955,-233.06353241114886,-74.41331131152907,100,-156.00674803671262,0.02496504783630371
-6.1035155e-09,90.4363944530487,17.460541009902954,50000,2.93710994720459,14.007185697555542,14.005496641190334,-0.017969025,4,35.514264385046395,17.196545600891113,0.24199724197387695,-211.15932630001643,-59.74855903844584,100,-120.74256283308495,0.02100086212158203
6.1035155e-09,108.13807034492493,17.68867516517639,60000,3.0247910022735596,14.126637935638428,79.6931561927224,-0.018317793,5,41.77503342377534,17.4247043132782,0.24500298500061035,-175.58996745232957,-50.62712368193818,100,-104.14068622674365,0.018967866897583008
4.768372e-10,125.83333230018616,17.682263135910034,70000,2.956108570098877,14.129243612289429,143.1125861049993,-0.020986417,6,74.7347627016599,17.418739557266235,0.2445218563079834,-180.12873036841614,-31.171242529668042,100,-70.9839646539347,0.017985105514526367
6.1035155e-09,143.81891345977783,17.97158122062683,80000,3.0455944538116455,14.381742715835571,185.11598030287666,-0.015934585,7,91.36079541580547,17.704607725143433,0.24199652671813965,-172.76020170166942,9.702920183571777,100,-5.1043246718872455,0.02497696876525879
9.536744e-10,161.88738250732422,18.053466320037842,90000,3.0613396167755127,14.448984384536743,193.53172030381043,-0.025088733,8,88.56880455294318,17.792994260787964,0.24251270294189453,-150.1444502267812,52.93797127997036,100,68.12928580783154,0.0179593563079834
3.0517577e-09,180.88503193855286,18.985142469406128,100000,3.2594339847564697,15.114874362945557,167.6200096161136,-0.012712506,9,53.71658056044522,18.681143283843994,0.27599573135375977,-145.13854980424108,89.85975233356736,100,135.89314001141162,0.028003454208374023
6.1035155e-09,200.5278079509735,19.62777590751648,110000,3.3111536502838135,15.723547220230103,174.63116561543512,-0.012537005,10,17.504667991856003,19.353260040283203,0.25551700592041016,-4.775991188188369,97.77736589804668,100,150.35623784908435,0.01899886131286621
1.2207031e-08,218.54395699501038,18.003148555755615,120000,3.1090595722198486,14.362574577331543,196.34046027854893,-0.06164685,11,6.35254340313007,17.732171058654785,0.24390602111816406,146.1142817114005,99.80077957189884,100,154.79584987893293,0.026070833206176758
-0.017259713,237.56541752815247,19.008460760116577,130000,3.2634146213531494,15.182299137115479,187.43236667435235,-0.058265943,12,6.959098150722275,18.726461172103882,0.25499987602233887,156.10470380981857,108.20267097889376,100,175.05646624373665,0.026999711990356445
6.1035155e-09,255.67075943946838,18.092342376708984,140000,3.1199917793273926,14.438631296157837,202.47436790558146,0.00037132567,13,7.318308360069311,17.82383155822754,0.242509126663208,166.89192238283516,115.0622849541944,100,194.6176178827462,0.024001598358154297
7.629395e-09,273.6687386035919,17.98498010635376,150000,3.1186258792877197,14.347595691680908,204.22400768308685,-0.052461956,14,8.377142118768843,17.724019050598145,0.24300217628479004,162.66610336597108,112.04608327075886,100,190.6868668820432,0.017958879470825195
1.0490417e-09,291.58616304397583,17.90442705154419,160000,3.0574185848236084,14.315964937210083,201.16809362251087,-0.012900125,15,1.4940701822631168,17.639403581619263,0.24502253532409668,190.65345566049973,116.42046061938578,100,198.0583872879561,0.018000125885009766
6.1035155e-09,309.52029180526733,17.92112898826599,170000,3.051649808883667,14.322265386581421,202.32225827162927,-0.03282584,16,1.3482224429187242,17.648154973983765,0.24696850776672363,193.94918477940539,117.29309040255148,100,198.93641681984346,0.02600550651550293
-0.00011885986,327.8619022369385,18.32761025428772,180000,3.1492421627044678,14.57439374923706,205.1285084346402,-0.0114287445,17,2.498337346230616,18.057535886764526,0.24607610702514648,192.5015334801735,117.90102518242885,100,199.74651912183398,0.023998260498046875
-0.0064934557,345.78782892227173,17.912999391555786,190000,3.0690829753875732,14.31810736656189,205.8996551102177,-0.039464477,18,1.928603942136599,17.64802575111389,0.24399805068969727,195.61774955915973,118.67620947751564,100,201.69415215090717,0.019976377487182617
-1.5258789e-09,363.7175278663635,17.91569757461548,200000,3.1379449367523193,14.274914741516113,209.39789076052512,-0.00056191557,19,1.9317350661380448,17.651737451553345,0.24100160598754883,195.0014917619401,119.73299161305384,100,203.11396536757687,0.02295851707458496
-6.1035155e-09,381.6315212249756,17.89999294281006,210000,3.0450990200042725,14.32771635055542,206.3386734350636,-0.011311892,20,1.9200462098337596,17.631477117538452,0.24751591682434082,195.13145897848315,119.39345596979365,100,202.63042128034357,0.020999908447265625
