Time-Sampling,train-MaxReturn,Time-SampleProc,Itr,Time,train-StdReturn,train-AverageReturn,ItrTime,LossBefore,train-NumTrajs,LossAfter,n_timesteps,Time-Optimization,train-MinReturn,train-EnvExecTime,train-AverageDiscountedReturn,train-PolicyExecTime
16.3500497341156,13.6044891444701,0.006998777389526367,0,16.611047744750977,4.351367922796528,1.5183734218707503,16.611047744750977,-0.0058539244,100,-0.7669969,10000,0.2539992332458496,-6.114277128463907,2.523033380508423,1.359235391887398,13.57042407989502
15.981995820999146,29.86717644817855,0.0069997310638427734,1,32.837040185928345,3.723280319918633,25.156328367383793,16.212991952896118,-0.0013207893,100,-3.8493042,20000,0.22399640083312988,10.687344336598871,2.5641140937805176,18.27223234952022,13.17893123626709
16.63453960418701,32.09947607850794,0.007031917572021484,2,49.71557950973511,4.2538993738885615,25.75416367103024,16.865537643432617,0.018422645,100,-4.740843,30000,0.22296714782714844,5.528153865999598,2.5564026832580566,19.624546381164407,13.824629306793213
16.331873416900635,34.000090410635416,0.007002115249633789,3,66.28845310211182,7.4798535631013365,24.251666708282404,16.55987238883972,0.0017930298,100,-3.8698835,40000,0.22099685668945312,-3.4026829425343776,2.5313031673431396,18.546135065329718,13.55056643486023
16.636740922927856,33.02763633050638,0.007030010223388672,4,83.18519330024719,3.917976297109042,26.311417822904378,16.883740663528442,0.01785537,100,-2.5810366,50000,0.2389695644378662,7.286020218318426,2.5174407958984375,20.211862373103514,13.858883380889893
16.72009515762329,31.219115654958287,0.00702977180480957,5,100.14628505706787,4.31660197045672,26.185052696045275,16.94809365272522,-0.010708143,100,-1.5603667,60000,0.22096872329711914,-2.356660242497889,2.5196187496185303,20.0389941802414,13.892865657806396
16.863404035568237,30.061407794996686,0.007996082305908203,6,117.26668238639832,3.0347017719364504,26.498208161485373,17.10739755630493,-0.0055229706,100,-0.937165,70000,0.23599743843078613,11.100293824985886,2.566624402999878,20.454159368119196,14.029604196548462
16.561681985855103,29.89760606350563,0.008036613464355469,7,134.0673635005951,1.8028683442662194,26.85783704800578,16.787681579589844,0.0044274917,100,-0.7279666,80000,0.21796298027038574,19.04807691165286,2.546257257461548,20.491716384050406,13.765005111694336
16.144107818603516,30.24173638148721,0.00699925422668457,8,150.45247197151184,2.7067383044147135,26.024627110775572,16.373109102249146,-0.0010904785,100,-0.6631037,90000,0.2220020294189453,14.668121756135587,2.6125400066375732,19.256228904319144,13.276299476623535
16.745296716690063,30.948144742019892,0.00599217414855957,9,167.4377670288086,3.9893126710196856,25.951542362467762,16.97229552268982,0.011546359,100,-0.59761405,100000,0.21900010108947754,-2.567550853734903,2.532747268676758,18.976505546018327,13.953094959259033
16.850821256637573,30.004022004422975,0.007997512817382812,10,184.5315864086151,4.1772872677903115,25.476899726022452,17.081820011138916,0.00075375364,100,-0.58815753,110000,0.2220008373260498,3.887955972197151,2.5157716274261475,18.392801216787795,14.07522177696228
15.999029159545898,30.40233392758394,0.006995677947998047,11,200.7705798149109,5.288802703576519,25.06262300790703,16.226993322372437,-0.00022962647,100,-0.5436409,120000,0.21996760368347168,-4.67651370415806,2.5047926902770996,18.30907163922545,13.262308359146118
16.890498876571655,32.54342035061135,0.0070307254791259766,12,217.90007662773132,5.017842471841955,24.865422471179635,17.116496324539185,0.0075544557,100,-0.5107411,130000,0.21896672248840332,2.2355440005931873,2.565185785293579,17.539468980015887,14.078649997711182
16.50249195098877,31.178981891019728,0.007002115249633789,13,234.6435363292694,6.914650618832607,22.90235037257724,16.731459617614746,0.019070245,100,-0.41010273,140000,0.22096562385559082,-6.570845070589152,2.480304002761841,15.678142672207423,13.764003276824951
16.681265592575073,31.14917593206406,0.007959604263305664,14,251.58075976371765,6.278545593841849,23.558810615053456,16.924225568771362,-0.01631145,100,-0.3856605,150000,0.2350003719329834,-5.765191686916493,2.527665853500366,16.340020510387628,13.884509086608887
16.56801724433899,31.163063041088133,0.006999969482421875,15,268.39277744293213,7.246759666794284,22.35484100849193,16.799017906188965,-0.021780439,100,-0.3373588,160000,0.2240006923675537,-4.526338309742542,2.5613765716552734,15.856088388673642,13.756789445877075
16.56660771369934,31.089050077829604,0.0069997310638427734,16,285.1993489265442,8.215731825057064,21.887040411393574,16.793572425842285,0.0030856999,100,-0.25053704,170000,0.21899962425231934,-2.5950083750932738,2.509791135787964,15.351675903356155,13.761272668838501
16.67678427696228,31.068441628831206,0.0060007572174072266,17,302.1221330165863,8.199621065386822,21.748940707236812,16.91078472137451,0.0076611023,100,-0.22634314,180000,0.22496247291564941,-6.494671258241293,2.465715169906616,15.286753734427554,13.940944910049438
15.943026781082153,32.12948536750168,0.00696873664855957,18,318.3121271133423,9.07272739224347,21.791207976286532,16.176995038986206,-0.0027505585,100,-0.21313374,190000,0.22699952125549316,-6.97252163182058,2.554504632949829,15.576292907779623,13.143479585647583
16.62387251853943,30.957828965119962,0.006998777389526367,19,335.17499589920044,7.400031328899573,23.077788256197437,16.84986925125122,0.002662732,100,-0.22507027,200000,0.21899795532226562,-5.634373802126228,2.537475109100342,16.217975876569973,13.848618745803833
16.343015432357788,29.749116375120945,0.006998300552368164,20,351.75697684288025,7.815134807885467,21.867055975086704,16.568979263305664,-0.008355164,100,-0.19427587,210000,0.2189655303955078,-7.039406098950714,2.5590813159942627,15.440520288255712,13.530019044876099
16.06999444961548,31.65712441530701,0.007032155990600586,21,368.06497073173523,9.303853754996856,21.45349550804282,16.29599404335022,0.0075351684,100,-0.16265303,220000,0.21896743774414062,-9.219316986217542,2.508108615875244,15.159008805890302,13.325793743133545
