Average Returns,Iteration
-570.6680297851562,0
-123.91675567626953,5
-155.5098419189453,10
-170.33749389648438,15
-120.29966735839844,20
-132.0842742919922,25
-184.80462646484375,30
-148.96038818359375,35
-149.59567260742188,40
-173.7766876220703,45
-141.57228088378906,50
-230.96185302734375,55
-224.48617553710938,60
-170.60365295410156,65
-167.0355682373047,70
-166.62869262695312,75
-184.93663024902344,80
-184.97686767578125,85
-168.17164611816406,90
-174.35153198242188,95
-157.29827880859375,100
-238.67189025878906,105
-202.72711181640625,110
-158.73306274414062,115
-136.209228515625,120
-170.61331176757812,125
-173.20362854003906,130
-200.80699157714844,135
-149.26258850097656,140
-188.01585388183594,145
