train-PolicyExecTime,train-AverageDiscountedReturn,train-EnvExecTime,train-AverageReturn,LossAfter,train-MinReturn,train-NumTrajs,Time-Sampling,ItrTime,Time-SampleProc,train-MaxReturn,n_timesteps,LossBefore,Itr,Time-Optimization,Time,train-StdReturn
13.145126104354858,-0.11578765373716973,2.3901665210723877,-0.3097187237116808,0.07753532,-10.241235360779093,100,15.760987043380737,16.1759512424469,0.06996655464172363,14.347963470794717,10000,-1.419854e-05,0,0.3439981937408447,16.1759512424469,4.431982577860308
13.910222053527832,-1.3230408381892818,2.5300333499908447,-1.4481757070407542,0.009264451,-10.492565876021457,100,16.72374677658081,16.99874782562256,0.024000167846679688,19.86104512674153,20000,-1.424556e-05,1,0.2499997615814209,33.19169783592224,4.911971265976805
13.358252048492432,-0.8127495473260524,2.4430320262908936,-0.8346245241239817,-0.0035654777,-13.067061202885261,100,16.052990198135376,16.31095838546753,0.015970706939697266,17.752301283498074,30000,-1.4326479e-05,2,0.24199748039245605,49.51665496826172,6.318763183355021
13.409638404846191,2.670020429089917,2.5184166431427,5.237685600159386,-0.0063010557,-9.170588659622098,100,16.17199206352234,16.44695734977722,0.022967815399169922,27.87651833777727,40000,-1.43683255e-05,3,0.25099730491638184,65.9766116142273,8.470798437590046
13.297273397445679,9.199973279933188,2.4848220348358154,15.838296624027748,-0.0071016783,-7.763818182293077,100,16.02395987510681,16.298959493637085,0.023997783660888672,28.99417634863282,50000,-1.4349332e-05,4,0.2500021457672119,82.28857088088989,8.34035038578825
13.629093885421753,13.497694997648814,2.448542356491089,21.944173254032677,-0.0050971373,0.737585449631289,100,16.40499210357666,16.6659574508667,0.018964767456054688,30.502715385779865,60000,-1.4300406e-05,5,0.23999905586242676,98.96652579307556,6.723545552977682
13.850141286849976,16.739958167973874,2.5577664375305176,24.915226921406198,-0.0036572127,-1.828733906511234,100,16.655956983566284,16.921956062316895,0.023000001907348633,31.43268488091505,70000,-1.4242265e-05,6,0.24199533462524414,115.90148162841797,4.618587369930952
13.772869348526001,17.45909635061902,2.5029282569885254,25.41112303769898,-0.0056249704,-2.0492640750036983,100,16.546957969665527,16.81995677947998,0.026031970977783203,32.389204036897056,80000,-1.4171617e-05,7,0.24696683883666992,132.73443841934204,4.615372156115951
13.257627725601196,18.448239413253326,2.604861259460449,26.289281894952584,-0.00670229,10.499925634306141,100,16.09999179840088,16.36195659637451,0.016000032424926758,31.71365876367837,90000,-1.4102912e-05,8,0.2429962158203125,149.10839438438416,3.9068831134005313
13.84458613395691,19.593014569059875,2.5622363090515137,27.053694016385396,-0.0039169937,11.542420171525528,100,16.674004554748535,16.937957763671875,0.018970727920532227,31.829833372919623,100000,-1.4019581e-05,9,0.24299860000610352,166.05835223197937,3.164208213378755
13.263095617294312,20.18733159414454,2.5306589603424072,27.169954496155977,-0.004855587,17.113331716949475,100,16.03999161720276,16.309958696365356,0.022993087768554688,31.124875265015323,110000,-1.3954834e-05,10,0.24496769905090332,182.38030886650085,2.342312571167798
13.300150632858276,20.855552140186386,2.5968964099884033,28.151617763388757,-0.004090609,23.208916252189386,100,16.136959314346313,16.40495729446411,0.02500009536743164,33.00027123337445,120000,-1.3871889e-05,11,0.24199819564819336,198.79826617240906,1.5141757419678765
13.467989921569824,21.723540116633856,2.607848644256592,28.382252579669206,-0.0045956653,24.38453116870688,100,16.308993101119995,16.574958324432373,0.020000457763671875,31.819554931569225,130000,-1.3770506e-05,12,0.24496769905090332,215.38622450828552,1.5684367653076412
13.39175009727478,21.892702599335973,2.5813257694244385,28.399902988217463,-0.002248977,25.06672122896876,100,16.240983724594116,16.500956535339355,0.016976118087768555,31.056091787301398,140000,-1.3676516e-05,13,0.2429966926574707,231.90017938613892,1.1576897274565765
13.374526262283325,21.912036373886107,2.5740323066711426,28.2043564386443,-0.0034402036,20.42201103897792,100,16.209959745407104,16.477960348129272,0.022029638290405273,31.14463026887426,150000,-1.3582847e-05,14,0.2440013885498047,248.39114046096802,1.5108345866355128
13.700449228286743,22.212850048992173,2.5485875606536865,28.414794429093032,-0.0035014332,24.88481827070954,100,16.511164903640747,16.78516149520874,0.024996519088745117,31.68869020545198,160000,-1.3491741e-05,15,0.24799561500549316,265.18930172920227,1.3439195543826008
13.753130912780762,22.214686542583564,2.56931471824646,28.3747597683156,-0.0024045352,25.15965349637109,100,16.617960453033447,16.8889582157135,0.021997690200805664,31.496909730532014,170000,-1.3417131e-05,16,0.24799823760986328,282.0922603607178,1.280875350182932
13.508324384689331,22.767578918603267,2.537508487701416,28.917817217147,-0.001558203,23.862870161484334,100,16.31299114227295,16.585958003997803,0.023967266082763672,32.132540564000415,180000,-1.3335023e-05,17,0.24696898460388184,298.69121861457825,1.4091620462499275
13.732706069946289,22.929571080782367,2.5962274074554443,28.93994931298786,-0.0021866548,24.919056025061312,100,16.598959922790527,16.86695647239685,0.018996000289916992,31.570768620465373,190000,-1.32216755e-05,18,0.2479994297027588,315.5711758136749,1.5069537944468239
13.71819806098938,22.54580383986925,2.663409948348999,28.4348048504443,-0.0014678054,24.569161042065776,100,16.634450435638428,16.895414113998413,0.01696467399597168,32.04057444938106,200000,-1.3088918e-05,19,0.24299836158752441,332.47959184646606,1.3944465419249823
14.01846432685852,22.717599218534833,2.545200824737549,28.7075351072457,-0.002759634,25.82623931338658,100,16.817958116531372,17.085958242416382,0.019000768661499023,31.466996137684582,210000,-1.2994194e-05,20,0.24899935722351074,349.57855200767517,1.226903076357672
