LossBefore,Time,train-StdReturn,Time-Sampling,Itr,Time-Optimization,train-MinReturn,train-EnvExecTime,train-AverageDiscountedReturn,n_timesteps,Time-SampleProc,ItrTime,train-PolicyExecTime,train-MaxReturn,train-NumTrajs,LossAfter,train-AverageReturn
0.004647876,17.464182376861572,37.343424918360796,17.103803634643555,0,0.301999568939209,-172.6793174136194,2.5616328716278076,-27.82838422149342,10000,0.058379173278808594,17.464182376861572,14.28208303451538,26.701971056717078,100,-0.5191884,-43.05396407182206
0.011421973,34.13317799568176,35.28930582588505,16.361005306243896,1,0.24300122261047363,-145.13781217690635,2.6019906997680664,-21.99608465990926,20000,0.02698969841003418,16.631996393203735,13.504894495010376,87.39313694134383,100,-0.3249407,-34.21956897337263
0.016441772,50.97517251968384,29.93240236295657,16.56502604484558,2,0.24199795722961426,-93.74396608715249,2.577103853225708,-13.30115780738774,30000,0.020969390869140625,16.827993392944336,13.717021942138672,56.027510971850134,100,-0.1476072,-20.88824004946607
0.04731704,68.64317297935486,32.550893816792914,17.320995569229126,3,0.3030052185058594,-120.36471258401467,2.7985329627990723,-16.65103747245938,40000,0.026999235153198242,17.654000282287598,14.267456531524658,73.65771793273512,100,-0.09093747,-25.63177831677064
-0.010173462,88.24396657943726,37.761300488189626,19.283801794052124,4,0.27196764945983887,-139.0808578896211,3.146245002746582,-16.811342511406423,50000,0.026993989944458008,19.583796501159668,15.826935052871704,58.994557589909725,100,-0.16696106,-24.79679623196078
-0.020367505,105.93483829498291,43.61767378701696,17.39690327644348,5,0.2560005187988281,-171.59318766533892,2.7633771896362305,-18.300272676362557,60000,0.023967266082763672,17.676871061325073,14.275018215179443,71.67093288115753,100,-0.28116813,-26.702992499157467
-0.0037470215,122.87783312797546,36.957714654832834,16.665996313095093,6,0.2370009422302246,-112.9116513899231,2.598215341567993,-10.717704991727478,70000,0.025995492935180664,16.929993391036987,13.808533906936646,71.18017341637683,100,-0.1598082,-15.589806575308645
-0.014792017,139.7008273601532,38.320672173514,16.540996551513672,7,0.2389974594116211,-126.2109281182944,2.566539764404297,-4.638140805997508,80000,0.028999805450439453,16.809993982315063,13.707499265670776,99.13618780118674,100,-0.23193872,-3.627477835457183
-0.012934941,157.1718225479126,40.85519285619149,17.181028842926025,8,0.2519972324371338,-98.35162869508818,2.6529979705810547,-5.510083022494256,90000,0.02396845817565918,17.457995891571045,14.25535273551941,108.66408376071116,100,-0.21270981,-2.0134281496750304
-0.027363177,175.18481731414795,49.36836333650294,17.730998277664185,9,0.24399995803833008,-146.8061189360695,2.700209140777588,-10.290883439566336,100000,0.020965576171875,17.998994827270508,14.740756273269653,93.09280071857987,100,-0.23163101,-11.247206606609806
-0.013788135,192.8738133907318,48.43586474566061,17.404998302459717,10,0.24000072479248047,-128.70699916561492,2.5701286792755127,-16.344289247161893,110000,0.029996871948242188,17.67499589920044,14.558047771453857,104.58172441361592,100,-0.25405273,-22.620637183569006
-0.0047133057,210.02777361869812,40.31426437106282,16.867963552474976,11,0.24499988555908203,-147.05688642711533,2.6275010108947754,-17.992280393225766,120000,0.02799677848815918,17.140960216522217,13.93509817123413,43.4022126293745,100,-0.18940854,-26.370834615455106
-0.017299872,226.95676851272583,40.63309277061034,16.65599799156189,12,0.23399996757507324,-131.50820304564365,2.565422296524048,-27.0335832051431,130000,0.021997451782226562,16.91499423980713,13.826661586761475,76.19409966573139,100,-0.21634866,-41.131656245814014
0.03164736,244.7522838115692,43.08574794804137,17.509517192840576,13,0.24399828910827637,-191.62005162104938,2.7311153411865234,-22.571570773256067,140000,0.02799820899963379,17.782513856887817,14.528928756713867,34.767657998784564,100,-0.11660437,-33.36046558589975
0.0073908204,262.6435008049011,38.24822965585957,17.61721968650818,14,0.23599910736083984,-145.04823599038448,2.7573959827423096,-22.569747712267468,150000,0.022998571395874023,17.876217365264893,14.58158564567566,36.99848075948796,100,-0.07746472,-33.768437598310605
0.021955078,280.3887951374054,35.395354849137384,17.373293161392212,15,0.32700181007385254,-132.23116357030557,2.7003214359283447,-19.184932662725174,160000,0.030999422073364258,17.732295513153076,14.393441438674927,36.84048455217245,100,-0.18214433,-28.785646850105817
-0.005338037,298.75096321105957,37.371069201181854,18.038167715072632,16,0.2810032367706299,-133.73212613953527,2.8160839080810547,-22.59444730013849,170000,0.02100062370300293,18.34117078781128,14.881414890289307,40.99249903405703,100,-0.3754704,-34.210976973460475
-0.009722705,316.44695496559143,41.41449523814788,17.423027276992798,17,0.23600077629089355,-177.55393436466744,2.7969982624053955,-21.472476728098233,180000,0.020966768264770508,17.680994272232056,14.343504428863525,59.6282926013019,100,-0.67282856,-34.141743970722985
0.0056646974,335.05894923210144,41.57657699706621,18.286993503570557,18,0.28096866607666016,-148.91591899785945,2.8825132846832275,-20.549566403899192,190000,0.031032323837280273,18.598994493484497,15.110414266586304,58.53460466546724,100,-0.7717208,-32.16996076575412
-0.020377172,352.92894291877747,36.36006177653416,17.56299328804016,19,0.2629985809326172,-102.11590288652842,2.801661729812622,-15.180534945406585,200000,0.02599930763244629,17.851991176605225,14.493300199508667,103.54934827009754,100,-0.7217861,-22.027285900099493
-0.009078466,370.9587633609772,38.98770850050681,17.749821662902832,20,0.23996734619140625,-108.4829075206745,2.7373013496398926,-8.746343169746462,210000,0.0260312557220459,18.015820264816284,14.745409965515137,84.8145809569154,100,-0.90369445,-9.161150415093804
