train-MinReturn,LossAfter,n_timesteps,Itr,Time-Optimization,Time,Time-SampleProc,LossBefore,train-EnvExecTime,train-NumTrajs,train-StdReturn,ItrTime,train-MaxReturn,Time-Sampling,train-AverageDiscountedReturn,train-PolicyExecTime,train-AverageReturn
-6.163446981805162,-0.45231104,10000,0,0.31800103187561035,17.2630832195282,0.07099795341491699,-0.007449512,2.466928482055664,100,3.7933110847574913,17.2630832195282,10.920206931515587,16.873084545135498,1.2069056133472913,14.13394021987915,1.4037701041612924
14.594162739437591,-0.16108845,20000,1,0.24300026893615723,34.148672580718994,0.02397298812866211,0.013764502,2.582711696624756,100,3.697502145140694,16.87158989906311,34.134792836440106,16.60461664199829,19.306194671507402,13.77056622505188,24.71142245986519
16.325585237299155,-0.08253091,30000,2,0.23199796676635742,51.01066470146179,0.021997928619384766,0.033238214,2.6331701278686523,100,2.9275613907128912,16.848991632461548,31.884722625748633,16.593993425369263,20.833004681701397,13.71081280708313,26.17826256423403
23.234357005753118,0.008388216,40000,3,0.23599791526794434,68.04717636108398,0.017000913619995117,0.022405738,2.575591802597046,100,1.899161591406888,17.023509979248047,32.09242799324344,16.76951003074646,21.253648941593756,13.93573808670044,27.11186070522457
20.19445156282133,-0.037901238,50000,4,0.23299884796142578,84.88100099563599,0.023975133895874023,0.008914025,2.536017894744873,100,2.1821738866177816,16.820825576782227,31.140329554725174,16.562850952148438,19.856778837326974,13.770179271697998,26.08417445756454
23.93705934759349,-0.07594913,60000,5,0.2310009002685547,102.02191710472107,0.02199721336364746,0.00038848343,2.596435546875,100,1.6096219295103262,17.128916263580322,31.663863880072512,16.874916791915894,21.12986115513687,13.959891557693481,27.11443966979222
21.763594452508027,-0.04106013,70000,6,0.23199892044067383,118.42091012001038,0.022968530654907227,-0.0051926454,2.466823101043701,100,1.6738080722070274,16.38599443435669,30.34251830998765,16.1300265789032,21.66914018023247,13.413994550704956,26.922803846859964
17.971302954392097,-0.0037421815,80000,7,0.23200082778930664,135.02779984474182,0.0169980525970459,0.030526489,2.5342979431152344,100,2.3662426983713476,16.594889163970947,29.959124555191003,16.34489107131958,21.04891272825299,13.54297161102295,26.29035572400523
16.47501972028952,-0.05456228,90000,8,0.22799944877624512,151.9271035194397,0.018975257873535156,0.01658695,2.648378610610962,100,2.5403214284734252,16.886303663253784,30.294517242472395,16.639328956604004,20.961519960889643,13.753644943237305,26.22180598565161
25.51295807744052,-0.013774155,100000,9,0.23600029945373535,168.2150959968567,0.01599740982055664,-0.00883056,2.633553981781006,100,0.9307824237058588,16.2749924659729,29.63542082623982,16.02299475669861,22.76162255973485,13.151097536087036,27.63401249457939
