Iteration,Average Returns
0,-500.0
5,-500.0
10,-500.0
15,-500.0
20,-500.0
25,-500.0
30,-500.0
35,-500.0
40,-500.0
45,-500.0
50,-500.0
55,-500.0
60,-500.0
65,-500.0
70,-500.0
75,-152.0
80,-147.0
85,-145.0
90,-150.0
95,-150.0
100,-146.0
105,-145.0
110,-105.0
115,-106.0
120,-105.0
125,-105.0
130,-105.0
135,-105.0
140,-105.0
145,-105.0
