train-PolicyExecTime,train-MaxReturn,Time-Optimization,Time-Sampling,train-NumTrajs,ItrTime,Time,train-EnvExecTime,Time-SampleProc,train-MinReturn,LossAfter,train-StdReturn,Itr,n_timesteps,train-AverageReturn,LossBefore,train-AverageDiscountedReturn
14.030518054962158,32.26964143562897,0.3925149440765381,16.791476726531982,100,17.19465684890747,17.19465684890747,2.5084691047668457,0.009966135025024414,-140.5473520129489,-0.5439387,37.81396455899978,0,10000,-36.154826893991945,0.013448352,-22.84816314453025
13.308298110961914,67.4092687670033,0.2279653549194336,15.996867895126343,100,16.232835292816162,33.46049404144287,2.461576461791992,0.007001638412475586,-174.24015775321104,-0.31511748,48.09126578369058,1,20000,-32.89854477056555,0.051092323,-21.76261141205629
13.424280166625977,79.76372851676567,0.2259693145751953,16.1548855304718,100,16.389856815338135,49.86335039138794,2.495105504989624,0.00800013542175293,-156.61948729596577,-0.264752,54.780563063135624,2,30000,-32.226199224916094,-0.0043923827,-21.244335221421334
13.84967851638794,73.48618620128927,0.22499966621398926,16.735044717788696,100,16.967044353485107,66.84439301490784,2.625760555267334,0.006999969482421875,-203.57491775169797,-0.25426254,47.546004169045354,3,40000,-36.68180546006977,-0.01480376,-23.633383888509165
13.640865087509155,74.57219390466821,0.2200000286102295,16.60521101951599,100,16.833210468292236,83.696604013443,2.7176051139831543,0.007999420166015625,-163.05986952941478,-0.18551238,46.739200408029866,4,50000,-29.53383389156427,0.025964422,-18.516992494325265
13.802735090255737,93.42934161640933,0.23848891258239746,16.76283049583435,100,17.009309768676758,100.71996903419495,2.648428440093994,0.007990360260009766,-153.22716393315378,-0.1862881,51.21225639346165,5,60000,-28.946919187849332,-0.021506445,-18.643445198577265
14.019989252090454,52.34621399630185,0.22196483612060547,16.878447771072388,100,17.109416484832764,117.8423843383789,2.5964927673339844,0.008002758026123047,-154.36809374998796,-0.18734951,43.853077754813945,6,70000,-25.757370717225044,0.0057060793,-17.13458858437196
14.006237030029297,77.9850103130869,0.21896958351135254,16.903414249420166,100,17.130244255065918,134.98762702941895,2.6168274879455566,0.007860422134399414,-116.81952085584977,-0.12346313,38.26277398125323,7,80000,-9.846404863160316,0.019211963,-6.960166665173788
13.691846132278442,65.35666048780928,0.21796131134033203,16.53160572052002,100,16.759608507156372,151.7602334022522,2.5697226524353027,0.008040428161621094,-97.06776269683289,-0.37779912,35.9019741046367,8,90000,-1.5171057761933104,-0.020741357,-0.4692843456286863
13.656064748764038,66.65178179553462,0.2349693775177002,16.50725245475769,100,16.750229120254517,168.5234603881836,2.5822415351867676,0.008007287979125977,-118.0305912465992,-0.4606058,35.96374387302677,9,100000,-9.468101596877547,0.0071309814,-5.566637922560933
13.65567398071289,77.1964172381703,0.2389993667602539,16.539960622787476,100,16.78696084022522,185.32741808891296,2.624659299850464,0.007908344268798828,-136.11170766698595,-0.31067806,40.30243358667481,10,110000,-17.7595849223109,0.01222771,-10.365889494475471
13.58324146270752,56.87501261471783,0.2279672622680664,16.40606999397278,100,16.64302921295166,201.98444986343384,2.5527713298797607,0.007991790771484375,-156.47155455578275,-0.39103934,44.94349418421057,11,120000,-24.178149573998056,-0.009685156,-15.11921159518604
13.280702352523804,74.36498973149766,0.22096872329711914,16.157747507095337,100,16.386744499206543,218.38419580459595,2.619723081588745,0.008028268814086914,-152.15184952857877,-0.55976546,41.5439654155449,12,130000,-22.768030334785376,-0.009710742,-14.961896407503454
13.892927646636963,39.11812693310911,0.2275218963623047,16.93403935432434,100,17.169560194015503,235.5667543411255,2.776155948638916,0.006998777389526367,-150.96069283761543,-0.56046903,41.975413765097315,13,140000,-32.433626300928154,-0.007210742,-20.163130570623228
13.671994924545288,50.880968638829245,0.22096610069274902,16.62771248817444,100,16.857710361480713,252.43746423721313,2.6943211555480957,0.008031845092773438,-146.50238707352796,-0.7846411,38.43281152551423,14,150000,-43.22255503694692,-0.0016193573,-26.35783231596035
13.47268533706665,7.506308064591394,0.2345137596130371,16.361847162246704,100,16.604361057281494,269.05488753318787,2.623077392578125,0.006998538970947266,-174.86197010555125,-0.70822597,38.43754797229912,15,160000,-59.29821418413073,-0.0031968993,-36.98188235990942
13.421747207641602,15.912899076285804,0.23000121116638184,16.29784870147705,100,16.534847259521484,285.6057367324829,2.5653607845306396,0.006997346878051758,-154.26751372486612,-0.34570345,39.58484103028315,16,170000,-63.20514736218084,0.005085817,-39.138002923523075
14.17327356338501,39.497647372282785,0.22793960571289062,17.20305109024048,100,17.438990592956543,303.0577268600464,2.7352771759033203,0.007000446319580078,-153.60617306482834,-0.24776632,41.28791631595982,17,180000,-63.769136293964976,-0.009687842,-39.79409209770386
13.698280572891235,49.55933735474295,0.26000118255615234,16.543272018432617,100,16.812251091003418,319.88303804397583,2.582721471786499,0.007976055145263672,-150.65650776404854,-0.36938587,43.13922374986994,18,190000,-56.33998324803288,-0.009142163,-36.14379279309442
13.333067417144775,10.066920320356727,0.21996736526489258,16.12552547454834,100,16.353490591049194,336.250524520874,2.544982433319092,0.007997751235961914,-212.52546783720243,-0.2763099,41.194184509744744,19,200000,-66.24300346825608,-0.009748462,-40.80353707869087
13.338630437850952,10.5797694997219,0.22099518775939941,16.157165050506592,100,16.38503074645996,352.6485552787781,2.5688509941101074,0.0068705081939697266,-160.83847108020123,-0.35385963,32.805666304344626,20,210000,-75.62446806571973,-0.0016218994,-46.721942271702034
