Time,train-AverageDiscountedReturn,train-EnvExecTime,LossAfter,train-NumTrajs,train-StdReturn,n_timesteps,train-AverageReturn,Itr,train-PolicyExecTime,Time-Sampling,train-MaxReturn,ItrTime,Time-Optimization,train-MinReturn,LossBefore,Time-SampleProc
18.96342635154724,-26.444716150401963,2.8770060539245605,-0.7161667,100,36.5189846866076,10000,-41.87829195259796,0,15.471210241317749,18.646426677703857,54.503738644564834,18.96342635154724,0.3079972267150879,-135.59176308482296,-0.005171997,0.00800180435180664
40.76042318344116,-23.73768391390924,3.5429584980010986,-0.30006176,100,36.36397817997771,20000,-36.06784623946571,1,17.473560333251953,21.381956100463867,45.84436644590304,21.7389976978302,0.34204530715942383,-144.77427742600048,-0.011003589,0.013997316360473633
61.713874101638794,-24.036424490079643,3.320580244064331,-0.24973728,100,37.9870215719075,30000,-36.63193775203573,2,17.000892400741577,20.69249391555786,49.16679041272492,20.929450750350952,0.22997713088989258,-142.8789830416103,-0.026983667,0.006979703903198242
80.27856779098511,-22.339290845744536,2.957437753677368,-0.20600171,100,37.666891320949425,40000,-34.67159997185124,3,15.004003286361694,18.271183013916016,36.7371770838724,18.55169415473938,0.26751065254211426,-152.9328035687381,-0.005369067,0.01300048828125
97.92286920547485,-31.279453790300558,2.731538772583008,-0.4079033,100,33.98488470458211,50000,-49.374883162926515,4,14.390788555145264,17.400336503982544,8.1154523074614,17.628302335739136,0.21996116638183594,-159.60405530741667,0.010505908,0.00800466537475586
114.89527988433838,-99.43283988108331,2.439366102218628,-0.14203998,100,34.786354152032466,60000,-169.03186274300018,5,13.950957536697388,16.7153742313385,1.2592423135639352,16.959410905838013,0.2339644432067871,-220.43384000229818,0.008564978,0.008073091506958008
131.1911337375641,-91.55796790917886,2.514024257659912,-0.070968755,100,37.65198565419714,70000,-155.59938285376833,6,13.263048887252808,16.048855543136597,-32.33100888228814,16.28185272216797,0.22299933433532715,-209.0604905931348,-0.00037860413,0.00899815559387207
147.60037660598755,-98.95445802104912,2.5366435050964355,-0.094742216,100,28.22298028519626,80000,-167.1503220110859,7,13.35017991065979,16.160233736038208,-54.56713422411051,16.39624261856079,0.2280101776123047,-210.28467886027065,0.026842322,0.00799870491027832
164.06950092315674,-113.91259611628121,2.517194986343384,-0.05923132,100,33.81367165745501,90000,-192.88269680830805,8,13.4444580078125,16.218613147735596,-0.013691397218150048,16.456124782562256,0.22851061820983887,-231.8414284890163,-0.0046557738,0.008001565933227539
180.89159274101257,-118.00087192989277,2.494521379470825,-0.035312437,100,31.826787900769247,100000,-199.50502096522945,9,13.79675555229187,16.568037509918213,1.2191863698676277,16.809033632278442,0.23296594619750977,-239.5575771374729,-0.009147754,0.008030176162719727
198.98436999320984,-119.29130959928825,2.60001540184021,-0.029247498,100,27.009315492977866,110000,-200.45733999121637,10,14.959922075271606,17.841777324676514,-15.0198404896792,18.0797758102417,0.2299952507019043,-233.55035532057772,0.024859728,0.00800323486328125
216.42014575004578,-120.34406461266165,2.711920976638794,-0.07424636,100,19.832570252894428,120000,-202.69957147955688,11,14.212064027786255,17.189267873764038,-116.06849203186403,17.42277693748474,0.22450828552246094,-234.4252300862835,0.007972204,0.00700068473815918
233.18044304847717,-108.02395150037927,2.6819052696228027,-0.17974451,100,28.572708070667566,130000,-181.0491363458632,12,13.57326340675354,16.51330041885376,-22.66351085245666,16.747298002243042,0.225999116897583,-227.1757706955242,-0.016017437,0.0069997310638427734
250.09459567070007,-70.13460295797154,2.538137674331665,-7.2295985,100,41.1274913496075,140000,-112.57887442234401,13,13.871319770812988,16.67514443397522,-23.56460643342007,16.90015196800232,0.2170085906982422,-226.57501622000464,-0.03104364,0.006982326507568359
266.42148542404175,-36.97923926826642,2.5228776931762695,-1.8890373,100,38.675683090771784,150000,-57.243524546541536,14,13.308072805404663,16.08784556388855,26.958705754799762,16.31389093399048,0.2180469036102295,-153.73164498121898,0.005795984,0.007998466491699219
282.8269166946411,-32.85238759403248,2.500997304916382,-1.3029274,100,38.69093351367301,160000,-54.124485745408066,15,13.411361455917358,16.15954613685608,58.093858401071046,16.39251136779785,0.22496366500854492,-158.17894225388042,-0.009788617,0.008001565933227539
298.9911439418793,-31.339392106318677,2.4726741313934326,-0.13091093,100,47.765452464093784,170000,-51.93092747646455,16,13.138379096984863,15.913261413574219,77.5575055130298,16.15122652053833,0.21796917915344238,-211.48557571284724,0.005312378,0.018998146057128906
315.0534429550171,-38.73150813691426,2.5145444869995117,-0.08219734,100,47.257493730123706,180000,-62.051473261753316,17,13.05716323852539,15.824818849563599,64.08761695192968,16.049298524856567,0.21748042106628418,-209.40907559189498,0.026908716,0.00699925422668457
331.1369843482971,-28.193067791062166,2.445452928543091,-0.15320528,100,45.72689151174528,190000,-43.27967414327646,18,13.144782304763794,15.843582391738892,76.7401145545024,16.070541381835938,0.21996665000915527,-183.05218772553732,-0.026100757,0.006992340087890625
347.2779266834259,-38.14168551745051,2.4685041904449463,-0.102455154,100,48.63865761401128,200000,-60.956055747501104,19,13.177558422088623,15.894381999969482,61.503105026465285,16.123943567276,0.21952533721923828,-186.63290641846368,0.022315796,0.008004188537597656
363.37688279151917,-32.67898905829527,2.508549213409424,-0.2509237,100,61.53272829521472,210000,-50.45758762367805,20,13.108209133148193,15.856408834457397,126.39678455324066,16.085957765579224,0.21955037117004395,-242.55065210136823,-0.00021882325,0.008997917175292969
