Average Returns,Iteration
6.0,0
16.0,5
16.0,10
10.0,15
24.0,20
17.0,25
23.0,30
25.0,35
16.0,40
17.0,45
21.0,50
20.0,55
9.0,60
20.0,65
28.0,70
18.0,75
13.0,80
51.0,85
22.0,90
20.0,95
21.0,100
18.0,105
10.0,110
26.0,115
27.0,120
42.0,125
11.0,130
24.0,135
21.0,140
42.0,145
