Average Returns,Iteration
6.0,0
87.0,5
84.0,10
83.0,15
98.0,20
79.0,25
89.0,30
81.0,35
23.0,40
115.0,45
21.0,50
27.0,55
66.0,60
28.0,65
77.0,70
133.0,75
103.0,80
86.0,85
47.0,90
55.0,95
69.0,100
100.0,105
15.0,110
77.0,115
92.0,120
123.0,125
77.0,130
41.0,135
74.0,140
128.0,145
