LossBefore,ItrTime,train-AverageReturn,Time-Sampling,LossAfter,n_timesteps,train-PolicyExecTime,Time-Optimization,Time,Itr,train-StdReturn,train-MinReturn,train-AverageDiscountedReturn,train-EnvExecTime,train-MaxReturn,Time-SampleProc,train-NumTrajs
-0.0024498536,16.69298267364502,1.3615772318563952,16.324984788894653,-0.8377889,10000,13.608090877532959,0.2839958667755127,16.69298267364502,0,6.120446073813613,-10.3303327946334,0.5746788399492228,2.4451498985290527,16.349899565864806,0.0820009708404541,100
0.02133041,17.55615782737732,25.59119306912406,17.28416109085083,-0.13386051,20000,14.31482458114624,0.24899697303771973,34.264140605926514,1,2.8826348496937695,15.16182822691382,20.396381194815813,2.7000560760498047,32.132585606202866,0.021999835968017578,100
0.02886256,16.56586217880249,26.251036368058617,16.290863513946533,-0.056674413,30000,13.53579831123352,0.25096821784973145,50.84300374984741,2,1.911547953834602,19.480440039568435,21.14160506481939,2.483107566833496,30.004784198634134,0.023030519485473633,100
0.016061297,16.79798698425293,26.961205807938097,16.526020050048828,0.017455071,40000,13.737611055374146,0.24799823760986328,67.65399026870728,3,1.2565008874996784,23.952334899272042,21.790306447877473,2.539431095123291,29.825815867960003,0.022966384887695312,100
-0.0037020675,16.39898705482483,26.846081568933798,16.13198757171631,-0.019446012,50000,13.449395656585693,0.24300169944763184,84.06597805023193,4,1.2390057530757022,23.54185657969325,21.308965209893884,2.430497884750366,29.487711818509496,0.02299809455871582,100
5.9713744e-05,16.68234348297119,26.99288181079182,16.41737651824951,-0.085264854,60000,13.55927324295044,0.24799823760986328,100.76332187652588,5,1.0351566452229133,24.432608436626307,21.748914333796197,2.547592878341675,29.37589646640468,0.016968727111816406,100
0.011341924,16.48231053352356,27.435527012065645,16.21234369277954,-0.05148804,70000,13.367118835449219,0.24500107765197754,117.25863552093506,6,1.0267308833670679,24.94546337057796,22.49992345997674,2.570910692214966,30.2329083322322,0.023967504501342773,100
-0.00015704957,16.885810136795044,27.415063425960806,16.616813898086548,-0.031864025,80000,13.818415403366089,0.24400067329406738,134.15744471549988,7,1.5472530625872285,23.553339758260787,22.117607429172182,2.561746597290039,31.509019990295908,0.023996353149414062,100
0.0066627013,16.904865741729736,27.27429004995352,16.635868787765503,-0.02654123,90000,13.791463375091553,0.25099992752075195,151.07531237602234,8,1.5865629939703023,22.118531345062017,21.59451307465261,2.5900967121124268,30.167837839992792,0.015996694564819336,100
-0.015228735,16.88998770713806,27.86014997776657,16.62298893928528,-0.09467018,100000,13.803425312042236,0.24599790573120117,167.97729969024658,9,1.9091865306594047,20.671073905660478,22.01615648719676,2.556647300720215,31.831070908592103,0.01900005340576172,100
-0.013243994,16.58191728591919,21.281242109967238,16.29291796684265,-0.17181502,110000,13.561249732971191,0.259998083114624,184.5712161064148,10,8.35983452778935,-12.842158681172153,15.199623087586428,2.480825901031494,31.391277959657142,0.028001070022583008,100
-0.008622023,16.66295623779297,17.894548171340702,16.39598822593689,-0.28637755,120000,13.598530054092407,0.24400115013122559,201.24717330932617,11,11.181850745827564,-4.954756073910442,12.559634521657571,2.5225841999053955,30.88751568905425,0.02196669578552246,100
-0.0082735475,16.244986057281494,19.02467299833396,15.972988367080688,-0.7411668,130000,13.223253965377808,0.253997802734375,217.50515937805176,12,8.600609187894875,0.8918214449026057,13.43217464952274,2.521785020828247,35.63840187470499,0.017999887466430664,100
-0.004640259,16.947863817214966,16.42319172480455,16.67386531829834,-0.21146621,140000,13.961878538131714,0.2499990463256836,234.46602272987366,13,3.5596848054916297,7.571523763041059,12.500719684421387,2.4450690746307373,25.291735298797526,0.023999452590942383,100
-0.009819067,16.261987447738647,14.11621718572247,15.97801423072815,-0.17285635,150000,13.404600381851196,0.26200079917907715,250.74301028251648,14,4.2396871275138,1.5090069005958666,9.822106880984318,2.3411333560943604,22.091699739924067,0.02097344398498535,100
0.008210547,16.246987342834473,16.548299834403664,15.969019651412964,-0.19639048,160000,13.279608964920044,0.25699734687805176,267.0029969215393,15,3.2201536002354896,8.283511974034019,9.527856258718497,2.4054954051971436,25.135747175624573,0.02097034454345703,100
0.002927246,16.341987133026123,16.319166711101268,16.066986799240112,-0.12833662,170000,13.462239742279053,0.25699925422668457,283.3579840660095,16,3.3474744417820257,7.740456708772628,9.200993568618237,2.2977569103240967,23.3473312949289,0.01599884033203125,100
-0.010022797,16.930999040603638,14.634416064005404,16.652000188827515,-0.8651106,180000,13.965406656265259,0.25499773025512695,300.3019847869873,17,3.5838518863648168,2.599952887107054,8.692876051787012,2.412710428237915,22.665655324336647,0.023000478744506836,100
-0.012976391,16.312986373901367,16.568796107603152,16.044990062713623,0.1690876,190000,13.481486797332764,0.24699950218200684,316.62797260284424,18,6.340868615364072,1.057528911439717,10.56367466153022,2.3228225708007812,31.426656882495905,0.020996809005737305,100
0.0050693736,16.641051292419434,17.378516704706698,16.384052991867065,-0.090486206,200000,13.732596397399902,0.24000024795532227,333.28202295303345,19,10.994273238554612,-3.8099231331821315,12.337981819078639,2.4032320976257324,36.56674506677404,0.01599884033203125,100
0.002713689,16.367482662200928,19.54052117017106,16.10651445388794,-0.344471,210000,13.538039445877075,0.24199986457824707,349.66250586509705,20,11.31537461901827,-2.448765234472068,12.81097754087554,2.323859214782715,38.926556320043915,0.01896834373474121,100
0.0017720093,16.140987396240234,19.727345519370648,15.879987955093384,-0.301125,220000,13.144907236099243,0.24096894264221191,365.8164930343628,21,7.302204141883784,-3.5923729228707293,12.531464759462073,2.4762134552001953,31.37244552844902,0.01903057098388672,100
