Time-SampleProc,Time-Sampling,train-StdReturn,n_timesteps,train-EnvExecTime,train-AverageReturn,train-MinReturn,Time-Optimization,train-NumTrajs,train-MaxReturn,LossBefore,train-PolicyExecTime,Itr,Time,ItrTime,train-AverageDiscountedReturn,LossAfter
0.08800101280212402,18.170836925506592,63.820160017698704,10000,3.035565137863159,16.408836736079603,-175.33884654648423,0.30899977684020996,100,132.82718729516424,-0.00045064697,14.868193864822388,0,18.567837715148926,18.567837715148926,19.77626425562353,-0.8382422
0.025967121124267578,17.29500961303711,10.666375334880884,20000,3.0179340839385986,107.11817056530813,91.93124898300803,0.23900055885314941,100,177.73680460226132,0.018474804,14.00207233428955,1,36.18981313705444,17.559977293014526,72.1312037771901,-0.0988769
0.02296733856201172,17.26000738143921,16.528592570228565,30000,2.8497884273529053,116.89742109952935,74.08267639269292,0.24399852752685547,100,158.58163782660458,0.0020812377,14.142621278762817,2,54.01139187812805,17.526973247528076,72.04516581799686,-0.09652486
0.02500128746032715,17.181978702545166,9.705059997993239,40000,2.9385428428649902,137.4873140881704,114.85356969142238,0.2500007152557373,100,163.31522605592545,0.012940247,13.975529193878174,3,71.48437070846558,17.45897889137268,83.66368585430413,-0.18655178
0.025960922241210938,17.765305519104004,4.211086247368742,50000,2.995087146759033,174.01146235222097,163.24001978503142,0.2519989013671875,100,183.06227110529196,-0.0069557982,14.507023096084595,4,89.54263615608215,18.044264793395996,103.34480194190053,-0.19265139
0.024001121520996094,17.0909743309021,1.6086542908196633,60000,2.9220645427703857,184.19757186523634,179.8624036097248,0.24199891090393066,100,188.71630353658787,-0.0029714599,13.909054279327393,5,106.95761346817017,17.356974363327026,108.45102023928563,-0.098051004
0.019032955169677734,18.290029525756836,1.6346420904394545,70000,3.087912082672119,188.68025996038034,183.46639632842192,0.25096750259399414,100,192.37746185884512,0.012628784,14.844865560531616,6,125.53161382675171,18.56100034713745,110.67956879841955,-0.122783594
0.02499699592590332,17.370977640151978,1.7288557615935087,80000,2.9357903003692627,198.08898713042538,193.44773591909248,0.24399995803833008,100,201.8540518837954,-0.0038207765,14.151196956634521,7,143.1855878829956,17.63997459411621,115.45732322005011,-0.15341738
0.020965576171875,18.138189554214478,3.574850895660425,90000,3.100177526473999,200.53359381455866,189.1766759386319,0.25,100,208.84677009844197,-0.015386841,14.759965181350708,8,161.60874438285828,18.409155130386353,117.5012012442852,-0.02442666
0.018031597137451172,17.12197732925415,10.956561858463964,100000,2.922919988632202,191.53516291291857,159.75003358299438,0.24696993827819824,100,211.8364423249626,-0.015010485,13.949362993240356,9,179.00972318649292,17.38797879219055,113.80684265352772,-0.08191167
0.024961233139038086,18.17165780067444,5.346839460452347,110000,2.972594738006592,207.95143293038672,193.303645188291,0.24599981307983398,100,220.45009729068485,-0.012701611,14.909621238708496,10,197.46634125709534,18.4436194896698,120.99992792861316,-0.124798
0.01896357536315918,17.88583016395569,7.229195412262713,120000,2.9904017448425293,169.8500016249249,153.42601169241894,0.2429978847503662,100,190.47672120202535,0.010156043,14.619823217391968,11,215.62813329696655,18.148791790008545,105.66635026386948,-0.041646007
0.01896977424621582,17.660008907318115,7.700956723687212,130000,2.9825010299682617,201.52427014395587,178.7371448174427,0.2499983310699463,100,218.9654983243426,0.00470708,14.43249797821045,12,233.57011127471924,17.928977012634277,118.09306771364925,-0.21176812
0.021970510482788086,17.933888912200928,11.489155482940827,140000,2.946039915084839,202.55711156515815,162.6310738185456,0.2409992218017578,100,221.56834877485124,-0.008834741,14.731147289276123,13,251.78097105026245,18.19785976409912,118.2656430831041,0.004540039
0.03699755668640137,17.821788787841797,7.08632451414943,150000,3.0234992504119873,173.33876161969158,148.14701297863473,0.24200081825256348,100,190.65944845731258,0.016861988,14.525877237319946,14,269.8947560787201,18.10078716278076,104.70068312011497,-0.17516236
0.018999338150024414,17.97415804862976,3.534930165855567,160000,2.9887213706970215,188.30691409676015,179.99598447096608,0.24399900436401367,100,196.26939147403084,0.0014554504,14.727259159088135,15,288.1459107398987,18.238155841827393,111.02337177981582,-0.16166542
0.01999497413635254,17.784983158111572,1.3823369091845368,170000,3.067037343978882,207.62532775194367,204.07131288254476,0.24100732803344727,100,211.4546271610272,-0.003063623,14.461549997329712,16,306.2078969478607,18.04798460006714,119.87998659649966,-0.023276709
0.0279996395111084,17.914979219436646,1.4396222598246395,180000,3.109092950820923,200.97523107077265,197.6238438973943,0.2629978656768799,100,204.96876782506308,-0.0021769868,14.517732381820679,17,324.42786741256714,18.205976724624634,117.29873846350306,-0.09530368
0.018973588943481445,17.36500382423401,1.9060452514544282,190000,2.9845101833343506,208.00251325362962,203.6420274917604,0.24400043487548828,100,211.4272670044498,-0.007894812,14.102258920669556,18,342.0698471069336,17.62797784805298,120.52642608818255,-0.1505096
0.021997928619384766,17.129979133605957,4.361522485062896,200000,2.9911463260650635,213.31234981306477,202.2353731896825,0.2630019187927246,100,223.3538984415337,-0.002712915,13.882495641708374,19,359.4988281726837,17.415982007980347,122.99507431357257,-0.40025795
0.020000934600830078,17.494978666305542,12.012524839493613,210000,2.9397735595703125,174.3240624274638,155.77966257633372,0.23999977111816406,100,217.75824312108512,0.0029767335,14.302759170532227,20,377.26880645751953,17.755980014801025,102.36783012175432,-1.1373527
0.02000284194946289,18.05575680732727,22.852235121383366,220000,2.9989500045776367,138.63838975970907,94.14772835536714,0.25100064277648926,100,185.404138747691,0.0072218264,14.793217420578003,21,395.6095652580261,18.32776117324829,84.9616994573146,-1.2180518
