train-AverageDiscountedReturn,train-EnvExecTime,LossBefore,Time-Optimization,Time-SampleProc,Time-Sampling,Time,train-StdReturn,Itr,n_timesteps,train-MinReturn,train-MaxReturn,ItrTime,train-PolicyExecTime,LossAfter,train-AverageReturn,train-NumTrajs
11.539093295843845,2.487034797668457,-6.465949e-06,0.2669994831085205,0.023996591567993164,16.49769377708435,1422.1460766792297,25.24526618452859,83,840000,-49.33528567559158,80.36442819157271,16.788689851760864,13.732043743133545,-0.019515943,19.918773782685115,100
12.643121376570459,2.571079730987549,-6.3438715e-06,0.2499997615814209,0.023998022079467773,16.614398956298828,1439.04847407341,22.129591578676937,84,850000,-35.758146647834636,79.45968997851685,16.88939642906189,13.78997278213501,-0.019270658,21.324762973722773,100
13.481934745532023,2.4254086017608643,-6.316405e-06,0.2559998035430908,0.02696537971496582,16.497994899749756,1455.8434345722198,25.62500896161545,85,860000,-81.90474689886571,83.57035497257961,16.780960083007812,13.802558660507202,-0.018626265,21.00183401903637,100
15.781567529941453,2.4627745151519775,-6.2157096e-06,0.2540006637573242,0.028995275497436523,16.592183113098145,1472.7326140403748,23.18289632912874,86,870000,-34.27562945201965,84.93505937257626,16.876179218292236,13.849343538284302,-0.016381683,26.490212536302735,100
12.202123288865788,2.4835147857666016,-6.154752e-06,0.25500059127807617,0.026967525482177734,16.38299250602722,1489.4115762710571,22.866305337648868,87,880000,-52.99699432491217,83.57406152770756,16.665961027145386,13.645109415054321,-0.016080786,20.636167676606014,100
13.593251934113887,2.5680840015411377,-6.070975e-06,0.25300097465515137,0.02599811553955078,16.42696189880371,1506.130538702011,25.60865159474566,88,890000,-37.36153591955292,76.6508795682086,16.705960988998413,13.600858211517334,-0.015108987,21.96663339526952,100
15.221578062103019,2.525120735168457,-5.9694676e-06,0.2540018558502197,0.019998788833618164,16.346964359283447,1522.7665004730225,22.713726698791646,89,900000,-20.954992110910307,79.02582860436125,16.622963905334473,13.55567216873169,-0.013403275,24.217594623519886,100
13.960272077627897,2.502028226852417,-5.8606706e-06,0.25299978256225586,0.021969079971313477,16.47599220275879,1539.5364615917206,24.99788663626118,90,910000,-33.896662111599376,84.43652650360363,16.75096106529236,13.715640783309937,-0.016130663,22.93757372365179,100
17.27626445974542,2.429142475128174,-5.721255e-06,0.24900126457214355,0.020996570587158203,16.473085641860962,1556.29354429245,25.621998286276416,91,920000,-52.24519587262082,94.46956370341324,16.74408507347107,13.776223182678223,-0.015370693,29.79588866111071,100
16.399124985958437,2.488182306289673,-5.59441e-06,0.24796485900878906,0.02800154685974121,16.452993631362915,1573.0365052223206,23.036388527169613,92,930000,-19.901098763599627,73.85365505897083,16.728960037231445,13.707221269607544,-0.015482511,26.38412066529219,100
17.56283297595404,2.5386807918548584,-5.5299734e-06,0.2599983215332031,0.02296900749206543,16.447994232177734,1589.7814679145813,26.233348597338868,93,940000,-34.800970671712044,124.24700248935001,16.731961488723755,13.62410044670105,-0.018080603,29.625864658396576,100
13.397329123027,2.469113826751709,-5.471111e-06,0.2559967041015625,0.021976709365844727,16.426366806030273,1606.4998075962067,27.189173210399655,94,950000,-53.91116832544001,95.95196274265943,16.70434021949768,13.708799600601196,-0.016737312,22.105576391554212,100
17.650571924312278,2.5882973670959473,-5.4354655e-06,0.25,0.02599787712097168,16.451963186264038,1623.2417685985565,24.127024311073402,95,960000,-41.87440778566925,86.77851988708242,16.72896099090576,13.584675312042236,-0.016695239,29.097323260219085,100
16.644938062856205,2.4641566276550293,-5.332222e-06,0.2539987564086914,0.033000946044921875,16.76596236228943,1640.309731721878,25.770252218070063,96,970000,-27.49229950522198,93.56667393247326,17.054961919784546,14.026227474212646,-0.015343223,27.4143538108979,100
18.510208379662757,2.6634342670440674,-5.277622e-06,0.25099921226501465,0.022000789642333984,16.629961729049683,1657.225692987442,23.800098561400052,97,980000,-35.64399085496734,98.31107665278637,16.90296173095703,13.711566686630249,-0.01828757,29.82825555039218,100
15.157787194414265,2.642446756362915,-5.147036e-06,0.25699853897094727,0.028000831604003906,16.66596221923828,1674.1906538009644,23.99021567437336,98,990000,-28.701112455327912,99.45486948787494,16.951961755752563,13.749572515487671,-0.01655019,24.45725799115854,100
21.879473673771145,2.5867538452148438,-4.9717573e-06,0.24799895286560059,0.021001338958740234,16.484962224960327,1690.9576156139374,25.78905920915265,99,1000000,-48.27799035525831,125.69311765594125,16.753962516784668,13.646217584609985,-0.014630037,35.400230429188525,100
20.405798645727756,2.6167280673980713,-4.794881e-06,0.25800085067749023,0.022999286651611328,16.492961883544922,1707.7445769309998,25.60028010835147,100,1010000,-42.44507640373898,114.00475275202433,16.773962020874023,13.608281135559082,-0.015531343,33.08770714621781,100
20.322098857954096,2.620161771774292,-4.646578e-06,0.257967472076416,0.027029991149902344,16.4945330619812,1724.5371069908142,24.88584308162004,101,1020000,-30.842674525916163,92.34465526715833,16.77953052520752,13.636193752288818,-0.017496135,33.66964444946998,100
23.72788728004559,2.5365025997161865,-4.4382027e-06,0.24399924278259277,0.027998685836791992,16.423964023590088,1741.2460691928864,25.8914404672502,102,1030000,-41.55098375835126,99.44769312267826,16.695961952209473,13.607944965362549,-0.016252626,38.889196602391316,100
20.736272736862755,2.580721139907837,-4.238106e-06,0.24700069427490234,0.01996898651123047,16.429994344711304,1757.9580323696136,24.887167941113248,103,1040000,-53.6538145647687,88.85739485859887,16.698964595794678,13.529031038284302,-0.015784703,33.4070700498311,100
23.66435956109883,2.540642738342285,-4.0778937e-06,0.254000186920166,0.02696084976196289,16.590705156326294,1774.842698097229,26.532714710226042,104,1050000,-28.8913718721386,93.12971828449177,16.871666193008423,13.795494318008423,-0.011813748,39.717020792235736,100
