train-NumTrajs,LossAfter,train-AverageReturn,Time-SampleProc,Time,Time-Sampling,Itr,ItrTime,train-StdReturn,train-PolicyExecTime,n_timesteps,LossBefore,train-AverageDiscountedReturn,train-MaxReturn,train-MinReturn,Time-Optimization,train-EnvExecTime
100,0.16332994,17.67333784699943,0.09298849105834961,17.834940910339355,17.440951347351074,0,17.834940910339355,63.645440760600756,14.26291298866272,10000,-9.155274e-09,20.256726361544924,127.13720901789428,-167.54463593325423,0.30100107192993164,2.9178333282470703
100,0.03719924,-86.41874305332185,0.02500009536743164,36.19100832939148,17.991509199142456,1,18.303061485290527,85.80690959778234,14.536828756332397,20000,1.7166137e-09,-40.467407892551044,119.51400487159883,-290.74616244898226,0.2855184078216553,3.1838812828063965
100,-0.0033901245,-46.99726748822644,0.024972915649414062,53.70735764503479,17.203376054763794,2,17.48935031890869,83.04168048763698,13.875864267349243,30000,1.8310548e-08,-18.1953444015832,102.1137368002028,-254.99021050684456,0.2610013484954834,3.0620596408843994
100,-0.0065959245,22.380989264593428,0.02800130844116211,71.25773930549622,17.25938057899475,3,17.537381172180176,81.01345409516922,13.962080955505371,40000,-2.2888185e-09,18.324160926598417,161.16812704896762,-235.3168215540747,0.2499992847442627,3.028696060180664
100,-0.0059347656,68.58438427785977,0.019968748092651367,88.85854506492615,17.31883716583252,4,17.58780598640442,54.20991885221489,14.084988117218018,50000,0.0031598327,42.58459556454363,193.33346702536505,-94.25120440790191,0.2480001449584961,2.954179048538208
100,-0.0037529801,94.39746959656159,0.019190311431884766,106.28802752494812,17.14822220802307,5,17.417482137680054,42.24407182346085,13.949458599090576,60000,-6.1035155e-09,57.526567983498474,167.53456018060987,-44.534877005005775,0.2490696907043457,2.9301064014434814
100,-0.0049538603,115.81303061448533,0.018999099731445312,123.60201573371887,17.029038667678833,6,17.300057649612427,44.98791034060214,13.859852313995361,70000,-3.0517577e-09,69.06218252135099,231.70283650022466,-51.08743841719098,0.25201988220214844,2.8833038806915283
100,-0.005973033,133.0676729345667,0.024835586547851562,140.90814971923828,17.023096323013306,7,17.293134212493896,37.52728627955204,13.886025667190552,80000,3.0517577e-09,78.27518803819345,212.59064160339307,42.71279432007107,0.24406933784484863,2.9066972732543945
100,-0.0047020568,141.62224079985742,0.019967317581176758,158.2491614818573,17.06037735939026,8,17.32708191871643,40.41374624187116,13.95423436164856,90000,-6.1035155e-09,82.44771533739785,235.59137569422285,13.340874634722875,0.24673724174499512,2.8537585735321045
100,-0.004554108,165.33947303293223,0.019997835159301758,175.47956895828247,16.951892137527466,9,17.217408418655396,38.14332339076989,13.818644762039185,100000,6.1035155e-09,93.45063471827898,253.71443068815358,23.857426769847788,0.24551844596862793,2.886890411376953
100,-0.0039014749,163.97782067581443,0.01999807357788086,192.8249249458313,17.062525987625122,10,17.332356691360474,41.32671501069537,13.875619649887085,110000,4.196167e-09,92.95726906880664,241.53192799693903,37.507323207629625,0.24886345863342285,2.9144322872161865
100,-0.0039187674,177.32849030677554,0.019999027252197266,210.13266515731812,17.03068256378174,11,17.294682502746582,35.61634313824856,13.966481447219849,120000,-2.670288e-09,98.72069165515198,243.8605748773045,49.858317169867284,0.24300098419189453,2.812248945236206
100,-0.0037244507,179.46682518092405,0.021997928619384766,227.50221252441406,17.075031518936157,12,17.356547594070435,34.68451689352412,13.9176185131073,130000,-3.0517577e-09,99.62255665496821,243.15996251704658,90.00640649697462,0.2585182189941406,2.8823907375335693
100,0.0035283677,190.30085235121572,0.023996591567993164,244.73450016975403,16.953291177749634,13,17.219287395477295,29.455414697577226,13.859798669815063,140000,3.0517577e-09,104.5536229367312,239.70415593786203,91.80419492711779,0.24100065231323242,2.831120729446411
100,0.0012951691,200.08152705344207,0.018998384475708008,262.2587742805481,17.232277154922485,14,17.511274576187134,34.84858460127135,14.03380799293518,150000,3.0517577e-09,109.21090395053749,250.42937911263306,46.57698577125638,0.25999903678894043,2.9373836517333984
100,-0.0034114867,200.88659000400173,0.019982099533081055,279.7089858055115,17.17024302482605,15,17.43721103668213,32.7712910597187,13.96032428741455,160000,-3.0517577e-09,109.00413389398352,251.35638444600417,116.59641561611761,0.245985746383667,2.9534740447998047
100,-0.0042538727,213.23347235428042,0.019997358322143555,297.0307528972626,17.041770935058594,16,17.308767080307007,24.341336838138375,13.883139610290527,170000,-3.0517577e-09,114.97449262665124,250.76924466574664,117.02456369309273,0.24699878692626953,2.8909053802490234
100,-0.0045286254,208.75673437691918,0.020967721939086914,314.55694699287415,17.241232872009277,17,17.51219367980957,32.429924752339474,14.020459651947021,180000,1.2207031e-08,113.35548312773717,249.74523251975077,96.0425606094298,0.24900054931640625,2.9091129302978516
100,-0.0058256895,210.43531117233204,0.02484917640686035,331.88803791999817,17.048246383666992,18,17.31809091567993,31.995769464584153,13.905078172683716,190000,1.2207031e-08,114.58455387064392,251.8468109592973,110.79979184749591,0.2449953556060791,2.8609259128570557
100,-0.0048246626,214.56561528936336,0.021957874298095703,349.47136878967285,17.30037236213684,19,17.570329904556274,32.05167194684598,14.047536611557007,200000,-1.5258789e-09,116.16917191996265,256.73336603763363,87.40905676561904,0.24599981307983398,2.9959230422973633
100,-0.0031934723,219.55663154431576,0.022969961166381836,366.8227286338806,17.069392204284668,20,17.33836078643799,29.29705677754332,13.83203673362732,210000,9.155274e-09,118.85827067648066,255.95568014710162,86.4821223137531,0.24599862098693848,2.9766125679016113
