train-AverageReturn,train-NumTrajs,train-StdReturn,LossBefore,Time-Optimization,train-MinReturn,train-EnvExecTime,train-MaxReturn,train-AverageDiscountedReturn,Time-Sampling,Itr,LossAfter,ItrTime,train-PolicyExecTime,Time-SampleProc,Time,n_timesteps
76.82313907403862,100,60.440484752296854,-0.0047122072,0.27499938011169434,-48.531832053797416,3.025902271270752,201.06880497288913,55.034843937181094,18.358606576919556,0,-1.267833,18.74460506439209,15.06248140335083,0.10999941825866699,18.74460506439209,10000
164.59031296852822,100,16.907977993850174,-0.009577612,0.3000020980834961,124.42527915947791,2.9799301624298096,208.3244107041078,99.22357635850909,18.307624578475952,1,-0.24962239,18.627581119537354,15.068333148956299,0.01899099349975586,37.428186893463135,20000
159.2813931858527,100,5.170047473169097,0.00077736814,0.2539999485015869,147.20360890000435,2.9527528285980225,172.49722107292914,100.68709787544184,17.887991905212402,2,-0.0646435,18.160956382751465,14.675647258758545,0.017966032028198242,55.64914321899414,30000
155.7725806218662,100,4.177749216579688,-0.0283892,0.25800204277038574,146.79974389033168,2.8244552612304688,167.99154028433415,99.01418894451787,17.2119619846344,3,-0.13484864,17.48996353149414,14.120296001434326,0.018999099731445312,73.15210604667664,40000
163.0457885480916,100,6.540341793275924,-0.019645983,0.2670004367828369,141.01432226817346,2.9403223991394043,185.2045513099799,101.69510495352642,18.07531189918518,4,-0.068485424,18.368279218673706,14.864735126495361,0.024967670440673828,91.53438329696655,50000
172.3770681984097,100,7.481178249611911,-0.009668066,0.2559969425201416,155.81610717505063,2.9884772300720215,197.034784385088,104.54890737787049,17.708910942077637,5,-0.07859234,17.988906145095825,14.445223808288574,0.021995067596435547,109.536288022995,60000
187.60055338897303,100,7.4599156522699275,0.007303247,0.2649996280670166,169.59281729183425,2.9543111324310303,209.53190248082174,109.21660998523384,18.201961278915405,6,-0.20590103,18.4909565448761,14.928492307662964,0.022995948791503906,128.04024529457092,70000
172.11997459503527,100,76.18981178971042,0.0004944824,0.2589993476867676,-156.46191097515592,2.9064345359802246,206.4487156363608,98.87370910857042,17.969959020614624,7,-0.25244328,18.256958723068237,14.790322542190552,0.02599930763244629,146.31020402908325,80000
92.2572662817545,100,99.46309793321834,-0.019368311,0.26599788665771484,-155.31829812908646,2.919915199279785,194.34344147630574,57.229114402617846,17.471993684768677,8,-0.4617995,17.76695966720581,14.287354230880737,0.027966022491455078,164.09016275405884,90000
25.009976722270153,100,77.15394628960232,0.018764745,0.255997896194458,-87.9530115833845,2.9513514041900635,169.50923616010306,20.35587967127053,18.017573833465576,9,-0.7753994,18.293532848358154,14.789872646331787,0.01896071434020996,182.3966953754425,100000
-39.268381297276434,100,98.67208405209632,0.03328527,0.25999951362609863,-115.17301952942329,2.8870744705200195,188.94091448902216,-16.420333796894116,17.853993892669678,10,-1.9284545,18.13395857810974,14.68612289428711,0.019965171813964844,200.54465341567993,110000
-60.71121674131758,100,70.46659906023142,-0.0120586,0.2539997100830078,-125.20433426119733,2.886416435241699,192.44357012822095,-30.663653573376333,17.693186044692993,11,-1.437181,17.97218370437622,14.531272649765015,0.024997949600219727,218.53083729743958,120000
-96.09496403411394,100,36.54070447168738,-0.007679932,0.25800061225891113,-171.9658640232153,2.8021838665008545,104.03425170647687,-55.780410594850935,17.434985876083374,12,-1.2820308,17.715959310531616,14.359449625015259,0.021973133087158203,236.25979471206665,130000
-36.26096447468659,100,12.39592448803293,-0.0019140656,0.2760002613067627,-84.12931176285002,2.950312852859497,3.1241291602666026,-31.70519744955062,17.997719049453735,13,-0.1869752,18.300694465637207,14.761358261108398,0.02498459815979004,254.57348799705505,140000
-44.47186313949178,100,33.650592318253,-0.0025559082,0.24899792671203613,-87.04519307829091,3.159083366394043,77.53029485605566,-15.979492416858276,18.544877529144287,14,-0.51177424,18.813875675201416,15.112495422363281,0.020000219345092773,273.4013628959656,150000
-20.39073354814096,100,23.09105251723201,0.022529688,0.2519984245300293,-97.53270488450622,3.068812131881714,42.49524367141828,-5.495727166537847,17.989959478378296,15,-0.24915591,18.264957189559937,14.648932695388794,0.021999359130859375,291.6793200969696,160000
-25.10715730422551,100,32.26992766719118,0.01712074,0.2519972324371338,-88.01696501166235,2.950150489807129,68.32292198368226,-7.791891661256594,17.577960968017578,16,-0.33457768,17.852959871292114,14.355331659317017,0.02103281021118164,309.5452802181244,170000
19.096688395680292,100,38.38315235933673,0.008738769,0.25999903678894043,-90.35111146003327,3.0930960178375244,92.5885695456086,7.60455977877612,18.54695463180542,17,-0.19002266,18.829952716827393,15.127535820007324,0.022999048233032227,328.3892331123352,180000
-10.599553021935765,100,40.81557209828124,0.005113965,0.277998685836792,-89.4907878919339,3.1486072540283203,99.6230777777366,-7.48558589915498,18.86771583557129,18,-0.2462375,19.16768455505371,15.423295974731445,0.021970033645629883,347.5709192752838,190000
39.03150121407303,100,56.505810024642834,0.010531067,0.25499892234802246,-148.78935877220977,3.011505126953125,129.7877562073324,24.144476191520233,17.745957374572754,19,-0.16198584,18.020956993103027,14.46490478515625,0.018999576568603516,365.605877161026,200000
58.82438802648415,100,72.96306127769664,0.009407861,0.26799798011779785,-191.7908380642518,3.0583200454711914,208.37661821453176,49.40305791376208,18.14642906188965,20,-0.1713989,18.434424877166748,14.81198787689209,0.018998146057128906,384.05330324172974,210000
82.72015687421619,100,50.60985657543612,-0.009238525,0.2650003433227539,-60.90134069571656,2.99849271774292,192.2164180813929,58.186444105575795,17.68096089363098,21,-0.34790424,17.96596074104309,14.411052227020264,0.0189974308013916,402.03226375579834,220000
