ItrTime,train-AverageReturn,Time-Sampling,LossBefore,train-MaxReturn,train-NumTrajs,LossAfter,train-AverageDiscountedReturn,train-MinReturn,Itr,train-PolicyExecTime,train-EnvExecTime,n_timesteps,Time-Optimization,Time,train-StdReturn,Time-SampleProc
17.379810571670532,-41.181855121615015,16.90284514427185,6.1035155e-09,44.73212131213666,100,-4.376462,-25.43812521883496,-136.40633407976705,0,14.140334606170654,2.487656831741333,10000,0.40799713134765625,17.379810571670532,34.557785374040016,0.06796813011169434
16.988994359970093,-31.91410740373316,16.71199679374695,9.155274e-09,73.46685929229352,100,-0.093294956,-20.44610429531191,-166.16443211531742,1,13.77111005783081,2.6439406871795654,20000,0.25300073623657227,34.38480615615845,45.07275667516994,0.020997047424316406
16.6379976272583,-59.22669859067737,16.34399676322937,-3.8146974e-09,48.67373975894849,100,-0.009963452,-37.173177687183326,-198.45475809188048,2,13.464045286178589,2.6240296363830566,30000,0.26797008514404297,51.03580331802368,43.919582682400126,0.025030851364135742
16.991995811462402,-71.57172821233961,16.694995880126953,-3.0517577e-09,41.27656225393319,100,-0.03910834,-44.11984522992807,-157.11953956698673,3,13.906947135925293,2.5144054889678955,40000,0.2739989757537842,68.04079866409302,40.37006090668277,0.02100062370300293
17.278696298599243,-35.24639224621279,16.99569821357727,1.525879e-08,82.26235922168874,100,-0.055753767,-23.026541893979537,-147.11277898539532,4,14.100841283798218,2.6288015842437744,50000,0.26000022888183594,85.33249711990356,46.052332176314835,0.021997928619384766
17.692280054092407,-25.22774090781687,17.4082989692688,-9.155274e-09,97.34906518070355,100,-0.012116028,-16.653528632164974,-169.82316994946532,5,14.361989736557007,2.721893548965454,60000,0.25800037384033203,103.03877711296082,42.080567736868446,0.025980710983276367
17.560996770858765,-27.813787939950174,17.275996923446655,-3.0517577e-09,61.543066461912154,100,-0.02053942,-17.90862392076013,-137.9404687781451,6,14.32444977760315,2.6664834022521973,70000,0.25499868392944336,120.61377334594727,38.003404006035396,0.028971433639526367
17.32614016532898,-24.811950472742055,17.008143424987793,-0.0010203064,76.83792728427609,100,-0.029304767,-16.058020703862397,-102.75668145347339,7,14.061676740646362,2.66632342338562,80000,0.2879941463470459,137.95291328430176,35.112188874037834,0.030002593994140625
18.639996767044067,-35.12416988068159,18.292995929718018,-1.2207031e-08,62.33493486824154,100,-0.032604925,-22.15401369194612,-137.2542224443009,8,15.108167171478271,2.8741707801818848,90000,0.3079652786254883,156.60691094398499,44.4256100100989,0.037030935287475586
18.114994287490845,-21.83564013548221,17.82699489593506,-1.5258789e-09,80.36625708419751,100,-0.0477504,-14.31214895278918,-153.74097073281337,9,14.73959732055664,2.798552989959717,100000,0.2630012035369873,174.73690581321716,37.43818720187154,0.024998188018798828
