train-AverageDiscountedReturn,Time,train-AverageReturn,Itr,train-MinReturn,Time-Sampling,n_timesteps,Time-SampleProc,LossBefore,ItrTime,LossAfter,Time-Optimization,train-StdReturn,train-MaxReturn,train-EnvExecTime,train-NumTrajs,train-PolicyExecTime
-98.53652527409706,17.92951202392578,-189.99001565560084,0,-319.0790999626012,17.60600256919861,10000,0.039998769760131836,-1.5258789e-09,17.92951202392578,0.054282263,0.283510684967041,63.70236571343288,-11.574190958616043,2.9376261234283447,100,14.412560939788818
-96.09262901331614,35.879385232925415,-188.94130663515116,1,-291.02280861367757,17.65887475013733,20000,0.020998477935791016,9.155274e-09,17.93587327003479,0.002476587,0.25500011444091797,70.18632234317808,85.96835606368266,2.9862546920776367,100,14.399249076843262
-68.01195428589818,54.02309823036194,-138.77859517445114,2,-280.77265108154245,17.837197303771973,30000,0.0205080509185791,-1.2207031e-08,18.130712747573853,-0.0022683288,0.2730073928833008,101.29248752367228,194.9561116185021,3.0419952869415283,100,14.524476766586304
-44.44750146808608,73.35159683227539,-97.78220877058884,3,-263.00962768017496,19.006413459777832,40000,0.027000904083251953,-0.0014301697,19.31549882888794,-0.005743036,0.27900195121765137,115.22855497092552,193.86064206714522,3.3435418605804443,100,15.38068413734436
1.6230855258178998,92.58026456832886,-15.568249984366211,4,-258.25237953900717,18.93760919570923,50000,0.021975278854370117,4.577637e-09,19.214672565460205,-0.0065569673,0.25299835205078125,140.83758289603438,196.8454963500957,3.2286407947540283,100,15.39885926246643
42.7204692814531,112.39718198776245,60.890629103249566,5,-307.46125958402655,19.52191400527954,60000,0.021998882293701172,-3.0517577e-09,19.802917003631592,-0.00674935,0.2570030689239502,142.3440846999463,201.2079220321788,3.4319112300872803,100,15.793813467025757
85.79675762939328,131.03691625595093,138.3713591280542,6,-206.99780442503535,18.33222460746765,70000,0.02599954605102539,-2.670288e-09,18.62673783302307,-0.005498457,0.2675137519836426,86.87767080869644,203.19159076592393,3.232682704925537,100,14.770798206329346
107.13621477887203,149.289320230484,174.97468180014468,7,-22.40319325829149,17.94440507888794,80000,0.021001338958740234,-3.0517577e-09,18.23940348625183,-0.005293779,0.27399706840515137,29.73333172651024,203.861121647934,3.090029001235962,100,14.571900367736816
111.31921988824706,167.82342672348022,181.7810188610961,8,132.89357410446343,18.25110673904419,90000,0.019002437591552734,-1.525879e-08,18.520106554031372,-0.002999646,0.24999737739562988,13.02050001428903,202.0434362715519,3.010683059692383,100,14.947122573852539
113.7531948707524,186.34415650367737,186.9076365418117,9,153.4736668480339,18.215731620788574,100000,0.022998332977294922,3.0517577e-09,18.507730960845947,-0.0014771393,0.2690010070800781,9.645713925699365,203.0452629039085,3.2412312030792236,100,14.692333698272705
114.53761444187278,204.0793261528015,189.44259902603272,10,159.42074720394314,17.435170650482178,110000,0.024001359939575195,-1.2207031e-08,17.722171545028687,-0.004415555,0.26199841499328613,9.210973467628849,202.27758520743174,3.148812770843506,100,14.021507978439331
115.75464579599273,221.81637287139893,192.11985362405903,11,150.42810906275594,17.4350483417511,120000,0.023035764694213867,-0.0026183228,17.724047422409058,-0.0035825074,0.26496195793151855,8.409271247549608,202.33623485896877,3.121609687805176,100,14.062074422836304
116.71968851892983,239.8821084499359,194.73237463143886,12,176.9794116180982,17.76827096939087,130000,0.02293539047241211,6.1035155e-09,18.052735567092896,-0.0032763733,0.260528564453125,6.145721233876411,202.52674217219277,3.160264730453491,100,14.342699527740479
117.40261192850708,257.76042222976685,196.46254577218693,13,176.22546620865512,17.58031439781189,140000,0.02200150489807129,1.2207031e-08,17.865315437316895,-0.0027261903,0.26199793815612793,5.3711410842846625,203.32269969130402,3.138423204421997,100,14.168246030807495
117.85468843220855,275.6110563278198,197.5290314474249,14,184.79786814937214,17.560632467269897,150000,0.0220034122467041,-0.005509961,17.83763360977173,-0.0015140473,0.2539691925048828,4.138743330686497,203.16880368580289,3.10221266746521,100,14.168814659118652
117.73492499407497,293.8477761745453,197.51130720563233,15,176.85087065269266,17.94519305229187,160000,0.02599954605102539,6.866455e-09,18.223721265792847,-0.0032904602,0.25052428245544434,4.32816727757839,203.81043846348481,3.2095766067504883,100,14.482953310012817
118.04839576042014,311.9362802505493,198.350302141532,16,168.06402946370355,17.7909574508667,170000,0.01999950408935547,6.1035155e-09,18.075504779815674,-0.0025068787,0.26254844665527344,4.464376934926391,204.59755045483314,3.228461742401123,100,14.292964696884155
118.25911988044626,330.28458428382874,198.7975673264053,17,185.90016245711254,18.047306299209595,180000,0.02299976348876953,1.5258789e-09,18.33430528640747,-0.0030747543,0.26200079917907715,3.1320751378337586,202.86127955128356,3.2817676067352295,100,14.434125185012817
118.690342396139,349.90363574028015,200.0988986252597,18,189.2674874747486,19.337074279785156,190000,0.01997685432434082,-3.0517577e-09,19.602051258087158,-0.0008733978,0.2440016269683838,2.32448883705145,203.40230183893567,3.4592702388763428,100,15.574251174926758
118.57242466619724,368.66045904159546,199.8173983445713,19,185.24468147791586,18.452826976776123,200000,0.01999807357788086,1.7547608e-08,18.743825912475586,-0.003417189,0.26999998092651367,2.4769612392311697,203.8036315592645,3.2585206031799316,100,14.924912929534912
118.62685092845673,387.1234827041626,199.9464552500683,20,191.0615929615488,18.17406392097473,210000,0.0249636173248291,-6.1035155e-09,18.449023723602295,-0.002901465,0.24899673461914062,2.4515881701566604,204.9366670820115,3.200495719909668,100,14.696802139282227
