Iteration,Average Returns
0,6.0
10,6.0
20,6.0
30,6.0
40,6.0
50,6.0
60,6.0
70,6.0
80,6.0
90,6.0
100,6.0
110,6.0
120,6.0
130,10.0
140,8.0
150,20.0
160,8.0
170,13.0
180,27.0
190,23.0
200,35.0
210,151.0
220,121.0
230,203.0
240,137.0
249,112.0
