train-AverageDiscountedReturn,train-EnvExecTime,Time-Sampling,n_timesteps,train-NumTrajs,LossAfter,Itr,train-MinReturn,ItrTime,LossBefore,Time-SampleProc,Time,train-PolicyExecTime,train-MaxReturn,train-AverageReturn,Time-Optimization,train-StdReturn
-25.843832563976097,2.5656490325927734,16.454933166503906,10000,100,0.04156166,0,-127.50031432641923,16.76996421813965,-5.340576e-09,0.023997783660888672,16.76996421813965,13.620927810668945,46.024259793576945,-39.61807711495393,0.2890017032623291,35.634904067808804
-26.453281737927092,2.403071165084839,16.3280291557312,20000,100,0.0061028427,1,-115.78527042209635,16.60099172592163,-1.6784668e-08,0.02699732780456543,33.38495588302612,13.663745641708374,35.8211696819482,-40.35634619902272,0.24500107765197754,31.473272775576667
-23.083264827097373,2.424060583114624,16.47399592399597,30000,100,-0.007977256,2,-172.01999303982612,16.75299334526062,-1.2207031e-08,0.029000043869018555,50.150949478149414,13.781496524810791,46.66287387477815,-34.83410591909879,0.24899816513061523,34.8854713575512
-25.62165432583632,2.6454362869262695,16.56816005706787,40000,100,-0.014108596,3,-177.4067000178164,16.844159603118896,6.1035155e-09,0.028032302856445312,67.03811001777649,13.66496992111206,39.12604107887917,-39.2777725254517,0.24696731567382812,36.78802257527979
-18.214617614812113,2.5713577270507812,16.46299433708191,50000,100,-0.012838235,4,-128.27612223378685,16.753994464874268,1.8310548e-08,0.02300119400024414,83.80510425567627,13.648798942565918,64.05151007104612,-28.616119752927325,0.26799893379211426,36.01732190129075
-19.172523993866943,2.6273977756500244,16.36699390411377,60000,100,-0.013752804,5,-147.95526066810265,16.64499306678772,1.039505e-08,0.028998613357543945,100.46309661865234,13.43531084060669,46.11445902511163,-30.316347283639754,0.2480006217956543,34.05886183662221
-18.983895158316777,2.5660088062286377,16.250024557113647,70000,100,-0.013400269,6,-108.45948434272776,16.519994735717773,-0.003206317,0.02396869659423828,116.99609136581421,13.405604600906372,63.869534188621536,-28.94279992409037,0.2440013885498047,30.991735448595936
-18.946573234575773,2.5830090045928955,16.505574941635132,80000,100,-0.014255113,7,-141.44752348221363,16.791574478149414,9.155274e-09,0.025000333786010742,133.801664352417,13.666570901870728,44.907157968603826,-30.106341191283928,0.2589998245239258,36.66142291097731
-17.23374368354321,2.5351877212524414,16.289026260375977,90000,100,-0.013662522,8,-107.14357324806878,16.553993701934814,-0.0032932067,0.02096724510192871,150.36865758895874,13.487250566482544,44.99926157515871,-26.45945965179562,0.24400019645690918,31.336471562837882
-17.564387687320195,2.5184473991394043,16.415029764175415,100000,100,-0.014272055,9,-138.01391197640305,16.687994956970215,1.0681152e-08,0.023963451385498047,167.06965160369873,13.63779067993164,80.38403499443349,-27.76467921507057,0.2480013370513916,31.75571462974225
-15.209811702526101,2.5627262592315674,16.49199414253235,110000,100,-0.014541403,10,-109.60930801066081,16.780994653701782,-1.373291e-08,0.020998239517211914,183.8636453151703,13.693410634994507,47.53785851294436,-24.854978617653845,0.2680022716522217,31.499817996789336
-17.462782325661607,2.5997626781463623,16.710388898849487,120000,100,-0.016024424,11,-118.01478028912864,16.99036192893982,6.1035155e-09,0.02303004264831543,200.86700558662415,13.853774785995483,30.30314687925289,-28.404179724896473,0.2539985179901123,32.75861237640643
-9.377754220076039,2.5735371112823486,16.41588568687439,130000,100,-0.015366623,12,-119.54555236860232,16.685884475708008,-0.0043352447,0.02199721336364746,217.56588888168335,13.576835632324219,107.79888096322624,-14.81411986073606,0.24700069427490234,37.06664062903196
-16.010960765695003,2.5406110286712646,16.320995807647705,140000,100,-0.016101627,13,-104.81998926417309,16.59299373626709,3.0517577e-09,0.029995203018188477,234.171884059906,13.53684139251709,31.629736704662847,-24.306490046615114,0.2420027256011963,30.984466332533877
-9.064780921332183,2.530200481414795,16.356150150299072,150000,100,-0.015217306,14,-91.06920374280175,16.626121044158936,-9.727478e-09,0.02097034454345703,250.81100273132324,13.581766128540039,56.231019831880154,-14.49962205346448,0.24699831008911133,29.41076193212242
-11.992864643115478,2.5483622550964355,16.517063856124878,160000,100,-0.014434265,15,-95.77018935758356,16.79006028175354,1.8310548e-08,0.02799701690673828,267.6140615940094,13.70442247390747,96.06479544191136,-20.015808451870406,0.24499940872192383,31.350105608879467
-11.240906758451477,2.5614638328552246,16.43101978302002,170000,100,-0.01603527,16,-99.90356367588275,16.70799422264099,9.155274e-09,0.024029016494750977,284.3350553512573,13.571046590805054,34.27249483677266,-18.8450923330215,0.25096845626831055,25.683410288140347
-10.091752239548878,2.522845506668091,16.56901741027832,180000,100,-0.015412232,17,-97.23231893433072,16.84299397468567,-1.525879e-08,0.028974294662475586,301.192049741745,13.76228141784668,45.64092890535545,-16.20405217778554,0.24300265312194824,28.81340676358322
-10.37157240030137,2.6345486640930176,16.491997003555298,190000,100,-0.015442358,18,-98.4690587669611,16.776995182037354,-3.0517577e-09,0.027996540069580078,317.98204350471497,13.614246129989624,60.93807695223885,-16.742472969689683,0.2550015449523926,24.26089045978623
-13.334399662647856,2.5412769317626953,16.544028282165527,200000,100,-0.015877087,19,-91.31776765574273,16.8239963054657,3.0517577e-09,0.02796483039855957,334.8200378417969,13.703141450881958,38.626680739204396,-21.5779872564399,0.2510039806365967,29.783122093576292
-13.443355469332793,2.5568315982818604,16.477994680404663,210000,100,-0.01457794,20,-98.44586901629158,16.74899411201477,-3.0517577e-09,0.021028995513916016,351.58202838897705,13.647460222244263,43.57988455641114,-20.52970610946643,0.24896717071533203,27.690110038105942
-10.803501420699586,2.5851664543151855,16.49818181991577,220000,100,-0.016311295,21,-88.65209590532614,16.765182495117188,1.2207031e-08,0.02300095558166504,368.3602125644684,13.666353940963745,88.36739163398991,-17.500239616431188,0.24399971961975098,24.111198256854536
-12.135379685519673,2.5510196685791016,16.43501901626587,230000,100,-0.016466359,22,-107.30819607256402,16.699992418289185,-2.2888185e-09,0.020029067993164062,385.0742039680481,13.645871639251709,44.14791444850019,-19.939708822504347,0.24396777153015137,27.53442367147047
-7.491784954465763,2.554744005203247,16.415026426315308,240000,100,-0.013546325,23,-115.12082938050273,16.690993070602417,-1.2016296e-08,0.024966955184936523,401.77819752693176,13.607095718383789,51.27750037991691,-13.242944701086428,0.24899911880493164,25.79820622166719
-10.005410118137062,2.6205806732177734,16.379992961883545,250000,100,-0.016094092,24,-104.30979339291429,16.649994373321533,1.2207031e-08,0.026999235153198242,418.44119095802307,13.503290176391602,52.47512655676174,-16.366926023303204,0.24100065231323242,29.278670959131865
