Average Returns,Iteration
-1104.6370691085433,0
-1131.696867998617,5
-1545.1548391605365,10
-1626.734222114197,15
-1413.5500056243125,20
-1143.2239572711806,25
-1263.914099588465,30
-1367.2786113648863,35
-1151.2705324715046,40
-1234.1794322144854,45
-1259.5320222191867,50
-1398.477345889467,55
-1325.2288922997009,60
-1321.2827824882754,65
-1250.6975190734126,70
-1384.5803066592705,75
-1440.568825735442,80
-1615.9306391886862,85
-1234.7996616541589,90
-1301.1901889904093,95
-1333.5346518037893,100
-1363.577773082574,105
-1416.290138428291,110
-1358.090712723182,115
-1255.6373509362188,120
-1325.1382635323848,125
-1261.189874143622,130
-1424.42064070787,135
-1334.6233046207487,140
-1447.745948012729,145
